"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","article","author","year","species","amniotes","environment","ni","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",-0.472230804420426,0.0555555555555556,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild",21,4.24264068711928,0.472230804420426,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",-0.576339754969193,0.0909090909090909,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild",14,3.3166247903554,0.576339754969193,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",-0.522984277591344,0.0555555555555556,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild",21,4.24264068711928,0.522984277591344,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",-0.510070336613307,0.0909090909090909,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild",14,3.3166247903554,0.510070336613307,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Blouin-Demers, G. & Weatherhead, P.J. 2007",-0.195451376913984,0.0204081632653061,"ZCOR",4,"Blouin-Demers, G. & Weatherhead, P.J.","2007","Pantherophis_obsoletus","yes","wild",52,7,0.195451376913984,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Brown, G.P. & Shine, R. 2005",-0.847955755218963,0.00317460317460317,"ZCOR",6,"Brown, G.P. & Shine, R.","2005","Tropidonophis_mairii","yes","wild",318,17.7482393492988,0.847955755218963,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dahle, B., Zedrosser, A. & Swenson, J.E. 2006",-0.615518437158721,0.00448430493273543,"ZCOR",7,"Dahle, B., Zedrosser, A. & Swenson, J.E.","2006","Ursus_arctos","yes","wild",226,14.9331845230681,0.615518437158721,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dahle, B., Zedrosser, A. & Swenson, J.E. 2006",-1.18174163760032,0.00452488687782805,"ZCOR",7,"Dahle, B., Zedrosser, A. & Swenson, J.E.","2006","Ursus_arctos","yes","wild",224,14.8660687473185,1.18174163760032,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Du, W.G., Ji, X., Zhang, Y.P., Xu, X.F & Shine, R. 2005",-0.187154970164184,0.00251256281407035,"ZCOR",12,"Du, W.G., Ji, X., Zhang, Y.P., Xu, X.F & Shine, R.","2005","Takydromus_septentrionalis","yes","captive",401,19.94993734326,0.187154970164184,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Roberts, J.D. 2006",-1.95882409003335,0.0333333333333333,"ZCOR",13,"Dziminski, M.A. & Roberts, J.D.","2006","Crinia_georgiana","no","wild",33,5.47722557505166,1.95882409003335,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A., Vercoe, P.E. & Roberts, J.D.  2009",-0.632833186665638,0.0303030303030303,"ZCOR",14,"Dziminski, M.A., Vercoe, P.E. & Roberts, J.D. ","2009","Crinia_georgiana","no","wild",36,5.74456264653803,0.632833186665638,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Ebert, D. 1993",-0.181982688600706,0.00471698113207547,"ZCOR",15,"Ebert, D.","1993","Daphnia_magna","no","captive",215,14.560219778561,0.181982688600706,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#4","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Edwards, T.M., Miller, H.D. & Guillette Jr., L.J. 2006",-0.708921359427408,0.00421940928270042,"ZCOR",16,"Edwards, T.M., Miller, H.D. & Guillette Jr., L.J.","2006","Gambusia_holbrooki","no","wild",240,15.3948043183407,0.708921359427408,"CRAN",NA,NA,"CRAN"
