"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","es_id","study_id","authors","design","published","proto_strength","targetleader","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",1,0.536060336610567,0.00393700787401575,"from_dataset",1,1,"Aicher & Cunningham (2011)",1,0,0,1,15.9373774505092,0.536060336610567,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",2,0.429615588111108,0.0212765957446809,"from_dataset",2,2,"Alzoman (2012) Pilot study",1,1,1,1,6.85565460040104,0.429615588111108,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",3,0.513927933960634,0.0028735632183908,"from_dataset",3,3,"Alzoman (2012) Main study",1,1,1,1,18.6547581061776,0.513927933960634,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",4,0.365443754271396,0.00188323917137476,"from_dataset",4,4,"Barreto & Hogg (2017)",0,0,1,1,23.0434372436059,0.365443754271396,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",5,0.590145159841189,0.00392156862745098,"from_dataset",5,5,"Bertwhistle (2013)",1,1,1,1,15.9687194226713,0.590145159841189,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",6,0.708921359427408,0.00564971751412429,"from_dataset",6,6,"Boezeman & Ellemers (2014) Study 2",1,0,1,1,13.3041346956501,0.708921359427408,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",7,0.497311287572031,0.00387596899224806,"from_dataset",7,7,"Chang, Turan, & Chow (2015) Study 3",1,0,0,0,16.062378404209,0.497311287572031,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",8,0.234189466759367,0.0153846153846154,"from_dataset",8,8,"Cicero, Bonaiuto, Pierro, & van Knippenberg (2008) Study 1",1,0,1,1,8.06225774829855,0.234189466759367,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",9,0.272339070639236,0.00892857142857143,"from_dataset",9,9,"Cicero, Bonaiuto, Pierro, & Van Knippenberg (2008) Study 2",0,0,0,1,10.5830052442584,0.272339070639236,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",10,0.472230804420426,0.00306748466257669,"from_dataset",10,10,"Cicero, Pierro, & van Knippenberg (2007): Study 1",1,0,1,1,18.0554700852678,0.472230804420426,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",11,0.255412811882995,0.00306748466257669,"from_dataset",11,10,"Cicero, Pierro, & van Knippenberg (2007): Study 1",1,0,1,1,18.0554700852678,0.255412811882995,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",12,0.484700278594052,0.0116279069767442,"from_dataset",12,11,"Cicero, Pierro, & van Knippenberg (2007): Study 2",1,0,1,1,9.2736184954957,0.484700278594052,"CRAN",NA,NA,"CRAN"
"psymetadata_steffens2020","psymetadata","steffens2020","Studies on Social Identity Theory and Leadership: Leader Group Prototypicality",13,0.110446915790097,0.0116279069767442,"from_dataset",13,11,"Cicero, Pierro, & van Knippenberg (2007): Study 2",1,0,1,1,9.2736184954957,0.110446915790097,"CRAN",NA,NA,"CRAN"
