"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","systemreplicate","species","behaviour","hostgroup","nid","area","nyears","estimate","t","r2","linearlower","linearupper","sig","rarea","rbehaviour","system","contacttype","search_string","unique_name","ott_id","tip","obs","r","rlower","rupper","rep","precision","abs_yi","source","repo","branch","repo_license"
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv",1,0.147347403047535,0.00714285714285714,"from_dataset",1,"AcornWoodpeckers_GOG","Melanerpes_formicivorus","Proximity","Bird",86,0.882396867448678,3,0.146290217442966,1.75599154196481,0.0214008277195105,-0.0184063260372796,0.310986760923211,0,7.62775732173913,"Proximity","AcornWoodpeckers","GOG","melanerpes formicivorus","Melanerpes formicivorus",576224,"Melanerpes_formicivorus",1,0.146290217442967,-0.0182977445332546,0.30315893401398,"Proximity_Strength",11.8321595661992,0.147347403047535,"GitHub","DensityMetaAnalysis","main",NA
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv",2,-0.0604017491062704,0.00340136054421769,"from_dataset",2,"AfricanDogs_ProximityCollar","Canis_lupus","Proximity","Carnivore",223,1.87872444889925,2,-0.0603284001435728,-1.03806504896252,0.00363951586388311,-0.174703304694667,0.0540465044075214,0,75.6352852098904,"Proximity","AfricanDogs","ProximityCollar","canis lupus","Canis lupus",247341,"Canis_lupus",2,-0.0603284001435734,-0.172953041532174,0.0538535189581322,"Proximity_Strength",17.1464281994822,0.0604017491062704,"GitHub","DensityMetaAnalysis","main",NA
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv",3,0.121020860431583,0.00106496272630458,"from_dataset",3,"BeakedWhales_Census","Hyperoodon_ampullatus","Proximity","Cetacean",526,2.54539655375721,15,0.120433475535283,3.71949314315249,0.0145042220295076,0.0568899797808471,0.183976971289719,1,351.072291321316,"Proximity","BeakedWhales","Census","hyperoodon ampullatus","Hyperoodon ampullatus",1003913,"Hyperoodon_ampullatus",3,0.120433475535283,0.0569980079761092,0.182900431255238,"Proximity_Strength",30.6431068920891,0.121020860431583,"GitHub","DensityMetaAnalysis","main",NA
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv",4,0.392745315765253,0.01,"from_dataset",4,"ChagosSharks_GOG","Carcharhinus_amblyrhynchos","Proximity","Shark",71,0.110838805317314,3,0.37372452514199,4.04929817060982,0.139670020692606,0.190638741914182,0.556810308369797,1,1.29074010782193,"Proximity","ChagosSharks","GOG","carcharhinus amblyrhynchos","Carcharhinus amblyrhynchos",517925,"Carcharhinus_amblyrhynchos",4,0.37372452514199,0.194248894859256,0.528990031675487,"Proximity_Strength",10,0.392745315765253,"GitHub","DensityMetaAnalysis","main",NA
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv",5,0.221925101325081,0.000145751348199971,"from_dataset",5,"DesertTortoises_DenSharing","Gopherus_agassizii","Proximity","Ectotherm",3544,0.0234145768699458,4,0.21835214718354,18.5349251986612,0.0476776601796624,0.195258563597794,0.241445730769286,1,1.05539389312506,"Proximity","DesertTortoises","DenSharing","gopherus agassizii","Gopherus agassizii",831059,"Gopherus_agassizii",5,0.21835214718354,0.195705361582689,0.240766161340321,"Proximity_Strength",82.8311535595152,0.221925101325081,"GitHub","DensityMetaAnalysis","main",NA
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv",6,0.0454273458401558,0.0232558139534884,"from_dataset",6,"EuropeanBoar_ProximityCollar","Sus_scrofa","Proximity","LargeHerbivore",46,3.02473464737728,1,0.0453961229935934,0.301434573387244,0.00206080798284947,-0.258118743462069,0.348910989449255,0,1058.60672201452,"Proximity","EuropeanBoar","ProximityCollar","sus scrofa","Sus scrofa",730013,"Sus_scrofa",6,0.0453961229935935,-0.24817243816724,0.331327794970765,"Proximity_Strength",6.557438524302,0.0454273458401558,"GitHub","DensityMetaAnalysis","main",NA
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv",7,0.0502587096167901,0.00606060606060606,"from_dataset",7,"FalkirkMice_TrapProximity","Apodemus_sylvaticus","Proximity","SmallMammal",168,-1.4227897785891,1,0.0502164355359453,0.64781081788152,0.00252169039793559,-0.102830112355694,0.203262983427585,0,0.0377755,"Proximity","FalkirkMice","TrapProximity","apodemus sylvaticus","Apodemus sylvaticus",794922,"Apodemus_sylvaticus",7,0.0502164355359437,-0.101968648442296,0.200104776738284,"Proximity_Strength",12.8452325786651,0.0502587096167901,"GitHub","DensityMetaAnalysis","main",NA
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv",8,-0.0267926597727007,0.00276243093922652,"from_dataset",8,"FieldingCows_ProximityCollar","Bos_taurus","Proximity","LargeHerbivore",365,-2.10312837599121,1,-0.0267862506062831,-0.510529803192225,0.000717503221542515,-0.129964780774992,0.0763922795624255,0,0.00788626967676345,"Proximity","FieldingCows","ProximityCollar","bos taurus","Bos taurus",490099,"Bos_taurus",8,-0.0267862506062815,-0.129081899269855,0.0760734982695588,"Proximity_Strength",19.0262975904404,0.0267926597727007,"GitHub","DensityMetaAnalysis","main",NA
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv",9,0.439182297155859,0.00145985401459854,"from_dataset",9,"GoldenCrownedSparrows_GOG","Zonotrichia_atricapilla","Proximity","Bird",341,-0.945279246872962,5,0.412966420528064,11.8762520091184,0.170541264483762,0.344693207855535,0.481239633200593,1,0.113428125,"Proximity","GoldenCrownedSparrows","GOG","zonotrichia atricapilla","Zonotrichia atricapilla",265554,"Zonotrichia_atricapilla",9,0.412966420528064,0.348992373420989,0.473109243295422,"Proximity_Strength",26.1725046566048,0.439182297155859,"GitHub","DensityMetaAnalysis","main",NA
"gh_gfalbery_DensityMetaAnalysis_Output_MetaDFOutput.csv","gfalbery","Output/MetaDFOutput.csv","gfalbery / DensityMetaAnalysis / Output/MetaDFOutput.csv",10,0.574345520317422,0.000155884645362432,"from_dataset",10,"KalahariMeerkats_GOG","Suricata_suricatta","Proximity","Carnivore",2734,0.37654361728868,22,0.518543497933305,48.5763886061766,0.268887359248909,0.497617316038494,0.539469679828117,1,2.37981730000007,"Proximity","KalahariMeerkats","GOG","suricata suricatta","Suricata suricatta",803645,"Suricata_suricatta",10,0.518543497933306,0.500426243460364,0.536206815434846,"Proximity_Strength",80.0936951326382,0.574345520317422,"GitHub","DensityMetaAnalysis","main",NA
