"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","study_id","response_units","region","movement","samp_control","samp_treatment","genus_species","impact","precision","abs_yi","source","repo","branch","repo_license"
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",1,0.066455542022806,0.118828820665916,"from_dataset",1,"Phyllospadix_Calvert","flowering shoots/m2","marine","sessile",60,30,"Phyllospadix sp.","after",2.90094240556721,0.066455542022806,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",2,0.0508067271078747,0.0471295199910826,"from_dataset",2,"Phyllospadix_Calvert","shoots/m2","marine","sessile",60,30,"Phyllospadix sp.","after",4.60631349522707,0.0508067271078747,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",3,-1.16056639494359,0.038865453423461,"from_dataset",3,"Nucella_Harley","percent","marine","motile",28,8,"Nucella sp.","after",5.07245415572642,1.16056639494359,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",4,-1.71789664247823,0.0886686826383414,"from_dataset",4,"Balanus_Exposure_Harley","percent","marine","sessile",20,20,"Balanus sp.","after",3.35826429388825,1.71789664247823,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",5,-2.57256210717251,0.0669493908668763,"from_dataset",5,"Mytilus_under_Fucus_Harley","percent","marine","sessile",9,9,"Mytilus sp.","after",3.86479697907868,2.57256210717251,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",6,-1.81151549740272,0.00737328062179137,"from_dataset",6,"lupine","log( fruits + 1)","terrestrial","sessile",684,684,"Lupinus latifolius","after",11.6458078026117,1.81151549740272,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",7,-1.09861228866811,0.362573100293805,"from_dataset",7,"interior_shrubs","proportion","terrestrial","sessile",20,20,"Rosa acicularis","after",1.6607421562198,1.09861228866811,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",8,-0.379489621704904,0.0311101640885025,"from_dataset",8,"interior_shrubs","proportion","terrestrial","sessile",20,20,"Amelanchier alnifolia","after",5.66955338643284,0.379489621704904,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",9,-4.54288943204159,0.321043695043339,"from_dataset",9,"aphids_agrifood_canada","proportion","terrestrial","motile",120,48,"Ericaphis fimbriata","after",1.76489115820206,4.54288943204159,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",10,-1.76614560019073,0.0811227593430473,"from_dataset",10,"aphids_agrifood_canada","proportion","terrestrial","motile",197,73,"Amphorophora agathonica","after",3.51098232176466,1.76614560019073,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",11,0.261536792347459,0.0458950659924567,"from_dataset",11,"Bat_UBC_Farm","number","terrestrial","motile",8,8,"bat","during",4.66785117150794,0.261536792347459,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",12,0.170604433106201,0.0477160589571745,"from_dataset",12,"Bat_UBC_Farm","number","terrestrial","motile",8,8,"bat","after",4.57791491618268,0.170604433106201,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",13,-1.68126647682958,0.0024389161457797,"from_dataset",13,"Hawks_Bayne_2022","distance km","terrestrial","motile",1214,630,"Buteo regalis","during",20.2489060618594,1.68126647682958,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",14,-1.33033313385125,0.00917260163930527,"from_dataset",14,"Hawks_Bayne_2022","distance km","terrestrial","motile",1214,210,"Buteo regalis","after",10.4412797928313,1.33033313385125,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",15,0.106772682878428,0.0921840567248234,"from_dataset",15,"honeybees","delta~g/ g","terrestrial","motile",15,15,"Apis mellifera","during",3.29360938838727,0.106772682878428,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",16,0.169687122917685,0.116809540042241,"from_dataset",16,"honeybees","delta~g/ g","terrestrial","motile",15,15,"Apis mellifera","after",2.92590919048839,0.169687122917685,"GitHub","2021NAmericanHeatwave","main",NA
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv",17,-0.827483545287829,0.145074853558021,"from_dataset",17,"scoter","log counts","marine","motile",29,29,"Melanitta perspicillata","after",2.6254510744432,0.827483545287829,"GitHub","2021NAmericanHeatwave","main",NA
