"dataset_id","source_pkg","object","title","slab","yi","vi","measure","pubyear","reputation","quality","continent"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",1,0.0943754319753949,0.0383780435349689,"from_dataset",-0.854753598567719,-11,6,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",2,0.0998192254826877,0.0368067904506541,"from_dataset",-0.752771843659381,0,9,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",3,0.169316070658683,0.0142367636445691,"from_dataset",-0.660483487841363,-11,5,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",4,0.175111066644608,0.0134929536603929,"from_dataset",-0.563048425388212,4,9,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",5,0.273016412718015,0.0271243049807807,"from_dataset",-0.43087925014707,-10,2,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",6,0.285946678988429,0.0290463392192846,"from_dataset",-0.358262881978104,-9,10,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",7,0.357629812649398,0.0369346487825372,"from_dataset",-0.230772638252626,-8,6,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",8,0.361331151557102,0.0380282172552365,"from_dataset",-0.144030628136049,-8,3,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",9,0.398196345922438,0.0517199034236221,"from_dataset",-0.0581757616500058,-8,10,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",10,0.400115879048494,0.0522954755132023,"from_dataset",0.0404641389970979,0,3,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",11,0.414007491226164,0.0665849162724694,"from_dataset",0.174009311099847,-5,1,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",12,0.416414223153931,0.0647834227145709,"from_dataset",0.241379601138955,-5,5,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",13,0.423304349509297,0.0201816646476827,"from_dataset",0.342032203826433,-4,10,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",14,0.42430644828756,0.0218054613868294,"from_dataset",0.439008236372223,-4,2,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",15,0.510896714377094,0.121247416752957,"from_dataset",0.548886244318759,-3,1,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",16,0.529223255758051,0.124932361752078,"from_dataset",0.652866593388219,-3,2,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",17,0.534782235818941,0.0610981395263296,"from_dataset",0.770830088875567,-2,4,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",18,0.543244885197954,0.0437886196996938,"from_dataset",0.843702097603431,-1,1,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",19,0.544282123102919,0.0442720571393434,"from_dataset",-0.854753598567719,0,8,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",20,0.555070036492336,0.0576282540768773,"from_dataset",-0.752771843659381,0,9,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",21,0.602733393147054,0.0509900975183145,"from_dataset",-0.660483487841363,0,9,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",22,0.603136371791156,0.0634370223295481,"from_dataset",-0.563048425388212,2,7,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",23,0.616109620936008,0.0611724448953957,"from_dataset",-0.43087925014707,2,10,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",24,0.617817047860266,0.0385607418567462,"from_dataset",-0.358262881978105,-2,6,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",25,0.621659497277278,0.050873206695472,"from_dataset",-0.230772638252626,5,10,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",26,0.630051291303502,0.0389502110381526,"from_dataset",-0.144030628136049,6,6,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",27,0.692660166723821,0.066854101099618,"from_dataset",-0.0581757616500059,6,3,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",28,0.703682595817539,0.0670984797627245,"from_dataset",0.0404641389970978,8,1,"0"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",29,0.712522365049709,0.0493885960686824,"from_dataset",0.174009311099847,9,3,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",30,0.728538829236541,0.0512371001733491,"from_dataset",0.241379601138955,9,10,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",31,1.26552691592574,0.11399158023342,"from_dataset",0.342032203826432,9,10,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",32,1.27379208699539,0.112947906824053,"from_dataset",0.439008236372222,0,10,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",33,1.48267074366777,0.10140663186814,"from_dataset",0.548886244318758,11,10,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",34,1.49121390749445,0.0988641951658251,"from_dataset",0.652866593388219,12,10,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",35,1.76965564995066,0.121302177494596,"from_dataset",0.770830088875567,13,10,"1"
"dmetar_MVRegressionData","dmetar","MVRegressionData","Toy Dataset for Multivariate Meta-Regression",36,1.80886584945948,0.120002850216363,"from_dataset",0.843702097603431,0,10,"1"
