"dataset_id","source_pkg","object","title","slab","yi","vi","measure","year","authors","task","difficulty","group1","group2","comp","n_sz","n_hc","yi_iq","vi_iq"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",1,0.62,0.075,"from_dataset",2005,"Badcock et al.","SOC (CANTAB)",3.83,"SZ","HC",1,24,33,0.72,0.076
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",2,0.46,0.047,"from_dataset",2008,"Braw et al.","SOC (CANTAB)",3.83,"SZ1","HC",1,44,44,NA,NA
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",3,0.73,0.052,"from_dataset",2008,"Braw et al.","SOC (CANTAB)",3.83,"SZ2","HC",2,38,44,NA,NA
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",4,1.18,0.062,"from_dataset",2012,"Braw et al.","SOC (CANTAB)",3.83,"SZ1","HC",1,39,37,NA,NA
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",5,1.09,0.073,"from_dataset",2012,"Braw et al.","SOC (CANTAB)",3.83,"SZ2","HC",2,27,37,NA,NA
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",6,0.91,0.102,"from_dataset",2012,"Braw et al.","SOC (CANTAB)",3.83,"SZ3","HC",3,15,37,NA,NA
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",7,0.91,0.084,"from_dataset",2012,"Braw et al.","SOC (CANTAB)",3.83,"SZ4","HC",4,20,37,NA,NA
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",8,0.57,0.074,"from_dataset",1999,"Bustini et al.","TOH",NA,"SZ","HC",1,28,28,NA,NA
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",9,0.4,0.18,"from_dataset",2006,"Dichter et al.","TOL",NA,"SZ","HC",1,13,10,NA,NA
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",10,0.43,0.17,"from_dataset",1998,"Elliott et al.","SOC (CANTAB)",2,"SZ","HC",1,12,12,0.12,0.167
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",11,1.37,0.206,"from_dataset",1998,"Elliott et al.","SOC (CANTAB)",3,"SZ","HC",2,12,12,0.12,0.167
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",12,0.23,0.168,"from_dataset",1998,"Elliott et al.","SOC (CANTAB)",4,"SZ","HC",3,12,12,0.12,0.167
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",13,0.97,0.186,"from_dataset",1998,"Elliott et al.","SOC (CANTAB)",5,"SZ","HC",4,12,12,0.12,0.167
