"dataset_id","source_pkg","object","title","slab","yi","vi","measure","year","weeks","setting","tester"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Rosenthal et al. 1974",0.03,0.0156,"from_dataset",1974,2,"group","aware"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Conn et al. 1968",0.12,0.0216,"from_dataset",1968,21,"group","aware"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Jose & Cody 1971",-0.14,0.0279,"from_dataset",1971,19,"group","aware"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Pellegrini & Hicks 1972",1.18,0.1391,"from_dataset",1972,0,"group","aware"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Pellegrini & Hicks 1972",0.26,0.1362,"from_dataset",1972,0,"group","blind"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Evans & Rosenthal 1969",-0.06,0.0106,"from_dataset",1969,3,"group","aware"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Fielder et al. 1971",-0.02,0.0106,"from_dataset",1971,17,"group","blind"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Claiborn 1969",-0.32,0.0484,"from_dataset",1969,24,"group","aware"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Kester 1969",0.27,0.0269,"from_dataset",1969,0,"group","aware"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Maxwell 1970",0.8,0.063,"from_dataset",1970,1,"indiv","blind"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Carter 1970",0.54,0.0912,"from_dataset",1970,0,"group","blind"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Flowers 1966",0.18,0.0497,"from_dataset",1966,0,"group","blind"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Keshock 1970",-0.02,0.0835,"from_dataset",1970,1,"indiv","blind"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Henrikson 1970",0.23,0.0841,"from_dataset",1970,2,"indiv","blind"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Fine 1972",-0.18,0.0253,"from_dataset",1972,17,"group","aware"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Grieger 1970",-0.06,0.0279,"from_dataset",1970,5,"group","blind"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Rosenthal & Jacobson 1968",0.3,0.0193,"from_dataset",1968,1,"group","aware"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Fleming & Anttonen 1971",0.07,0.0088,"from_dataset",1971,2,"group","blind"
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","Studies on Assessing the Effects of Teacher Expectations on Pupil IQ","Ginsburg 1970",-0.07,0.0303,"from_dataset",1970,7,"group","aware"
