"dataset_id","source_pkg","object","title","slab","yi","vi","measure","year","hrs","ets","homework","type"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",1,0.22,0.0817,"from_dataset",1980,7,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",2,0.09,0.0507,"from_dataset",1980,10,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",3,0.14,0.1045,"from_dataset",1980,10.5,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",4,0.14,0.0442,"from_dataset",1980,10,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",5,-0.01,0.0535,"from_dataset",1980,6,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",6,0.14,0.0557,"from_dataset",1980,5,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",7,0.18,0.0561,"from_dataset",1980,11,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",8,0.01,0.1151,"from_dataset",1980,45,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",9,0.13,0.0147,"from_dataset",1973,21,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",10,0.12,0.0147,"from_dataset",1973,21,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",11,0.25,0.0218,"from_dataset",1973,21,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",12,0.06,0.0216,"from_dataset",1973,21,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",13,0.31,0.0221,"from_dataset",1973,21,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",14,0.09,0.0219,"from_dataset",1973,21,1,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",15,0,0.1484,"from_dataset",1986,8.9,0,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",16,0.07,0.1484,"from_dataset",1986,8.9,0,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",17,0.01,0.0503,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",18,0.67,0.1366,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",19,-0.38,0.1561,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",20,-0.24,0.1342,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",21,0.29,0.062,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",22,0.26,0.0669,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",23,-0.41,0.1352,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",24,0.08,0.1297,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",25,0.3,0.0732,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",26,-0.53,0.1482,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",27,0.13,0.136,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",28,0.26,0.1344,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",29,0.47,0.1303,"from_dataset",1966,7.5,1,0,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",30,0.13,0.1216,"from_dataset",1988,24,0,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",31,0.48,0.1248,"from_dataset",1988,24,0,1,1
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",32,0.5,0.0825,"from_dataset",1986,50,0,1,2
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",33,0.74,0.0855,"from_dataset",1986,50,0,1,2
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",34,-0.23,0.2517,"from_dataset",1987,18,0,0,2
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",35,0.33,0.2534,"from_dataset",1987,18,0,0,2
