"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","contrast","estimate","tratio","pvalue","precision","abs_yi","source","repo","branch","repo_license"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv",1,-0.0720315418352929,0.00410008146722664,"estimate",1,"STDR - STBR",-0.0720315418352929,-1.12493251012536,0.982150926069493,15.6172210321087,0.0720315418352929,"GitHub","Germination.Fitness","main","MIT"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv",2,0.249211126763378,0.0135785227043411,"estimate",2,"STDR - STTO",0.249211126763378,2.13865714680933,0.500426241626695,8.58170810663664,0.249211126763378,"GitHub","Germination.Fitness","main","MIT"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv",3,-0.0905172666577863,0.00397035142609633,"estimate",3,"STDR - STDI",-0.0905172666577863,-1.43653746408325,0.91555303504338,15.8703142187699,0.0905172666577863,"GitHub","Germination.Fitness","main","MIT"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv",4,-0.19458840163881,0.00475521115165932,"estimate",4,"STDR - STPO",-0.19458840163881,-2.82183780568382,0.130488373831017,14.5015724571377,0.19458840163881,"GitHub","Germination.Fitness","main","MIT"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv",5,-0.394687645594695,0.00261350107174674,"estimate",5,"STDR - STIN",-0.394687645594695,-7.72044247117889,9.47797396122496e-13,19.5608921570021,0.394687645594695,"GitHub","Germination.Fitness","main","MIT"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv",6,-0.132909695833547,0.00516868194130804,"estimate",6,"STDR - STGL",-0.132909695833547,-1.84870135670152,0.703687391379329,13.9094544239782,0.132909695833547,"GitHub","Germination.Fitness","main","MIT"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv",7,-0.202413702329739,0.0031501841525547,"estimate",7,"STDR - CAAN",-0.202413702329739,-3.60638374922466,0.0120446386465727,17.8168953372027,0.202413702329739,"GitHub","Germination.Fitness","main","MIT"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv",8,-0.204181719264482,0.00361317459115789,"estimate",8,"STDR - CACO",-0.204181719264482,-3.39681881684269,0.0246253301766671,16.6362533780152,0.204181719264482,"GitHub","Germination.Fitness","main","MIT"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv",9,-0.268640799878372,0.0033472470865157,"estimate",9,"STDR - CAIN",-0.268640799878372,-4.64331434598636,0.000167731969580531,17.2844718601517,0.268640799878372,"GitHub","Germination.Fitness","main","MIT"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv",10,0.321242668598671,0.01336578043804,"estimate",10,"STBR - STTO",0.321242668598671,2.77866418700198,0.145147910525737,8.64973572509249,0.321242668598671,"GitHub","Germination.Fitness","main","MIT"
