"dataset_id","source_pkg","object","title","slab","yi","vi","measure","type","struct"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",1,0,0.00833333333333333,"ZCOR","j","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",2,0.0600721559210316,0.0108695652173913,"ZCOR","p","u"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",3,0.37688590118819,0.0151515151515152,"ZCOR","j","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",4,0.151140435936467,0.000546746856205577,"ZCOR","j","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",5,0.140925576070494,0.0133333333333333,"ZCOR","j","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",6,0.0600721559210316,0.00306748466257669,"ZCOR","j","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",7,0.0902441878561468,0.00666666666666667,"ZCOR","j","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",8,0.423648930193602,0.0384615384615385,"ZCOR","j","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",9,0.41180003447869,0.0384615384615385,"ZCOR","s","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",10,0.140925576070494,0.00649350649350649,"ZCOR","s","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",11,0.37688590118819,0.00684931506849315,"ZCOR","s","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",12,0.287682072451781,0.0112359550561798,"ZCOR","j","u"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",13,0.725005087752999,0.0833333333333333,"ZCOR","j","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",14,0.0701146706543251,0.0833333333333333,"ZCOR","j","u"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",15,0.181982688600706,0.00598802395209581,"ZCOR","j","u"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",16,0.447692023527421,0.0625,"ZCOR","j","s"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",17,0.0801713250375897,0.0625,"ZCOR","j","u"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",18,0.181982688600706,0.0153846153846154,"ZCOR","p","u"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",19,0.459896681212679,0.0111111111111111,"ZCOR","j","u"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",20,0.0400213538367682,0.0185185185185185,"ZCOR","j","u"
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",21,-0.0400213538367682,0.012987012987013,"ZCOR","p",NA
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",22,0.0500417292784913,0.02,"ZCOR","p",NA
"metadat_dat.mcdaniel1994","metadat","dat.mcdaniel1994","Studies on the Validity of Employment Interviews",23,-0.140925576070494,0.0476190476190476,"ZCOR","p",NA
