"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","weeks","precision","abs_yi","source","repo","branch","repo_license"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",1,-0.264,0.086,"from_dataset",3,3.40997169735237,0.264,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",2,-0.23,0.106,"from_dataset",1,3.07147558416976,0.23,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",3,0.166,0.055,"from_dataset",2,4.26401432711221,0.166,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",4,0.173,0.084,"from_dataset",4,3.45032779671177,0.173,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",5,0.225,0.071,"from_dataset",3,3.75293312520401,0.225,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",6,0.291,0.078,"from_dataset",6,3.58057437019716,0.291,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",7,0.309,0.051,"from_dataset",7,4.42807442770048,0.309,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",8,0.435,0.093,"from_dataset",9,3.27912917891976,0.435,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",9,0.476,0.149,"from_dataset",3,2.5906388007542,0.476,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",10,0.617,0.095,"from_dataset",6,3.24442842261525,0.617,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",11,0.651,0.11,"from_dataset",6,3.01511344577764,0.651,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",12,0.718,0.054,"from_dataset",7,4.30331482911935,0.718,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",13,0.74,0.081,"from_dataset",9,3.51364184463153,0.74,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",14,0.745,0.084,"from_dataset",5,3.45032779671177,0.745,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",15,0.758,0.087,"from_dataset",6,3.39031751810405,0.758,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",16,0.922,0.103,"from_dataset",5,3.11588476424878,0.922,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",17,0.938,0.113,"from_dataset",5,2.97482058654365,0.938,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",18,0.962,0.083,"from_dataset",7,3.47105067250312,0.962,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",19,1.522,0.1,"from_dataset",9,3.16227766016838,1.522,"CRAN",NA,NA,"CRAN"
"metasem_Hox02","metaSEM","Hox02","Simulated Effect Sizes Reported by Hox (2002)",20,1.844,0.141,"from_dataset",9,2.66311820645654,1.844,"CRAN",NA,NA,"CRAN"
