"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","lhs","op","rhs","est","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label","precision","abs_yi","source","repo","branch","repo_license"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv",1,1,0,"est",1,"TradPed","=~","ClearResponsibilities",1,NA,"[1.000, 1.000]","1.000",0.788,0.027,0,"[0.734, 0.842]","0.788***",1,"CPY","TradPed.BY.ClearResponsibilities.CPY","",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv",2,1.039,0.003844,"est",2,"TradPed","=~","EffectiveAnswers",1.039,0,"[0.918, 1.159]","1.039***",0.81,0.026,0,"[0.760, 0.861]","0.810***",1,"CPY","TradPed.BY.EffectiveAnswers.CPY",".p2.",16.1290322580645,1.039,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv",3,0.982,0.005476,"est",3,"TradPed","=~","Feedback",0.982,0,"[0.837, 1.126]","0.982***",0.728,0.034,0,"[0.660, 0.795]","0.728***",1,"CPY","TradPed.BY.Feedback.CPY",".p3.",13.5135135135135,0.982,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv",4,1.265,0.006889,"est",4,"TradPed","=~","ClearOrganization",1.265,0,"[1.102, 1.427]","1.265***",0.763,0.03,0,"[0.704, 0.822]","0.763***",1,"CPY","TradPed.BY.ClearOrganization.CPY",".p4.",12.0481927710843,1.265,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv",5,1.188,0.004356,"est",5,"TradPed","=~","ClearPresentation",1.188,0,"[1.059, 1.318]","1.188***",0.833,0.024,0,"[0.787, 0.880]","0.833***",1,"CPY","TradPed.BY.ClearPresentation.CPY",".p5.",15.1515151515152,1.188,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv",6,1,0,"est",6,"Valued","=~","ValObjectives",1,NA,"[1.000, 1.000]","1.000",0.595,0.049,0,"[0.499, 0.691]","0.595***",1,"CPY","Valued.BY.ValObjectives.CPY","",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv",7,1.96,0.046656,"est",7,"Valued","=~","IncrUnderstanding",1.96,0,"[1.536, 2.383]","1.960***",0.812,0.031,0,"[0.750, 0.873]","0.812***",1,"CPY","Valued.BY.IncrUnderstanding.CPY",".p7.",4.62962962962963,1.96,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv",8,2.351,0.065536,"est",8,"Valued","=~","IncrInterest",2.351,0,"[1.849, 2.853]","2.351***",0.835,0.03,0,"[0.776, 0.893]","0.835***",1,"CPY","Valued.BY.IncrInterest.CPY",".p8.",3.90625,2.351,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv",9,1,0,"est",9,"SCRPed","=~","MultPerspectives",1,NA,"[1.000, 1.000]","1.000",0.882,0.024,0,"[0.835, 0.929]","0.882***",1,"CPY","SCRPed.BY.MultPerspectives.CPY","",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strong_paramEsts.csv","lhbikos","Worked_Examples/strong_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strong_paramEsts.csv",10,0.74,0.003025,"est",10,"SCRPed","=~","InclusvClassrm",0.74,0,"[0.631, 0.848]","0.740***",0.771,0.033,0,"[0.705, 0.836]","0.771***",1,"CPY","SCRPed.BY.InclusvClassrm.CPY",".p10.",18.1818181818182,0.74,"GitHub","ReC_Psychometrics","main",NA
