"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","lhs","op","rhs","est","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label","precision","abs_yi","source","repo","branch","repo_license"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",1,1,0,"est",1,"TradPed","=~","ClearResponsibilities",1,NA,"[1.000, 1.000]","1.000",0.8,0.026,0,"[0.749, 0.851]","0.800***",1,"CPY","TradPed.BY.ClearResponsibilities.CPY","",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",2,1.04,0.004356,"est",2,"TradPed","=~","EffectiveAnswers",1.04,0,"[0.910, 1.170]","1.040***",0.81,0.025,0,"[0.761, 0.859]","0.810***",1,"CPY","TradPed.BY.EffectiveAnswers.CPY",".p2.",15.1515151515152,1.04,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",3,1.01,0.005929,"est",3,"TradPed","=~","Feedback",1.01,0,"[0.860, 1.161]","1.010***",0.706,0.034,0,"[0.639, 0.773]","0.706***",1,"CPY","TradPed.BY.Feedback.CPY",".p3.",12.987012987013,1.01,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",4,1.3,0.007744,"est",4,"TradPed","=~","ClearOrganization",1.3,0,"[1.128, 1.472]","1.300***",0.773,0.028,0,"[0.718, 0.829]","0.773***",1,"CPY","TradPed.BY.ClearOrganization.CPY",".p4.",11.3636363636364,1.3,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",5,1.231,0.005329,"est",5,"TradPed","=~","ClearPresentation",1.231,0,"[1.087, 1.375]","1.231***",0.848,0.021,0,"[0.807, 0.890]","0.848***",1,"CPY","TradPed.BY.ClearPresentation.CPY",".p5.",13.6986301369863,1.231,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",6,1,0,"est",6,"Valued","=~","ValObjectives",1,NA,"[1.000, 1.000]","1.000",0.571,0.049,0,"[0.475, 0.667]","0.571***",1,"CPY","Valued.BY.ValObjectives.CPY","",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",7,2.004,0.051076,"est",7,"Valued","=~","IncrUnderstanding",2.004,0,"[1.560, 2.447]","2.004***",0.819,0.029,0,"[0.762, 0.876]","0.819***",1,"CPY","Valued.BY.IncrUnderstanding.CPY",".p7.",4.42477876106195,2.004,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",8,2.39,0.071824,"est",8,"Valued","=~","IncrInterest",2.39,0,"[1.865, 2.914]","2.390***",0.834,0.028,0,"[0.780, 0.889]","0.834***",1,"CPY","Valued.BY.IncrInterest.CPY",".p8.",3.73134328358209,2.39,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",9,1,0,"est",9,"SCRPed","=~","MultPerspectives",1,NA,"[1.000, 1.000]","1.000",0.843,0.027,0,"[0.790, 0.895]","0.843***",1,"CPY","SCRPed.BY.MultPerspectives.CPY","",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",10,0.622,0.002809,"est",10,"SCRPed","=~","InclusvClassrm",0.622,0,"[0.518, 0.726]","0.622***",0.678,0.04,0,"[0.601, 0.756]","0.678***",1,"CPY","SCRPed.BY.InclusvClassrm.CPY",".p10.",18.8679245283019,0.622,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",11,0.591,0.003969,"est",11,"SCRPed","=~","DEIintegration",0.591,0,"[0.468, 0.714]","0.591***",0.566,0.047,0,"[0.473, 0.659]","0.566***",1,"CPY","SCRPed.BY.DEIintegration.CPY",".p11.",15.8730158730159,0.591,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",12,0.644,0.002704,"est",12,"SCRPed","=~","EquitableEval",0.644,0,"[0.543, 0.745]","0.644***",0.716,0.037,0,"[0.644, 0.788]","0.716***",1,"CPY","SCRPed.BY.EquitableEval.CPY",".p12.",19.2307692307692,0.644,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",13,0.185,0.000841,"est",13,"TradPed","~~","Valued",0.185,0,"[0.128, 0.242]","0.185***",0.873,0.031,0,"[0.812, 0.933]","0.873***",1,"CPY","TradPed.WITH.Valued.CPY","",34.4827586206897,0.185,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_strict_paramEsts.csv","lhbikos","Worked_Examples/strict_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/strict_paramEsts.csv",14,0.374,0.002304,"est",14,"TradPed","~~","SCRPed",0.374,0,"[0.280, 0.468]","0.374***",0.869,0.031,0,"[0.808, 0.929]","0.869***",1,"CPY","TradPed.WITH.SCRPed.CPY","",20.8333333333333,0.374,"GitHub","ReC_Psychometrics","main",NA
