"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","outcome","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",1,-0.11,0.4489,"from_dataset","DFS",1.49253731343284,0.11,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",2,-0.14,0.6561,"from_dataset","OS",1.23456790123457,0.14,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",3,0.3,0.0676,"from_dataset","DFS",3.84615384615385,0.3,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",4,0.67,0.0841,"from_dataset","OS",3.44827586206897,0.67,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",5,0.41,0.7744,"from_dataset","DFS",1.13636363636364,0.41,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",6,0.43,0.6561,"from_dataset","OS",1.23456790123457,0.43,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",7,0.47,0.2916,"from_dataset","DFS",1.85185185185185,0.47,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",8,2.08,0.4489,"from_dataset","OS",1.49253731343284,2.08,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",9,0.76,0.2401,"from_dataset","DFS",2.04081632653061,0.76,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",10,0.7,0.3136,"from_dataset","OS",1.78571428571429,0.7,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",11,1.06,0.2916,"from_dataset","DFS",1.85185185185185,1.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",12,1.32,0.2601,"from_dataset","OS",1.96078431372549,1.32,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",13,1.46,0.1681,"from_dataset","DFS",2.4390243902439,1.46,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",14,1.51,0.2304,"from_dataset","OS",2.08333333333333,1.51,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",15,1.64,0.4096,"from_dataset","DFS",1.5625,1.64,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",16,0.71,0.3969,"from_dataset","OS",1.58730158730159,0.71,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",17,1.64,0.4096,"from_dataset","DFS",1.5625,1.64,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",18,2.59,1.0816,"from_dataset","OS",0.961538461538461,2.59,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",19,1.64,0.2601,"from_dataset","DFS",1.96078431372549,1.64,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",20,1.54,0.2704,"from_dataset","OS",1.92307692307692,1.54,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",21,1.7,0.1521,"from_dataset","DFS",2.56410256410256,1.7,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",22,1.38,0.1369,"from_dataset","OS",2.7027027027027,1.38,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",23,1.85,0.4356,"from_dataset","DFS",1.51515151515152,1.85,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",24,2.9,1.21,"from_dataset","OS",0.909090909090909,2.9,"CRAN",NA,NA,"CRAN"
"metadat_dat.riley2003","metadat","dat.riley2003","Studies on MYC-N as a Prognostic Marker for Neuroblastoma",25,1.9,0.2116,"from_dataset","DFS",2.17391304347826,1.9,"CRAN",NA,NA,"CRAN"
