"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","es_id","pstatpub","pstatnotpub","typegen","typeovert","typecovert","pyear","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_wibbelink2017","psymetadata","wibbelink2017","Studies on juvenile recidivism",1,0.906617100371747,0.0739722664838643,"from_dataset",1,1,1,0,1,0,0,4.5,3.67676215843123,0.906617100371747,"CRAN",NA,NA,"CRAN"
"psymetadata_wibbelink2017","psymetadata","wibbelink2017","Studies on juvenile recidivism",2,0.429525614877025,0.0398082152660064,"from_dataset",1,2,1,0,1,0,0,4.5,5.01202982200428,0.429525614877025,"CRAN",NA,NA,"CRAN"
"psymetadata_wibbelink2017","psymetadata","wibbelink2017","Studies on juvenile recidivism",3,0.267911111111111,0.0480922522920044,"from_dataset",1,3,1,0,1,0,0,4.5,4.5599747896585,0.267911111111111,"CRAN",NA,NA,"CRAN"
"psymetadata_wibbelink2017","psymetadata","wibbelink2017","Studies on juvenile recidivism",4,0.207842472810532,0.0238768171705024,"from_dataset",1,4,1,0,1,0,0,4.5,6.47160173879008,0.207842472810532,"CRAN",NA,NA,"CRAN"
"psymetadata_wibbelink2017","psymetadata","wibbelink2017","Studies on juvenile recidivism",5,0.0526222222222222,0.0330749366204977,"from_dataset",1,5,1,0,1,0,0,4.5,5.49857926057216,0.0526222222222222,"CRAN",NA,NA,"CRAN"
"psymetadata_wibbelink2017","psymetadata","wibbelink2017","Studies on juvenile recidivism",6,-0.0507079245283019,0.0886307348770997,"from_dataset",1,6,1,0,1,0,0,4.5,3.35898314708186,0.0507079245283019,"CRAN",NA,NA,"CRAN"
"psymetadata_wibbelink2017","psymetadata","wibbelink2017","Studies on juvenile recidivism",7,0.511656137410976,0.0115144433465341,"from_dataset",2,7,1,0,1,0,0,1.5,9.31919772735528,0.511656137410976,"CRAN",NA,NA,"CRAN"
"psymetadata_wibbelink2017","psymetadata","wibbelink2017","Studies on juvenile recidivism",8,0.473772022263451,0.00760808594080907,"from_dataset",2,8,1,0,1,0,0,1.5,11.4646894464345,0.473772022263451,"CRAN",NA,NA,"CRAN"
"psymetadata_wibbelink2017","psymetadata","wibbelink2017","Studies on juvenile recidivism",9,0.354429258098224,0.00649070828473302,"from_dataset",2,9,1,0,1,0,0,1.5,12.4123483245003,0.354429258098224,"CRAN",NA,NA,"CRAN"
"psymetadata_wibbelink2017","psymetadata","wibbelink2017","Studies on juvenile recidivism",10,2.28441690140845,0.332484216506217,"from_dataset",3,10,1,0,1,0,0,-8.5,1.73426110149059,2.28441690140845,"CRAN",NA,NA,"CRAN"
