"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","es_id","study_id","authors","pub_year","design","ent_alpha","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_agadullina2018","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",1,0.814397456039313,0.00526315789473684,"from_dataset",1,1,"Agadullina & Lovakov","2017","Cross-sectional",0.897,13.7840487520902,0.814397456039313,"CRAN",NA,NA,"CRAN"
"psymetadata_agadullina2018","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",2,0.227612911768741,0.00526315789473684,"from_dataset",2,1,"Agadullina & Lovakov","2017","Cross-sectional",0.897,13.7840487520902,0.227612911768741,"CRAN",NA,NA,"CRAN"
"psymetadata_agadullina2018","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",3,0.520779958225126,0.00526315789473684,"from_dataset",3,1,"Agadullina & Lovakov","2017","Cross-sectional",0.897,13.7840487520902,0.520779958225126,"CRAN",NA,NA,"CRAN"
"psymetadata_agadullina2018","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",4,0.656504266503118,0.00526315789473684,"from_dataset",4,1,"Agadullina & Lovakov","2017","Cross-sectional",0.897,13.7840487520902,0.656504266503118,"CRAN",NA,NA,"CRAN"
"psymetadata_agadullina2018","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",5,-0.382952186287817,0.0117647058823529,"from_dataset",5,2,"Agadullina","2015","Cross-sectional",0.839,9.2195444572929,0.382952186287817,"CRAN",NA,NA,"CRAN"
"psymetadata_agadullina2018","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",6,-0.188902789353997,0.0117647058823529,"from_dataset",6,2,"Agadullina","2015","Cross-sectional",0.839,9.2195444572929,0.188902789353997,"CRAN",NA,NA,"CRAN"
"psymetadata_agadullina2018","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",7,0.492484644236727,0.00338983050847458,"from_dataset",7,2,"Agadullina","2016","Cross-sectional",0.765,17.1755640373177,0.492484644236727,"CRAN",NA,NA,"CRAN"
"psymetadata_agadullina2018","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",8,0.208845671537999,0.00171232876712329,"from_dataset",8,2,"Agadullina","2016","Cross-sectional",0.834,24.1660919471891,0.208845671537999,"CRAN",NA,NA,"CRAN"
"psymetadata_agadullina2018","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",9,0.212418220067958,0.00171232876712329,"from_dataset",9,2,"Agadullina","2016","Cross-sectional",0.834,24.1660919471891,0.212418220067958,"CRAN",NA,NA,"CRAN"
"psymetadata_agadullina2018","psymetadata","agadullina2018","Studies on Out-Group Entitativity and Prejudice",10,-0.484800058039333,0.00179856115107914,"from_dataset",10,2,"Agadullina","2016","Cross-sectional",0.747,23.5796522451032,0.484800058039333,"CRAN",NA,NA,"CRAN"
