"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","es_id","study_id","author","domain","n1","n2","n_total","mean_age1","mean_age2","miyake","task","year","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Aguirre, 2014 2014",0.870862315,2.285219304,"from_dataset",1,1,"Aguirre, 2014","updating",48,48,96,"20.5","68.31","no","Voluntary Forgetting Task",2014,0.661509458069292,0.870862315,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Balouch, 2013 2013",-0.25783372,0.071895721,"from_dataset",2,2,"Balouch, 2013","shifting",28,29,57,"24.64","67.86","no","Trail Making Test",2013,3.72948168151067,0.25783372,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Balouch, 2013 2013",1.534971769,0.980392349,"from_dataset",3,2,"Balouch, 2013","processing speed",28,29,57,"24.64","67.86","no","Digit Symbol Substitution Task",2013,1.00995039487117,1.534971769,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Balouch, 2013 2013",0.396355112,0.113988532,"from_dataset",4,2,"Balouch, 2013","updating",28,29,57,"24.64","67.86","no","Tea Task",2013,2.96189337058255,0.396355112,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Barulli, 2013 2013",2.725806611,34501.95655,"from_dataset",5,3,"Barulli, 2013","shifting",20,18,38,"24.7","68.2","no","Shifting Task",2013,0.00538366636459487,2.725806611,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Bernard, 2013 2013",1.2530391,1.939528395,"from_dataset",6,4,"Bernard, 2013","shifting",10,16,26,"21.7","61.9","no","Trail Making Test",2013,0.718045440680272,1.2530391,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Bernard, 2013 2013",2.000934902,82.37022144,"from_dataset",7,4,"Bernard, 2013","updating",10,16,26,"21.7","61.9","no","Sternberg Task",2013,0.110183073655453,2.000934902,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Bernard, 2013 2013",0.671038217,412.2254792,"from_dataset",8,4,"Bernard, 2013","processing speed",10,16,26,"21.7","61.9","no","Choice RT",2013,0.049252988173591,0.671038217,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Brand, 2013 2013",0.428281702,0.162786155,"from_dataset",9,5,"Brand, 2013","updating",251,46,297,"24.55","70.35","no","Dice Task",2013,2.47851337782737,0.428281702,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Brand, 2013 2013",0.78242828,0.053866526,"from_dataset",10,5,"Brand, 2013","shifting",251,46,297,"24.55","70.35","yes","Modified WCST",2013,4.30864304792973,0.78242828,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Brand, 2013 2013",0.765631129,2.447009551,"from_dataset",11,5,"Brand, 2013","updating",251,46,297,"24.55","70.35","no","Iowa Gambling Task",2013,0.639266825927736,0.765631129,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Bugg, 2014A 2014",1.957228274,272.1793808,"from_dataset",12,6,"Bugg, 2014A","inhibition",16,25,41,"19.2","74.68","yes","Stroop",2014,0.0606139224689272,1.957228274,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Bugg, 2014B 2014",3.391032136,164.3656227,"from_dataset",13,7,"Bugg, 2014B","inhibition",23,16,39,"19.22","71.25","yes","Stroop",2014,0.0779999825082407,3.391032136,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Bugg, 2014C 2014",3.409400809,163.5397698,"from_dataset",14,8,"Bugg, 2014C","inhibition",25,17,42,"19.2","70","yes","Stroop",2014,0.078196678984383,3.409400809,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Cavallini, 2013 2013",1.998403424,0.915732196,"from_dataset",15,9,"Cavallini, 2013","updating",30,29,59,"23.63","74.99","no","Dual Task",2013,1.04499871917882,1.998403424,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Cavallini, 2013 2013",1.783426363,1.013920143,"from_dataset",16,9,"Cavallini, 2013","updating",30,29,59,"23.63","74.99","no","Verbal Fluency",2013,0.993111759622855,1.783426363,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Circelli, 2013 2013",1.077654893,1.261782095,"from_dataset",17,10,"Circelli, 2013","inhibition",16,16,32,"19.2","68.9","yes","Anti-saccade Task",2013,0.890241467368801,1.077654893,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Cona, 2013 2013",1.787737395,28.99439155,"from_dataset",18,11,"Cona, 2013","inhibition",17,16,33,"25","67","no","Go/No-Go Task",2013,0.185713297040913,1.787737395,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Gillis, 2013 2013",-0.385491555,0.852511848,"from_dataset",19,12,"Gillis, 2013","processing speed",25,34,59,"20.52","68.12","no","Trail Making Test",2013,1.08305319606584,0.385491555,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Gillis, 2013 2013",-0.118179535,0.789291587,"from_dataset",20,12,"Gillis, 2013","shifting",25,34,59,"20.52","68.12","no","Trail Making Test",2013,1.12559268784481,0.118179535,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Gillis, 2013 2013",1.225993148,0.072516108,"from_dataset",21,12,"Gillis, 2013","shifting",25,34,59,"20.52","68.12","yes","Modified WCST",2013,3.7134942556561,1.225993148,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Gorlick, 2013A 2013",0.146547114,0.855798654,"from_dataset",22,13,"Gorlick, 2013A","updating",37,30,67,"21.74","66.87","no","Rule Learning Task",2013,1.0809713919751,0.146547114,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Gorlick, 2013B 2013",0.143036016,0.877222357,"from_dataset",23,14,"Gorlick, 2013B","updating",34,31,65,"21.88","67.35","no","Rule Learning Task",2013,1.06768994849681,0.143036016,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Heilbronner, 2013 2013",8.330703161,1.371516899,"from_dataset",24,15,"Heilbronner, 2013","inhibition",19,16,35,"23.1","68.4","no","Go/No-Go Task",2013,0.853885066816469,8.330703161,"CRAN",NA,NA,"CRAN"
"psymetadata_maldonado2020","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning","Kelly, 2013 2013",2.29416619,0.1349244,"from_dataset",25,16,"Kelly, 2013","processing speed",48,48,96,"18-24","60-79","no","Letter Comparison Task",2013,2.72241765345072,2.29416619,"CRAN",NA,NA,"CRAN"
