"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","authors","year","ni","controls","design","a_measure","c_measure","meanage","quality","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",1,0.189226642530929,0.00943396226415094,"ZCOR","Axelsson et al.",2009,109,"none","cross-sectional","self-report","other",22,1,10.295630140987,0.189226642530929,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",2,0.163439918464887,0.00134048257372654,"ZCOR","Axelsson et al.",2011,749,"none","cross-sectional","self-report","NEO",53.59,1,27.3130005674953,0.163439918464887,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",3,0.354092528962243,0.0192307692307692,"ZCOR","Bruce et al.",2010,55,"none","prospective","other","NEO",43.36,2,7.21110255092798,0.354092528962243,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",4,0.331647108705132,0.00961538461538462,"ZCOR","Christensen et al.",1999,107,"none","cross-sectional","self-report","other",41.7,1,10.1980390271856,0.331647108705132,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",5,0.2768638226551,0.0144927536231884,"ZCOR","Christensen & Smith",1995,72,"none","prospective","other","NEO",46.39,2,8.30662386291807,0.2768638226551,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",6,0,0.0161290322580645,"ZCOR","Cohen et al.",2004,65,"none","prospective","other","NEO",41.2,2,7.87400787401181,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",7,0.176820020121789,0.00584795321637427,"ZCOR","Dobbels et al.",2005,174,"none","cross-sectional","self-report","NEO",52.3,1,13.076696830622,0.176820020121789,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",8,0.0500417292784913,0.00309597523219814,"ZCOR","Ediger et al.",2007,326,"multiple","prospective","self-report","NEO",41,3,17.9722007556114,0.0500417292784913,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",9,0.266108406873654,0.0181818181818182,"ZCOR","Insel et al.",2006,58,"none","prospective","other","other",77,2,7.41619848709566,0.266108406873654,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",10,0.0100003333533348,0.00130208333333333,"ZCOR","Jerant et al.",2011,771,"multiple","prospective","other","NEO",78.6,3,27.712812921102,0.0100003333533348,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",11,-0.0902441878561468,0.0188679245283019,"ZCOR","Moran et al.",1997,56,"multiple","prospective","other","NEO",57.2,2,7.28010988928052,0.0902441878561468,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",12,0.388423099718296,0.0113636363636364,"ZCOR","O'Cleirigh et al.",2007,91,"none","prospective","self-report","NEO",37.9,2,9.38083151964686,0.388423099718296,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",13,0,0.00884955752212389,"ZCOR","Penedo et al.",2003,116,"none","cross-sectional","self-report","NEO",39.2,1,10.6301458127346,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",14,0.151140435936467,0.00187265917602996,"ZCOR","Quine et al.",2012,537,"none","prospective","self-report","other",69,2,23.1084400165827,0.151140435936467,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",15,0.244774112659353,0.00645161290322581,"ZCOR","Stilley et al.",2004,158,"none","prospective","other","NEO",46.2,3,12.4498995979887,0.244774112659353,"CRAN",NA,NA,"CRAN"
"metadat_dat.molloy2014","metadat","dat.molloy2014","Studies on the Relationship between Conscientiousness and Medication Adherence",16,0.0400213538367682,0.0161290322580645,"ZCOR","Wiebe & Christensen",1997,65,"none","prospective","other","NEO",56,1,7.87400787401181,0.0400213538367682,"CRAN",NA,NA,"CRAN"
