"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","contrast","paternalstock","vial_letter","estimate","zratio","pvalue","precision","abs_yi","source","repo","branch","repo_license"
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv",1,0.294790073474592,0.027131628717156,"estimate",1,"0.5x - 1x",42,"A",0.294790073474592,1.78967809565813,0.173009307528132,6.0710256439906,0.294790073474592,"GitHub","Diet-and-recombination-in-Dmel","main",NA
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv",2,0.502193316095154,0.0340587028547634,"estimate",2,"0.5x - 2x",42,"A",0.502193316095154,2.72117753172404,0.0178689093105929,5.41858572089885,0.502193316095154,"GitHub","Diet-and-recombination-in-Dmel","main",NA
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv",3,0.207403242620561,0.0402765037959786,"estimate",3,"1x - 2x",42,"A",0.207403242620561,1.0334504524916,0.555704345872797,4.98280759468294,0.207403242620561,"GitHub","Diet-and-recombination-in-Dmel","main",NA
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv",4,-0.0469195201147671,0.0197044558480817,"estimate",4,"0.5x - 1x",217,"A",-0.0469195201147671,-0.334249940448054,0.940276209035587,7.1238993841042,0.0469195201147671,"GitHub","Diet-and-recombination-in-Dmel","main",NA
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv",5,0.24769127332478,0.0250567914266922,"estimate",5,"0.5x - 2x",217,"A",0.24769127332478,1.56476086867317,0.261023047247357,6.31738392584145,0.24769127332478,"GitHub","Diet-and-recombination-in-Dmel","main",NA
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv",6,0.294610793439547,0.0272741369003774,"estimate",6,"1x - 2x",217,"A",0.294610793439547,1.78391084483445,0.174961193620176,6.05514422607364,0.294610793439547,"GitHub","Diet-and-recombination-in-Dmel","main",NA
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv",7,0.346290023079266,0.0289249913179497,"estimate",7,"0.5x - 1x",42,"B",0.346290023079266,2.03611995712376,0.10365131258329,5.87981120281279,0.346290023079266,"GitHub","Diet-and-recombination-in-Dmel","main",NA
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv",8,0.269642596757371,0.0359965659139901,"estimate",8,"0.5x - 2x",42,"B",0.269642596757371,1.42120905368333,0.329901623233288,5.27071416302282,0.269642596757371,"GitHub","Diet-and-recombination-in-Dmel","main",NA
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv",9,-0.0766474263218949,0.0429614613041218,"estimate",9,"1x - 2x",42,"B",-0.0766474263218949,-0.369792461976666,0.927399796279544,4.82459072302904,0.0766474263218949,"GitHub","Diet-and-recombination-in-Dmel","main",NA
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv",10,0.153838180903895,0.0193368581229082,"estimate",10,"0.5x - 1x",217,"B",0.153838180903895,1.10629558817484,0.510151617963675,7.19129400565367,0.153838180903895,"GitHub","Diet-and-recombination-in-Dmel","main",NA
