"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","article","author","year","species","amniotes","environment","reprounit","ni","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.lim2014#1","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",0.400059650056057,0.0555555555555556,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild","single",21,4.24264068711928,0.400059650056057,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#1","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",0.21317134656486,0.0909090909090909,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild","single",14,3.3166247903554,0.21317134656486,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#1","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Allen, R.M., Krug, P.J. & Marshall, D.J. 2009",0.682280562233727,0.0555555555555556,"ZCOR",2,"Allen, R.M., Krug, P.J. & Marshall, D.J.","2009","Elysia_stylifera","no","wild","single",21,4.24264068711928,0.682280562233727,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#1","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Fox, C.W. 1993",0.281183410653656,0.00892857142857143,"ZCOR",3,"Fox, C.W.","1993","Callosobruchus_maculatus","no","captive","single",115,10.5830052442584,0.281183410653656,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#1","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Arnboom, T., Fedak, M.A. & Rothery, P. 1994",0.588755555956322,0.0147058823529412,"ZCOR",5,"Arnboom, T., Fedak, M.A. & Rothery, P.","1994","Mirounga_leonina","yes","wild","single",71,8.24621125123532,0.588755555956322,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#1","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Arnboom, T., Fedak, M.A. & Rothery, P. 1994",0.685370974056203,0.012987012987013,"ZCOR",5,"Arnboom, T., Fedak, M.A. & Rothery, P.","1994","Mirounga_leonina","yes","wild","single",80,8.77496438739212,0.685370974056203,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#1","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Benton, T.G., St Clair, J.J.H & Palistow, S.J. 2008",0.404743086322048,0.0087719298245614,"ZCOR",6,"Benton, T.G., St Clair, J.J.H & Palistow, S.J.","2008","Sancassania_berlesei","no","captive","single",117,10.6770782520313,0.404743086322048,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#1","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A. 2001",1.13581479695013,0.333333333333333,"ZCOR",7,"Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.","2001","Salmo_salar","no","wild","single",6,1.73205080756888,1.13581479695013,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#1","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A. 2001",0.993851905623452,0.333333333333333,"ZCOR",7,"Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.","2001","Salmo_salar","no","wild","single",6,1.73205080756888,0.993851905623452,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#1","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A. 2001",1.16604452105242,0.333333333333333,"ZCOR",7,"Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.","2001","Salmo_salar","no","wild","single",6,1.73205080756888,1.16604452105242,"CRAN",NA,NA,"CRAN"
