Study,Host species,Host,Host reproduction,Parasite,Parasite type,General Or Specific,Ability to cause death,Environment,Parasite measure,PGSN,Micro or macro,nTotal,n1i,n2i,m1i,m2i,sd1i,sd2i,tval,dval
1a,Daphnia magna,Daphnia,Both,Octosporea bayeri,Fungus,Specific,Yes,Lab,Parasite load,1 Genotype,Microparasites,6,3,3,1,0.9532164,0,0.050712317,NA,NA
1b,Daphnia magna,Daphnia,Both,Octosporea bayeri,Fungus,Specific,Yes,Lab,Parasite load,>1 Genotype,Microparasites,6,3,3,1,0.9595376,0,0.025468629,NA,NA
2a,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Field,Parasite load,>Species,Microparasites,19,12,7,239.3042,129.6086,136.04705,80.52968,NA,NA
2b,Bumblebee (Bombus terrestris),Insect,Sexual,Nosema bombi,Fungus,General,No,Field,Parasite load,>Species,Microparasites,19,12,7,1.42583,2.17714,1.1486,5.68101,NA,NA
2c,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Field,Parasite load,>Species,Microparasites,19,12,7,0.68292,0.56157,0.27458,0.25405,NA,NA
2d,Bumblebee (Bombus terrestris),Insect,Sexual,Nosema bombi,Fungus,General,No,Field,Parasite load,>Species,Microparasites,19,12,7,0.13383,0.03457,0.13109,0.05264,NA,NA
3a,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Field,Parasite load,>Species,Microparasites,28,18,10,76.27333,60.806,21.79612,32.59231,NA,NA
3b,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Field,Parasite load,>Species,Microparasites,35,18,17,76.27333,48.00941,21.79612,23.68432,NA,NA
3c,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Field,Parasite prevalence,>Species,Microparasites,28,18,10,0.67685,0.62599,0.15639,0.28026,NA,NA
3d,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Field,Parasite prevalence,>Species,Microparasites,35,18,17,0.67685,0.5444,0.15639,0.20223,NA,NA
4a,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Field,Parasite load,>Species,Microparasites,20,16,4,77.21965,69.4125,21.79095,45.92959,NA,NA
4b,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Field,Parasite load,>Species,Microparasites,28,16,12,77.21965,53.14282,21.79095,21.6865,NA,NA
4c,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Field,Parasite prevalence,>Species,Microparasites,20,16,4,0.669278,0.6252976,0.1560824,0.2078336,NA,NA
4d,Bumblebee (Bombus terrestris),Insect,Sexual,Crithidia bombi,Protozoa,General,Yes,Field,Parasite prevalence,>Species,Microparasites,28,16,12,0.669278,0.5920975,0.1560824,0.142305,NA,NA
5a,Termite (Zootermopsis angusticollis),Insect,Sexual,Metarhizium anisopliae,Fungus,General,Yes,Lab,Parasite load,>1 Genotype,Microparasites,10,5,5,44,25,53,43,NA,NA
6a,Honeybee (A. mellifera L.),Insect,Sexual,Varroa destructor,Mite,General,Yes,Lab,Parasite load,>Species,Macroparasites,35,11,24,81,322,162.5146147,195.9591794,NA,NA
6b,Honeybee (A. mellifera L.),Insect,Sexual,Varroa destructor,Mite,General,Yes,Lab,Parasite load,>Species,Macroparasites,35,11,24,100,50,129.3483668,308.6357076,NA,NA
6c,Honeybee (A. mellifera L.),Insect,Sexual,Varroa destructor,Mite,General,Yes,Lab,Host mortality,>Species,Macroparasites,35,11,24,1.6,3.2,0.928654941,1.959591794,NA,NA
6d,Honeybee (A. mellifera L.),Insect,Sexual,Varroa destructor,Mite,General,Yes,Field,Host mortality,>Species,Macroparasites,35,11,24,0.002493,0.003845,0.002510685,0.002620954,NA,NA
6e,Honeybee (A. mellifera L.),Insect,Sexual,Varroa destructor,Mite,General,Yes,Field,Parasite prevalence,>Species,Macroparasites,36,12,24,0.0458,0.0547,0.030830504,0.036252448,NA,NA
6f,Honeybee (A. mellifera L.),Insect,Sexual,Deformed Wing Virus,Virus,General,Yes,Field,Parasite prevalence,>Species,Microparasites,35,11,24,0.998,0.4898,0.802623199,0.940604061,NA,NA
6g,Honeybee (A. mellifera L.),Insect,Sexual,Black Queen Cell Virus,Virus,General,Yes,Field,Parasite prevalence,>Species,Microparasites,35,11,24,0.53,0.32,0.596992462,0.783836718,NA,NA
6h,Honeybee (A. mellifera L.),Insect,Sexual,Israeli Acute Paralysis Virus,Virus,General,Yes,Field,Parasite prevalence,>Species,Microparasites,35,11,24,0.12,0.051,0.298496231,0.489897949,NA,NA
6i,Honeybee (A. mellifera L.),Insect,Sexual,Deformed Wing Virus,Virus,General,Yes,Field,Parasite prevalence,>Species,Microparasites,35,11,24,0.92,0.795,0.961821189,0.999391815,NA,NA
6j,Honeybee (A. mellifera L.),Insect,Sexual,Black Queen Cell Virus,Virus,General,Yes,Field,Parasite prevalence,>Species,Microparasites,35,11,24,0.5,0.899,0.653375084,0.886715287,NA,NA
6k,Honeybee (A. mellifera L.),Insect,Sexual,Israeli Acute Paralysis Virus,Virus,General,Yes,Field,Parasite prevalence,>Species,Microparasites,35,11,24,0.181,0.13,0.464327471,0.440908154,NA,NA
7a,Daphnia magna,Daphnia,Sexual,Glugoides intestinalis,Fungus,Specific,No,Lab,Parasite prevalence,>Species,Microparasites,30,15,15,0.67,0.68,0.749999999,1.049999999,NA,NA
7b,Daphnia magna,Daphnia,Sexual,Ordospora colligata,Fungus,Specific,No,Lab,Parasite prevalence,>Species,Microparasites,30,15,15,0.64,0.71,0.675000002,0.600000001,NA,NA
7c,Daphnia magna,Daphnia,Sexual,Microsporidium sp. (undescribed species),Fungus,General,No,Lab,Parasite prevalence,>Species,Microparasites,30,15,15,0.28,0.4,1.200000001,0.900000001,NA,NA
8a,New Zealand Robin (Petroica australis),Bird,Sexual,Hippoboscid flies (Ornithomya spp. And Prnithoica spp.),Fly,General,No,Field,Parasite load,>Species,Macroparasites,4,2,2,1.525,2.015254,2.4,2.51442,NA,NA
8b,New Zealand Robin (Petroica australis),Bird,Sexual,Feather mite,Mite,General,No,Field,Parasite load,>Species,Macroparasites,4,2,2,1.9,1.131371,0.9,0,NA,NA
9a,Ant (Acromyrmex echinatior),Insect,Sexual,Metarhizium anisopliae (strain KVL 02-73),Fungus,General,Yes,Lab,Host mortality,1 Genotype,Microparasites,108,54,54,2.1,2.13,1.102270384,0.881816307,NA,NA
9b,Ant (Acromyrmex echinatior),Insect,Sexual,Metarhizium anisopliae (strain KVL 02-73),Fungus,General,Yes,Lab,Host mortality,1 Genotype,Microparasites,108,54,54,1.5,1.06,1.102270384,3.747719306,NA,NA
10a,Bumblebee (Bombus terrestris),Insect,Sexual,Multiple,Many,General,Yes,Field,Parasite prevalence,>Species,Microparasites,17,7,10,0.524,0.27,0.153571429,0.067346939,NA,NA
