"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","pub_year","pub_type","study_id","es_id","subsample","participants","clusters","lab_group","proficiency","age","country","geo_area","match","study_quality","verbal_non_verbal","outcome_task","outcome_type","sub_measure","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",1,-0.0440189298165002,0.0775260239576745,"from_dataset",2015,"Journal Article",1,1,1,1,1,1,"Bilingual",8.75,"Saudi Arabia","Middle East","0",10,"Verbal","Stroop","Incongruent","RT",3.59150309034521,0.0440189298165002,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",2,-0.0616265016874202,0.0775446255529549,"from_dataset",2015,"Journal Article",1,2,1,1,1,1,"Bilingual",8.75,"Saudi Arabia","Middle East","0",10,"Verbal","Stroop","Incongruent","Acc",3.59107229521636,0.0616265016874202,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",3,-0.259525098039794,0.0781801800609783,"from_dataset",2015,"Journal Article",1,3,1,1,1,1,"Bilingual",8.75,"Saudi Arabia","Middle East","0",10,"Verbal","TMT",NA,"RT",3.57644595650387,0.259525098039794,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",4,-0.291058010504782,0.0783537949506427,"from_dataset",2015,"Journal Article",1,4,1,1,1,1,"Bilingual",8.75,"Saudi Arabia","Middle East","0",10,"Verbal","TMT",NA,"Acc",3.57248144776345,0.291058010504782,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",5,-0.344699420242591,0.0786948241990084,"from_dataset",2015,"Journal Article",1,5,1,1,1,1,"Bilingual",8.75,"Saudi Arabia","Middle East","0",10,"Non-verbal",NA,NA,"Acc",3.56473225039581,0.344699420242591,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",6,-0.0352151437418401,0.0775190483593402,"from_dataset",2015,"Journal Article",1,6,1,1,1,1,"Bilingual",8.75,"Saudi Arabia","Middle East","0",10,"Non-verbal",NA,NA,"Acc",3.59166467849632,0.0352151437418401,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",7,-0.296989165764918,0.0783886729416701,"from_dataset",2015,"Journal Article",1,7,1,1,1,1,"Bilingual",8.75,"Saudi Arabia","Middle East","0",10,"Verbal",NA,NA,"Acc",3.57168659543228,0.296989165764918,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",8,-0.349167518925204,0.0787258268585765,"from_dataset",2015,"Journal Article",1,8,1,1,1,1,"Bilingual",8.75,"Saudi Arabia","Middle East","0",10,"Verbal",NA,NA,"Acc",3.56403027578702,0.349167518925204,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",9,0.196726338818,0.0781043531132431,"from_dataset",2002,"Journal Article",2,9,1,2,2,3,"Bilingual",NA,"Canada","North America","1",10,"Verbal",NA,NA,"Other",3.57818161643114,0.196726338818,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",10,-0.132787271757797,0.0111358583861632,"from_dataset",2014,"Journal Article",3,10,1,3,3,5,"Bilingual",9.78571428571429,"Spain","Europe","0",11,"Non-verbal","ANT",NA,"RT",9.47628579875286,0.132787271757797,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",11,-0.115653609944419,0.0111298840763317,"from_dataset",2014,"Journal Article",3,11,1,3,3,5,"Bilingual",9.78571428571429,"Spain","Europe","0",11,"Non-verbal","ANT",NA,"RT",9.47882880242202,0.115653609944419,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",12,-0.122077723947751,0.0111320275302733,"from_dataset",2014,"Journal Article",3,12,1,3,3,5,"Bilingual",9.78571428571429,"Spain","Europe","0",11,"Non-verbal","ANT",NA,"RT",9.47791619189265,0.122077723947751,"CRAN",NA,NA,"CRAN"
"psymetadata_lowe2020","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",13,-0.125080215585027,0.0111330690580621,"from_dataset",2014,"Journal Article",3,13,1,3,3,5,"Bilingual",9.78571428571429,"Spain","Europe","0",11,"Non-verbal","ANT",NA,"RT",9.4774728395731,0.125080215585027,"CRAN",NA,NA,"CRAN"
