...1,Es_id,Study,Species,Phylum,PFT,Variable,Mode,Phase,Temp_treat,LD,Ntype,delX,fracX,delY,fracY,varfracY,sXY,varsXY,CIlow_sXY,CIup_sXY,logRR,var_logRR,CIlow_logRR,CIup_logRR,P_lim,N_lim,Fe_lim
1,1,Berges02,Thalassiosira pseudonana,Bacillariophyta,Dia,CN,SCB,E,17,24,NO3,9,0.0320113818246488,-15.8450704225352,-0.1125,7.2334154206341e-4,-3.514375,0.705885993457405,1.64670336611406,-5.16107836611407,-0.118963153189003,8.9980718798451e-4,0.0587926207887272,-0.17775577397773001,n,n,n
2,2,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CP,SCB,S,24,16,NO3,12,0.0420831141504471,3.62468518273358,1.20557029177719,0.115705121223963,28.6473640583554,65.3336379350438,15.8422372073394,12.805126851016,0.801860174443282,0.0247244484438875,0.308184929160348,0.493675245282933,n,y,n
3,3,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CN,SCB,S,24,16,NO3,12,0.0420831141504471,66.1873787515691,0.840579710144927,3.7826350902508e-4,19.9742753623188,0.213588913621617,0.905810695583926,19.0684646667349,0.610074255096595,1.5268600236163e-4,0.0242185257719915,0.585855729324604,n,y,n
4,4,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CP,SCB,S,24,16,NO3,12,0.0420831141504471,2.58677160012634,0.783274440518257,0.00825513608475897,18.6125588928151,4.66131547472469,4.23157789086048,14.3809810019546,0.57671076429631,0.0045901029710289,0.132788145351734,0.443922618944576,n,y,n
5,5,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CN,SCB,S,24,16,NO3,12,0.0420831141504471,54.6398324378472,0.759493670886076,2.7416475159463e-4,18.0474683544304,0.154808883355848,0.771162726335453,17.2763056280949,0.565018281015428,0.00012242359213923001,0.0216860597593087,0.543332221256119,n,y,n
6,6,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CP,SCB,S,24,16,NO3,12,0.0420831141504471,5.08371189675678,1.38124452234882,0.0321826004636243,32.8218229623138,18.1721115215697,8.35508336853505,24.4667395937787,0.870139703031465,0.00589758498222979,0.150516875634528,0.719622827396938,n,n,n
7,7,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CN,SCB,S,24,16,NO3,12,0.0420831141504471,49.6031746031746,0.3125,0.00659941537680369,7.42578125,3.72640217001696,3.78349315916725,3.64228809083275,0.273574196135779,0.00395943239491007,0.123328814550248,0.150245381585532,n,n,n
8,8,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CP,SCB,S,24,16,NO3,12,0.0420831141504471,2.46216362143556,0.536997885835095,0.0344225150887898,12.7604122621564,19.4368936641224,8.64095056188478,4.11946170027166,0.417493788199501,0.0264395538036541,0.318694928064856,0.0987988601346451,n,n,n
9,9,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CN,SCB,S,24,16,NO3,12,0.0420831141504471,42.1052631578947,0.31578947368421,0.00129701526174543,7.50394736842105,0.732367976548576,1.67730779033141,5.82663957808964,0.274375370376019,9.4394244437916e-4,0.0602172402986712,0.214158130077347,n,n,n
10,10,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CP,SCB,S,24,16,NO3,12,0.0420831141504471,1.67378695528153,0.779984721161192,0.0187528851420225,18.5343869365928,10.5889367311134,6.37784951276743,12.1565374238254,0.573193567252195,0.0101168679995289,0.197138357035328,0.376055210216867,y,n,n
11,11,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CN,SCB,S,24,16,NO3,12,0.0420831141504471,-1.46929180135177,-0.0120481927710845,0.00236372369394873,-0.286295180722896,1.33469172639306,2.26432402832724,-2.55061920905014,-0.0109606826150106,0.00242331504972933,0.0964834958586367,-0.107444178473647,y,n,n
12,12,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CP,SCB,S,24,16,NO3,12,0.0420831141504471,0.812258077455326,0.408403361344538,0.0058889930524647,9.70468487394958,3.32525765343593,3.57405097107919,6.13063390287039,0.341077120374441,0.00446080732110614,0.130904574523124,0.210172545851317,y,n,n
13,13,Bi17,Rhodomonas sp.,Cryptophyta,Euk,CN,SCB,S,24,16,NO3,12,0.0420831141504471,-26.578073089701,-0.186046511627907,4.0096501429499e-4,-4.42093023255814,0.22640746400379,0.93259581259426,-5.3535260451524,-0.205897969812143,4.5243974270669e-4,0.0416896706685628,-0.247587640480706,y,n,n
14,14,Bi18,Emiliania huxleyi,Haptophyta,Coc,CP,SCB,S,24,16,NO3,12,0.0420831141504471,-0.178067667185396,-0.0383287092263222,6.610897173757e-4,-0.91078595299048,0.373288544022192,1.19748593732792,-2.1082718903184,-0.039134241604776,6.8239704639981e-4,0.0511996108687185,-0.0903338524734945,n,y,n
