yi,sei,reputation,quality,pubyear,continent
0.09437543197539486,0.19590314835389688,-11,6,-0.8547535985677193,1
0.09981922548268773,0.19185095895161466,0,9,-0.7527718436593811,0
0.1693160706586833,0.11931790999078501,-11,5,-0.6604834878413627,1
0.1751110666446085,0.11615917381073657,4,9,-0.5630484253882118,0
0.2730164127180146,0.1646945809089682,-10,2,-0.4308792501470695,1
0.28594667898842857,0.17042986598388396,-9,10,-0.3582628819781044,0
0.35762981264939836,0.19218389314023493,-8,6,-0.23077263825262584,0
0.3613311515571021,0.1950082491979161,-8,3,-0.1440306281360486,0
0.3981963459224383,0.22742010338495156,-8,10,-0.05817576165000582,0
0.4001158790484945,0.22868204020692637,0,3,0.04046413899709789,0
0.4140074912261641,0.25804053222792234,-5,1,0.1740093110998473,0
0.41641422315393145,0.254525878280718,-5,5,0.24137960113895462,1
0.4233043495092973,0.1420621858471942,-4,10,0.3420322038264325,0
0.42430644828756003,0.1476667240336475,-4,2,0.4390082363722225,0
0.5108967143770938,0.3482059975832652,-3,1,0.5488862443187585,0
0.5292232557580506,0.3534577227223616,-3,2,0.6528665933882194,0
0.534782235818941,0.247180378522102,-2,4,0.7708300888755675,0
0.5432448851979537,0.20925730500915327,-1,1,0.8437020976034306,0
0.5442821231029195,0.2104092610588787,0,8,-0.8547535985677194,0
0.5550700364923363,0.24005885544357097,0,9,-0.7527718436593812,1
0.6027333931470542,0.22580987028541172,0,9,-0.6604834878413628,1
0.6031363717911558,0.2518670727378792,2,7,-0.5630484253882119,0
0.616109620936008,0.2473306388124927,2,10,-0.4308792501470696,1
0.6178170478602665,0.19636889228374801,-2,6,-0.3582628819781045,1
0.6216594972772775,0.22555089602010453,5,10,-0.23077263825262595,1
0.6300512913035022,0.19735807821863435,6,6,-0.14403062813604872,1
0.6926601667238206,0.2585616002031586,6,3,-0.058175761650005924,1
0.7036825958175391,0.25903374251769695,8,1,0.04046413899709778,0
0.7125223650497086,0.22223545187184332,9,3,0.17400931109984719,1
0.7285388292365408,0.22635613570952534,9,10,0.2413796011389545,1
1.2655269159257376,0.33762639149423784,9,10,0.3420322038264324,1
1.2737920869953896,0.33607723342120743,0,10,0.4390082363722224,1
1.4826707436677655,0.31844407965628824,11,10,0.5488862443187584,1
1.4912139074944548,0.3144267723426635,12,10,0.6528665933882193,1
1.7696556499506628,0.34828462138687044,13,10,0.7708300888755674,1
1.8088658494594787,0.3464142754223083,0,10,0.8437020976034305,1
