Study ID;N_Treatment;N_Control;N_Total;N Before;Mean Before;SD Before;N After;Mean After;SD After;Cohen's d;Hedges_g;Variance d;Var_g;Pearson_r;Fisher_z;Var_z;Outcome_Category;Platform_Type;Content_Strategy;Influencer_Tier;Interactivity_Level;Destination_Type
"Study_1;216;223;439;223;2,83;1,13;216;3,31;1,18;0,42;0,419278764;0,0093;0,009268087;0,205517234;0,20848635;0,002293578;Brand Awareness;Facebook;UGC;Micro;High;Emerging"
"Study_2;90;82;172;82;3,22;0,76;90;3,68;0,81;0,58;0,577437408;0,0243;0,024085747;0,27852445;0,286081715;0,00591716;Brand Image;Instagram;DMO;Mid;Low;Well-known City"
"Study_3;73;66;139;66;3;0,91;73;3,31;0,95;0,33;0,328190128;0,0293;0,028979492;0,162798783;0,164260339;0,007352941;Brand Attitudes;Twitter/X;Mixed;Macro/Mega;High;Nation-Branding"
"Study_4;56;61;117;61;3,5;0,88;56;3,79;1,03;0,3;0,298039216;0,0347;0,034247888;0,148340453;0,14944312;0,00877193;Brand Loyalty;TikTok/YouTube;UGC;N/A;Low;Emerging"
"Study_5;139;146;285;146;2,89;1,1;139;3,62;1,09;0,67;0,668222812;0,0148;0,01472159;0,317649723;0,329030893;0,003546099;Engagement Intentions;TripAdvisor/Other;DMO;Micro;High;Well-known City"
"Study_6;190;197;387;197;3,77;0,96;190;4,36;1,01;0,6;0,598830409;0,0108;0,010757936;0,287347886;0,295673048;0,002604167;Brand Awareness;Facebook;Mixed;Mid;Low;Nation-Branding"
"Study_7;219;218;437;218;3,38;0,85;219;3,78;0,82;0,48;0,479171938;0,0094;0,009367596;0,233372952;0,237753749;0,002304147;Brand Image;Instagram;UGC;Macro/Mega;High;Emerging"
"Study_8;112;119;231;119;3,18;1,05;112;3,04;0,91;-0,14;-0,139540984;0,0174;0,017286089;-0,069829128;-0,069942959;0,004385965;Brand Attitudes;Twitter/X;DMO;N/A;Low;Well-known City"
"Study_9;146;150;296;150;3,47;0,85;146;3,8;0,84;0,39;0,389004255;0,0138;0,013729622;0,191395051;0,193784867;0,003412969;Brand Loyalty;TikTok/YouTube;Mixed;Micro;High;Nation-Branding"
"Study_10;117;122;239;122;3,26;0,99;117;3,48;0,94;0,23;0,229271383;0,0169;0,016793095;0,114247023;0,114748018;0,004237288;Engagement Intentions;TripAdvisor/Other;UGC;Mid;Low;Emerging"
"Study_11;208;201;409;201;3,12;0,88;208;3,64;0,86;0,58;0,578930547;0,0097;0,009664262;0,27852445;0,286081715;0,002463054;Brand Awareness;Facebook;DMO;Macro/Mega;High;Well-known City"
"Study_12;78;74;152;74;3,05;1,02;78;3,21;0,98;0,16;0,159198664;0,0272;0,026928228;0,079745222;0,079914911;0,006711409;Brand Image;Instagram;Mixed;N/A;Low;Nation-Branding"
"Study_13;92;97;189;97;3,4;0,9;92;3,67;0,96;0,29;0,288835341;0,0209;0,020732466;0,14349931;0,144496644;0,005376344;Brand Attitudes;Twitter/X;UGC;Micro;High;Emerging"
"Study_14;297;289;586;289;3,2;0,98;297;3,71;1;0,46;0,459408994;0,0069;0,006882281;0,224147693;0,228018972;0,001715266;Brand Loyalty;TikTok/YouTube;DMO;Mid;Low;Well-known City"
"Study_15;207;212;419;212;3,09;1,02;207;3,47;1,01;0,37;0,369334133;0,0095;0,009465838;0,1819132;0,183960658;0,002403846;Engagement Intentions;TripAdvisor/Other;Mixed;Macro/Mega;High;Nation-Branding"
"Study_16;91;88;179;88;3,55;0,89;91;3,23;0,95;-0,35;-0,348514851;0,023;0,022805223;-0,172380332;-0,174118861;0,005681818;Brand Awareness;Facebook;UGC;N/A;Low;Emerging"
"Study_17;126;132;258;132;2,95;1,11;126;3,48;1,14;0,48;0,478592375;0,0157;0,015608053;0,233372952;0,237753749;0,003921569;Brand Image;Instagram;DMO;Micro;High;Well-known City"
"Study_18;182;177;359;177;3,61;0,87;182;4,2;0,92;0,65;0,648633497;0,0111;0,011053378;0,309086072;0,319534632;0,002808989;Brand Attitudes;Twitter/X;Mixed;Mid;Low;Nation-Branding"
"Study_19;124;119;243;119;3,11;0,92;124;3,59;0,9;0,53;0,52834891;0,016;0,015900467;0,256158238;0,2619925;0,004166667;Brand Loyalty;TikTok/YouTube;UGC;Macro/Mega;High;Emerging"
"Study_20;158;163;321;163;3,34;0,83;158;3,74;0,86;0,48;0,478870588;0,0124;0,012341716;0,233372952;0,237753749;0,003144654;Engagement Intentions;TripAdvisor/Other;DMO;N/A;Low;Well-known City"
"Study_21;92;96;188;96;3,02;1,05;92;2,9;1,01;-0,11;-0,109555855;0,0217;0,021525118;-0,054917001;-0,054972309;0,005405405;Brand Awareness;Facebook;Mixed;Micro;High;Nation-Branding"
"Study_22;191;185;376;185;3,48;0,88;191;3,99;0,93;0,54;0,538916388;0,0107;0,0106571;0,260665852;0,266822667;0,002680965;Brand Image;Instagram;UGC;Mid;Low;Emerging"
"Study_23;74;79;153;79;3,26;0,87;74;3,42;0,89;0,19;0,189054726;0,0258;0,025543922;0,094574193;0,094857681;0,006666667;Brand Attitudes;Twitter/X;DMO;Macro/Mega;High;Well-known City"
"Study_24;148;143;291;143;3,18;1,07;148;3,7;1,1;0,47;0,468779221;0,0139;0,013827886;0,228768027;0,23288907;0,003472222;Brand Loyalty;TikTok/YouTube;Mixed;N/A;Low;Nation-Branding"
"Study_25;129;134;263;134;3,42;0,95;129;3,11;0,9;-0,33;-0,329050815;0,0154;0,015311537;-0,162798783;-0,164260339;0,003846154;Engagement Intentions;TripAdvisor/Other;UGC;Micro;High;Emerging"
"Study_26;196;203;399;203;3,25;0,86;196;3,69;0,88;0,51;0,509035917;0,0099;0,009862606;0,247092907;0,252314305;0,002525253;Brand Awareness;Facebook;DMO;Mid;Low;Well-known City"
"Study_27;113;117;230;117;2,97;1,02;113;3,36;1,07;0,38;0,378748628;0,0174;0,017285589;0,186660646;0,188875015;0,004405286;Brand Image;Instagram;Mixed;Macro/Mega;High;Nation-Branding"
"Study_28;174;167;341;167;3,51;0,93;174;4,08;0,95;0,59;0,588693727;0,0118;0,011747807;0,282945147;0,290880635;0,00295858;Brand Attitudes;Twitter/X;UGC;N/A;Low;Emerging"
"Study_29;70;75;145;75;3,08;0,9;70;3,54;1;0,48;0,477478109;0,027;0,026717033;0,233372952;0,237753749;0,007042254;Brand Loyalty;TikTok/YouTube;DMO;Micro;High;Well-known City"
"Study_30;203;211;414;211;3,3;0,91;203;3,72;0,9;0,47;0,469143898;0,0096;0,009565059;0,228768027;0,23288907;0,00243309;Engagement Intentions;TripAdvisor/Other;Mixed;Mid;Low;Nation-Branding"
"Study_31;137;142;279;142;3,07;1,08;137;3,61;1,05;0,51;0,508617886;0,0141;0,014023681;0,247092907;0,252314305;0,003623188;Brand Awareness;Facebook;UGC;Macro/Mega;High;Emerging"
"Study_32;163;168;331;168;3,59;0,85;163;3,92;0,9;0,39;0,389110266;0,0118;0,011746221;0,191395051;0,193784867;0,00304878;Brand Image;Instagram;DMO;N/A;Low;Well-known City"
"Study_33;66;69;135;69;3,14;0,99;66;3,06;0,95;-0,08;-0,079548023;0,0309;0,030551834;-0,039968038;-0,039989341;0,007575758;Brand Attitudes;Twitter/X;Mixed;Micro;High;Nation-Branding"
"Study_34;184;190;374;190;3,47;0,87;184;3,89;0,91;0,47;0,469051782;0,0104;0,010358079;0,228768027;0,23288907;0,002695418;Brand Loyalty;TikTok/YouTube;UGC;Mid;Low;Emerging"
"Study_35;158;155;313;155;3,22;1,04;158;3,6;1,06;0,36;0,359131134;0,0127;0,012638771;0,177152998;0,179041904;0,003225806;Engagement Intentions;TripAdvisor/Other;DMO;Macro/Mega;High;Well-known City"
"Study_36;93;88;181;88;3,33;0,94;93;3,98;1;0,68;0,677146853;0,022;0,021815772;0,321902733;0,333768352;0,005617978;Brand Awareness;Facebook;Mixed;N/A;Low;Nation-Branding"
"Study_37;218;216;434;216;3,11;0,86;218;3,5;0,88;0,46;0,459200926;0,009;0,008968759;0,224147693;0,228018972;0,002320186;Brand Image;Instagram;UGC;Micro;High;Emerging"
"Study_38;173;169;342;169;3,6;0,9;173;3,92;0,92;0,35;0,349227373;0,0118;0,01174796;0,172380332;0,174118861;0,002949853;Brand Attitudes;Twitter/X;DMO;Mid;Low;Well-known City"
"Study_39;111;118;229;118;3,05;1,03;111;3,49;1,08;0,42;0,418610805;0,0176;0,017483765;0,205517234;0,20848635;0,004424779;Brand Loyalty;TikTok/YouTube;Mixed;Macro/Mega;High;Nation-Branding"
"Study_40;90;93;183;93;3,5;0,88;90;4,19;0,95;0,75;0,746887967;0,0222;0,02201615;0,351123442;0,366724604;0,005555556;Engagement Intentions;TripAdvisor/Other;UGC;N/A;Low;Emerging"
"Study_41;128;124;252;124;3,12;0,96;128;3,55;0,97;0,44;0,438678679;0,0159;0,015804648;0,214861783;0,218262907;0,004016064;Brand Awareness;Facebook;DMO;Micro;High;Well-known City"
"Study_42;137;140;277;140;3,41;0,89;137;3,68;0,87;0,31;0,309153776;0,0129;0,012829668;0,153170954;0,15438597;0,003649635;Brand Image;Instagram;Mixed;Mid;Low;Nation-Branding"
"Study_43;174;179;353;179;3,16;1,07;174;3,55;1,02;0,37;0,369208838;0,0113;0,011251727;0,1819132;0,183960658;0,002857143;Brand Attitudes;Twitter/X;UGC;Macro/Mega;High;Emerging"
"Study_44;210;203;413;203;3,56;0,9;210;4,08;0,94;0,55;0,54899574;0,0099;0,00986388;0,265156483;0,271646761;0,002439024;Brand Loyalty;TikTok/YouTube;DMO;N/A;Low;Well-known City"
"Study_45;81;77;158;77;3,22;0,93;81;3,65;0,98;0,45;0,447833066;0,026;0,025750202;0,219512195;0,223143551;0,006451613;Engagement Intentions;TripAdvisor/Other;Mixed;Micro;High;Nation-Branding"
"Study_46;165;161;326;161;3,1;1,09;165;3,59;1,1;0,44;0,438980695;0,0126;0,012541689;0,214861783;0,218262907;0,003095975;Brand Awareness;Facebook;UGC;Mid;Low;Emerging"
"Study_47;129;132;261;132;3,33;0,91;129;3,7;0,95;0,41;0,408811594;0,0148;0,014714327;0,20082362;0,203590639;0,003875969;Brand Image;Instagram;DMO;Macro/Mega;High;Well-known City"
