"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","lhs","op","rhs","est","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label","precision","abs_yi","source","repo","branch","repo_license"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",1,1,0,"est",1,"TradPed","=~","ClearResponsibilities",1,NA,"[1.000, 1.000]","1.000",0.788,0.027,0,"[0.734, 0.842]","0.788***",1,"CPY","TradPed.BY.ClearResponsibilities.CPY","",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",2,1.041,0.003844,"est",2,"TradPed","=~","EffectiveAnswers",1.041,0,"[0.920, 1.162]","1.041***",0.811,0.026,0,"[0.761, 0.862]","0.811***",1,"CPY","TradPed.BY.EffectiveAnswers.CPY",".p2.",16.1290322580645,1.041,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",3,0.977,0.005476,"est",3,"TradPed","=~","Feedback",0.977,0,"[0.833, 1.122]","0.977***",0.726,0.034,0,"[0.659, 0.794]","0.726***",1,"CPY","TradPed.BY.Feedback.CPY",".p3.",13.5135135135135,0.977,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",4,1.26,0.006889,"est",4,"TradPed","=~","ClearOrganization",1.26,0,"[1.098, 1.422]","1.260***",0.762,0.03,0,"[0.703, 0.822]","0.762***",1,"CPY","TradPed.BY.ClearOrganization.CPY",".p4.",12.0481927710843,1.26,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",5,1.19,0.004356,"est",5,"TradPed","=~","ClearPresentation",1.19,0,"[1.060, 1.320]","1.190***",0.834,0.024,0,"[0.788, 0.880]","0.834***",1,"CPY","TradPed.BY.ClearPresentation.CPY",".p5.",15.1515151515152,1.19,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",6,1,0,"est",6,"Valued","=~","ValObjectives",1,NA,"[1.000, 1.000]","1.000",0.598,0.049,0,"[0.502, 0.693]","0.598***",1,"CPY","Valued.BY.ValObjectives.CPY","",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",7,1.952,0.045796,"est",7,"Valued","=~","IncrUnderstanding",1.952,0,"[1.532, 2.371]","1.952***",0.812,0.031,0,"[0.751, 0.874]","0.812***",1,"CPY","Valued.BY.IncrUnderstanding.CPY",".p7.",4.67289719626168,1.952,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",8,2.33,0.064009,"est",8,"Valued","=~","IncrInterest",2.33,0,"[1.835, 2.825]","2.330***",0.834,0.03,0,"[0.775, 0.892]","0.834***",1,"CPY","Valued.BY.IncrInterest.CPY",".p8.",3.95256916996047,2.33,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",9,1,0,"est",9,"SCRPed","=~","MultPerspectives",1,NA,"[1.000, 1.000]","1.000",0.881,0.024,0,"[0.834, 0.928]","0.881***",1,"CPY","SCRPed.BY.MultPerspectives.CPY","",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",10,0.743,0.003025,"est",10,"SCRPed","=~","InclusvClassrm",0.743,0,"[0.634, 0.851]","0.743***",0.773,0.033,0,"[0.708, 0.838]","0.773***",1,"CPY","SCRPed.BY.InclusvClassrm.CPY",".p10.",18.1818181818182,0.743,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",11,0.693,0.004356,"est",11,"SCRPed","=~","DEIintegration",0.693,0,"[0.563, 0.823]","0.693***",0.638,0.045,0,"[0.550, 0.725]","0.638***",1,"CPY","SCRPed.BY.DEIintegration.CPY",".p11.",15.1515151515152,0.693,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",12,0.626,0.002809,"est",12,"SCRPed","=~","EquitableEval",0.626,0,"[0.522, 0.731]","0.626***",0.707,0.039,0,"[0.630, 0.784]","0.707***",1,"CPY","SCRPed.BY.EquitableEval.CPY",".p12.",18.8679245283019,0.626,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_weak_paramEsts.csv","lhbikos","Worked_Examples/weak_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/weak_paramEsts.csv",13,0.192,0.000841,"est",13,"TradPed","~~","Valued",0.192,0,"[0.135, 0.250]","0.192***",0.875,0.031,0,"[0.815, 0.936]","0.875***",1,"CPY","TradPed.WITH.Valued.CPY","",34.4827586206897,0.192,"GitHub","ReC_Psychometrics","main",NA
