"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","paper","genus","species","fungrp","co2ambi","co2elev","units","time","pot","method","stock","xtrt","level","n_ratio","sd_ratio","mean_ctrl","ntotal","log_ntotal","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",1,1.8221543530531,0.740848738730231,"SMD",44,"ALNUS","RUBRA","N2FIX",350,650,"ul/l",47,"0.5","GC","SEED","FERT","HIGH",0.6,1.58629392264005,3.945,8,2.07944154167984,1.16181031255395,1.8221543530531,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",2,0.592189150174601,0.417534399479226,"SMD",44,"ALNUS","RUBRA","N2FIX",350,650,"ul/l",47,"0.5","GC","SEED","FERT","CONTROL",1,2.03754274859051,2.2512,10,2.30258509299405,1.5475827106458,0.592189150174601,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",3,1.32856991872862,0.488254901447528,"SMD",121,"ACER","RUBRUM","ANGIO",350,700,"ppm",59,"2.6","GH","SEED","NONE",".",1,1.55072463768116,1.93,10,2.30258509299405,1.43112211910895,1.32856991872862,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",4,-0.379823660141519,0.407213300640165,"SMD",121,"QUERCUS","PRINUS","ANGIO",350,700,"ppm",70,"2.6","GH","SEED","NONE",".",1,1.0680564071122,6.62,10,2.30258509299405,1.56707225907352,0.379823660141519,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",5,0.332056331211937,0.506891337943621,"SMD",121,"MALUS","DOMESTICA","ANGIO",350,700,"ppm",64,"2.6","GH","SEED","NONE",".",1,1.11933174224344,4.1,8,2.07944154167984,1.40456733813341,0.332056331211937,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",6,2.51369545683375,0.928249886439998,"SMD",121,"ACER","SACCHARINUM","ANGIO",350,700,"ppm",50,"2.6","GH","SEED","NONE",".",1.66666666666667,0.574037512339585,6.42,8,2.07944154167984,1.0379287638689,2.51369545683375,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",7,0.540497435115726,0.691011456447223,"SMD",159,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",730,"GRND","GC","SAP","NONE",".",1,0.57299265458867,127.3,6,1.79175946922805,1.20297714432894,0.540497435115726,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",8,2.04705236874831,1.01586861669984,"SMD",183,"CITRUS","SINENSIS","ANGIO",395,795,"ppm",365,"9","GH","SAP","NONE",".",1,1.71190260953414,1140.6,6,1.79175946922805,0.992158889891882,2.04705236874831,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",9,1.17096730511183,0.117139555370511,"SMD",209,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",365,"24","GH","SEED","FERT","HIGH",1,1.51984435797665,144.1,40,3.68887945411394,2.92178472575384,1.17096730511183,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",10,0.803541201106734,0.135088725966813,"SMD",209,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",365,"24","GH","SEED","FERT","CONTROL",1,1.00140056022409,59.94,32,3.46573590279973,2.72076133446743,0.803541201106734,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",11,1.24783328575682,0.111583934230526,"SMD",210,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",120,"12","GH","SAP","NONE",".",0.869565217391304,1.32773109243697,28.2,43,3.76120011569356,2.99363718797312,1.24783328575682,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",12,0.813523285641377,0.0902272930862577,"SMD",210,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",120,"12","GH","SAP","NONE",".",1,1.07142857142857,60.5,48,3.87120101090789,3.32913215791813,0.813523285641377,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",13,0.923446076606341,0.276648520512489,"SMD",290,"PINUS","RADIATA","GYMNO",340,640,"ul/l",120,"4","GC","SAP","NONE",".",1,0.984732824427481,46.4,16,2.77258872223978,1.9012351021837,0.923446076606341,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",14,0.435839507903493,0.255936127395299,"SMD",290,"NOTHOFAGUS","FUSCA","ANGIO",340,640,"ul/l",120,"4","GC","SAP","NONE",".",1,1.9,4.2,16,2.77258872223978,1.97667014492361,0.435839507903493,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",15,0.0686615466908154,0.250147325249812,"SMD",290,"PSEUDOTSUGA","MENZIESII","GYMNO",340,640,"ul/l",120,"4","GC","SAP","NONE",".",1,0.666666666666667,18.5,16,2.77258872223978,1.99941095932966,0.0686615466908154,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",16,0.350713194361068,0.406149987234947,"SMD",468,"CASTANEA","SATIVA","ANGIO",350,700,"umol/mol",1095,"24","OTC","SAP","NONE",".",1,0.285714285714286,136,10,2.30258509299405,1.56912224038394,0.350713194361068,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",17,0.762526190669344,0.178780128988681,"SMD",470,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",180,"24","OTC","SAP","NONE",".",1,1.63888888888889,90.4,24,3.17805383034795,2.36505027326955,0.762526190669344,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",18,0.035636157587048,0.400063496786378,"SMD",503,"PINUS","ECHINATA","GYMNO",368,695,"ul/l",287,"0.95","GC","SEED","NONE",".",1,2.05095541401274,6.81,10,2.30258509299405,1.58101334848023,0.035636157587048,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",19,0.399853774341191,0.407994152042745,"SMD",505,"QUERCUS","ALBA","ANGIO",389,793,"cm3/m3",168,"2.6","GH","SEED","FERT","HIGH",1,4.43984306887533,14.62,10,2.30258509299405,1.56557194760336,0.399853774341191,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",20,0.585783134036082,0.417157094006057,"SMD",505,"QUERCUS","ALBA","ANGIO",389,793,"cm3/m3",168,"2.6","GH","SEED","FERT","CONTROL",1,0.871977735258306,11.18,10,2.30258509299405,1.54828242241217,0.585783134036082,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",21,1.62075060085337,0.531341625508328,"SMD",506,"LIRIODENDRON","TULIPIFERA","ANGIO",371,787,"ppm",168,"3.5","GC","SEED","FERT","HIGH",1,4.72839506172839,54.03,10,2.30258509299405,1.37187038193845,1.62075060085337,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",22,0.814855704738116,0.433199490977213,"SMD",506,"LIRIODENDRON","TULIPIFERA","ANGIO",371,787,"ppm",168,"3.5","GC","SEED","FERT","CONTROL",1,0.755555555555556,4.93,10,2.30258509299405,1.51934370629402,0.814855704738116,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",23,0.837137948431676,0.36253333102935,"SMD",510,"QUERCUS","ALBA","ANGIO",360,700,"ul/l",210,"0.95","GC","SEED","NONE",".",1,2.57664342332678,8.2,12,2.484906649788,1.66083324395871,0.837137948431676,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",24,2.60239878132122,0.369311985425555,"SMD",510,"PINUS","ECHINATA","GYMNO",360,700,"ul/l",168,"0.95","GC","SEED","NONE",".",1,2.16710595677385,1.33,20,2.99573227355399,1.64552050668232,2.60239878132122,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",25,9.50264873104694,1.11704923756441,"SMD",550,"BETULA","PENDULA","ANGIO",350,700,"umol/mol",40,"HYDRO","GC","SEED","NONE",".",1,1,14.94,44,3.78418963391826,0.94615838338294,9.50264873104694,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",26,1.56182629466246,0.434970890612461,"SMD",553,"PICEA","ABIES","GYMNO",350,750,"cm3/m3",180,"50","GC","SAP","OZONE","HIGH",1,1.09333333333333,235.5,12,2.484906649788,1.5162468202092,1.56182629466246,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",27,3.0318503660572,0.716338193423382,"SMD",553,"PICEA","ABIES","GYMNO",350,750,"cm3/m3",180,"50","GC","SAP","OZONE","LOW",1,1.86666666666667,236.4,12,2.484906649788,1.18151964322961,3.0318503660572,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",28,0.501960823438683,0.515747791766702,"SMD",582,"PIPER","AURITUM","ANGIO",350,700,"ppm",111,"0.67","GH","SEED","NONE",".",1,1.22330097087379,8.81,8,2.07944154167984,1.39245545672455,0.501960823438683,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",29,0.910320132172734,0.551792671439936,"SMD",582,"SENNA","MULTIJUGA","ANGIO",350,700,"ppm",111,"0.67","GH","SEED","NONE",".",1,1.42268041237113,13.22,8,2.07944154167984,1.34620759345579,0.910320132172734,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",30,-0.293942246297453,0.5054001277599,"SMD",582,"MYRIOCARPA","LONGIPES","ANGIO",350,700,"ppm",111,"0.67","GH","SEED","NONE",".",1,1.25242718446602,9.8,8,2.07944154167984,1.40663793753679,0.293942246297453,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",31,0.87057375278821,0.547368666190234,"SMD",582,"CECROPIA","OBTUSIFOLIA","ANGIO",350,700,"ppm",111,"0.67","GH","SEED","NONE",".",1,1.30769230769231,18.6,8,2.07944154167984,1.35163688124453,0.87057375278821,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",32,0.820657842304346,0.542092455883477,"SMD",582,"TRICHOSPERMUM","MEXICANUM","ANGIO",350,700,"ppm",111,"0.67","GH","SEED","NONE",".",1,1.14634146341463,12.18,8,2.07944154167984,1.35819872457211,0.820657842304346,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",33,0.538536693051508,0.207250544244071,"SMD",596,"BETULA","LENTA","ANGIO",350,700,"ul/l",90,"0.66","GH","SEED","NONE",".",1,0.590943396226415,5.3,20,2.99573227355399,2.19660597278217,0.538536693051508,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",34,1.65568084254321,0.268531976309115,"SMD",596,"BETULA","PAPYRIFERA","ANGIO",350,700,"ul/l",90,"0.66","GH","SEED","NONE",".",1,0.597818902842036,3.6,20,2.99573227355399,1.92975420495836,1.65568084254321,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",35,1.26737740085585,0.240156136905003,"SMD",596,"BETULA","POPULIFOLIA","ANGIO",350,700,"ul/l",90,"0.66","GH","SEED","NONE",".",1,1.76377952755906,4.98,20,2.99573227355399,2.04057779044851,1.26737740085585,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",36,1.31817906520598,0.243439901198683,"SMD",596,"BETULA","ALLEGHANIENSIS","ANGIO",350,700,"ul/l",90,"0.66","GH","SEED","NONE",".",1,1.57834757834758,4.01,20,2.99573227355399,2.02676837204207,1.31817906520598,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",37,0.238741524967095,0.20142493789359,"SMD",666,"PINUS","BANKSIANA","GYMNO",350,750,"umol/mol",270,"0.04","GH","SEED","UVB","HIGH",1,0.857252623238168,0.07382,20,2.99573227355399,2.22814464592489,0.238741524967095,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",38,0.502188536531569,0.206304833155593,"SMD",666,"PINUS","BANKSIANA","GYMNO",350,750,"umol/mol",270,"0.04","GH","SEED","UVB","LOW",1,1.60487207765289,0.41117,20,2.99573227355399,2.20163488888126,0.502188536531569,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",39,3.08258133639127,2.18778846193347,"SMD",2003,"BETULA","PUBESCENS","ANGIO",350,700,"umol/mol",34,"0.2","GC","SEED","TEMP","HIGH",1,1.4002828854314,3.83,4,1.38629436111989,0.676078828565178,3.08258133639127,"CRAN",NA,NA,"CRAN"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",40,3.83598285180298,2.83934555491582,"SMD",2003,"BETULA","PUBESCENS","ANGIO",350,700,"umol/mol",34,"0.2","GC","SEED","TEMP","LOW",1,0.749116607773852,3.4,4,1.38629436111989,0.593459210935065,3.83598285180298,"CRAN",NA,NA,"CRAN"
