"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","es_id","study_id","author","pub_year","continent","grade","low_ability","teachers","ni","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",1,-0.40005965,0.014925373,"from_dataset",1,6,"Hoffman",2010,1,5,"2",1,70,8.18535280870654,0.40005965,"CRAN",NA,NA,"CRAN"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",2,-0.447692024,0.014925373,"from_dataset",2,6,"Hoffman",2010,1,5,"2",1,70,8.18535280870654,0.447692024,"CRAN",NA,NA,"CRAN"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",3,0.010000333,0.011627907,"from_dataset",3,19,"Farquharson",2004,1,5,"2",2,89,9.27361848622209,0.010000333,"CRAN",NA,NA,"CRAN"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",4,-0.287682072,0.003636364,"from_dataset",4,31,"Beasley, Long, & Natali",2001,1,3,"2",2,278,16.5831231226209,0.287682072,"CRAN",NA,NA,"CRAN"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",5,-0.466047199,0.037037037,"from_dataset",5,37,"Novak & Tassell",2015,1,5,"2",1,30,5.19615242530471,0.466047199,"CRAN",NA,NA,"CRAN"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",6,-0.693147181,0.037037037,"from_dataset",6,37,"Novak & Tassell",2015,1,5,"2",1,30,5.19615242530471,0.693147181,"CRAN",NA,NA,"CRAN"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",7,-0.847955755,0.037037037,"from_dataset",7,37,"Novak & Tassell",2015,1,5,"2",1,30,5.19615242530471,0.847955755,"CRAN",NA,NA,"CRAN"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",8,-0.320545409,0.001988072,"from_dataset",8,47,"Hart, Logan, Thompson, Kovas, McLoughlin, & Petrill",2016,1,3,"2",2,506,22.4276590698188,0.320545409,"CRAN",NA,NA,"CRAN"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",9,-0.244774113,0.002004008,"from_dataset",9,47,"Hart, Logan, Thompson, Kovas, McLoughlin, & Petrill",2016,1,3,"2",2,502,22.3383079930419,0.244774113,"CRAN",NA,NA,"CRAN"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",10,-0.309519604,0.002040816,"from_dataset",10,47,"Hart, Logan, Thompson, Kovas, McLoughlin, & Petrill",2016,1,3,"2",2,493,22.1359453920544,0.309519604,"CRAN",NA,NA,"CRAN"
"psymetadata_barroso2021","psymetadata","barroso2021","Studies on Math Anxiety and Math Achievement",11,-0.060072156,0.002079002,"from_dataset",11,47,"Hart, Logan, Thompson, Kovas, McLoughlin, & Petrill",2016,1,3,"2",2,484,21.9317126161639,0.060072156,"CRAN",NA,NA,"CRAN"
