esid,studyid,effectsize,var,binge,followup,males,college
4016,1,0.22446349263191223,0.03244930878281593,1,51.42856979370117,67,0
4026,1,0.31517428159713745,0.03278696909546852,1,51.42856979370117,67,0
4006,1,0.2086382657289505,0.032464683055877686,1,51.42856979370117,67,0
3721,2,0.3019571602344513,0.02022794634103775,0,17.14285659790039,79,1
3513,2,0.22209285199642181,0.01972873881459236,0,17.14285659790039,81,1
3716,2,-0.4749892055988312,0.020564038306474686,0,17.14285659790039,80,1
3715,2,-0.14592866599559784,0.020053239539265633,0,17.14285659790039,79,1
3556,2,0.3273109197616577,0.019870420917868614,0,17.14285659790039,81,1
3514,2,-0.19226279854774475,0.020313933491706848,0,17.14285659790039,86,1
3557,2,-0.4013338088989258,0.020627329126000404,0,17.14285659790039,86,1
3720,2,-0.13200461864471436,0.020043563097715378,0,17.14285659790039,79,1
3722,2,0.43396177887916565,0.02047080732882023,0,17.14285659790039,80,1
3714,2,-0.32906055450439453,0.020270701497793198,0,17.14285659790039,79,1
3,3,0.6269941926002502,0.10000171512365341,1,17.14285659790039,76.19999694824219,0
4,3,0.8384504914283752,0.10488355904817581,0,17.14285659790039,76.19999694824219,0
3029,4,0.21604958176612854,0.06550248712301254,0,17.14285659790039,80,1
3028,4,0.2589156925678253,0.06021507456898689,0,17.14285659790039,80,1
579,4,0.6446437835693359,0.06218748912215233,0,17.14285659790039,80,1
3027,4,0.4746086597442627,0.06786365807056427,0,17.14285659790039,80,1
587,4,0.019469812512397766,0.06512805819511414,0,17.14285659790039,80,1
583,4,0.7820122838020325,0.07075655460357666,0,17.14285659790039,80,1
1156,5,-0.14817041158676147,0.03519481047987938,0,51.42856979370117,79,0
1148,5,-0.03432278707623482,0.03510402888059616,0,51.42856979370117,79,0
4730,6,-1.000312328338623,0.02128051407635212,0,200.57142639160156,54,0
2,6,-0.6014359593391418,0.014242640696465969,0,177.14285278320313,84,0
1,6,-0.1641864776611328,0.013716275803744793,0,177.14285278320313,84,0
511,7,0.13515089452266693,0.058122772723436356,0,17.14285659790039,82,1
227,8,0.11050663143396378,0.048643261194229126,0,32,71,0
357,9,0.7164260149002075,0.18530820310115814,0,17.14285659790039,60,0
