"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","models","trait","sex","population","estimate","llest","ulest","q","p","n_lab","n_lab_av","precision","abs_yi","source","repo","branch","repo_license"
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",1,1686.68660481955,43753.731478797,"estimate","lmers","CCRT","F","YE",1686.68660481955,1276.71324260256,2096.65996703655,8.68497825317339,0.369563640188106,2,2,0.00478071056602616,1686.68660481955,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",2,1534.21323895517,11960.1605598552,"estimate","lmers","CCRT","F","RE",1534.21323895517,1319.86664047604,1748.5598374343,8.68497825317339,0.369563640188106,2,2,0.00914390057246876,1534.21323895517,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",3,1516.6124282516,3718.59955442281,"estimate","lmers","CCRT","F","GI",1516.6124282516,1397.09319524299,1636.13166126021,8.68497825317339,0.369563640188106,2,2,0.0163987329503599,1516.6124282516,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",4,1646.32076027287,14347.4714965028,"estimate","lmers","CCRT","F","MU",1646.32076027287,1411.55444894414,1881.0870716016,8.68497825317339,0.369563640188106,2,2,0.00834857426283631,1646.32076027287,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",5,1541.10292650771,62188.7887919147,"estimate","lmers","CCRT","F","MA",1541.10292650771,1052.33337830223,2029.87247471318,8.68497825317339,0.369563640188106,2,2,0.00400999610498667,1541.10292650771,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",6,1786.28780831569,7005.78084994964,"estimate","lmers","CCRT","F","UM",1786.28780831569,1622.23775911762,1950.33785751376,8.68497825317339,0.369563640188106,2,2,0.011947353835741,1786.28780831569,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",7,1515.42209699156,17763.6921039842,"estimate","lmers","CCRT","F","KA",1515.42209699156,1254.19711403445,1776.64707994868,8.68497825317339,0.369563640188106,2,2,0.00750297296358452,1515.42209699156,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",8,1556.03228552801,25364.1497511869,"estimate","lmers","CCRT","F","VA",1556.03228552801,1243.8859467843,1868.17862427172,8.68497825317339,0.369563640188106,2,2,0.00627899078498976,1556.03228552801,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",9,1701.55621569455,15756.408030141,"estimate","lmers","CCRT","F","AK",1701.55621569455,1455.53265460773,1947.57977678137,8.68497825317339,0.369563640188106,2,2,0.00796657025807534,1701.55621569455,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",10,1729.24619084426,7579.91552609068,"estimate","lmers","CCRT","M","YE",1729.24619084426,1558.60641424508,1899.88596744344,12.1690426472142,0.143819484827642,2,2,0.0114859736903189,1729.24619084426,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",11,1542.95005797468,2873.88631299745,"estimate","lmers","CCRT","M","RE",1542.95005797468,1437.87905375974,1648.02106218962,12.1690426472142,0.143819484827642,2,2,0.0186537094528059,1542.95005797468,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",12,1752.88663306751,9998.90254207798,"estimate","lmers","CCRT","M","GI",1752.88663306751,1556.9009897986,1948.87227633641,12.1690426472142,0.143819484827642,2,2,0.0100005487741307,1752.88663306751,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",13,1690.64043211673,2353.5174068385,"estimate","lmers","CCRT","M","MU",1690.64043211673,1595.556573328,1785.72429090547,12.1690426472142,0.143819484827642,2,2,0.0206130042418111,1690.64043211673,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",14,1479.44043282912,23868.8939470345,"estimate","lmers","CCRT","M","MA",1479.44043282912,1176.6345986828,1782.24626697544,12.1690426472142,0.143819484827642,2,2,0.00647267576619074,1479.44043282912,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",15,1610.29409604293,2553.08945412843,"estimate","lmers","CCRT","M","UM",1610.29409604293,1511.26082888697,1709.32736319888,12.1690426472142,0.143819484827642,2,2,0.0197909656101071,1610.29409604293,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",16,1598.62117416719,24885.6903827594,"estimate","lmers","CCRT","M","KA",1598.62117416719,1289.4329550677,1907.80939326668,12.1690426472142,0.143819484827642,2,2,0.00633906424458359,1598.62117416719,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",17,1526.67895922226,2355.00474667834,"estimate","lmers","CCRT","M","VA",1526.67895922226,1431.56506035935,1621.79285808517,12.1690426472142,0.143819484827642,2,2,0.0206064939821779,1526.67895922226,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",18,1666.71669731455,12068.8934531033,"estimate","lmers","CCRT","M","AK",1666.71669731455,1451.39796331436,1882.03543131473,12.1690426472142,0.143819484827642,2,2,0.00910261707436193,1666.71669731455,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",19,1.15524939988978,0.017578154672485,"estimate","lmers","CSM","F","YE",1.15524939988978,0.895392213500523,1.41510658627905,1.05116542636908,0.99790398116019,3,3,7.54246596668705,1.15524939988978,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",20,1.11245880058436,0.0172854004280671,"estimate","lmers","CSM","F","RE",1.11245880058436,0.854774586974704,1.37014301419402,1.05116542636908,0.99790398116019,3,3,7.60606929343765,1.11245880058436,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",21,1.11215588764,0.0101396664606478,"estimate","lmers","CSM","F","GI",1.11215588764,0.914795528995844,1.30951624628417,1.05116542636908,0.99790398116019,3,3,9.93088986058163,1.11215588764,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",22,1.15551600126582,0.0190569296894709,"estimate","lmers","CSM","F","MU",1.15551600126582,0.884949169131936,1.42608283339971,1.05116542636908,0.99790398116019,3,3,7.24391814429864,1.15551600126582,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",23,1.11744256080027,0.0215481903877929,"estimate","lmers","CSM","F","MA",1.11744256080027,0.829733530641005,1.40515159095953,1.05116542636908,0.99790398116019,3,3,6.81231306314962,1.11744256080027,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",24,1.03168650495758,0.0162057997897346,"estimate","lmers","CSM","F","UM",1.03168650495758,0.782179165288622,1.28119384462653,1.05116542636908,0.99790398116019,3,3,7.85533598787326,1.03168650495758,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",25,1.13172977446161,0.0269434756487657,"estimate","lmers","CSM","F","KA",1.13172977446161,0.81001211533935,1.45344743358388,1.05116542636908,0.99790398116019,3,3,6.09218651499391,1.13172977446161,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",26,1.16170784133398,0.0249949224697636,"estimate","lmers","CSM","F","VA",1.16170784133398,0.851841797059941,1.47157388560801,1.05116542636908,0.99790398116019,3,3,6.32519768060394,1.16170784133398,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",27,1.19321879596376,0.0138515605786339,"estimate","lmers","CSM","F","AK",1.19321879596376,0.962545434768388,1.42389215715914,1.05116542636908,0.99790398116019,3,3,8.49670709432288,1.19321879596376,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",28,1.18679561455192,0.00992633456222155,"estimate","lmers","CSM","M","YE",1.18679561455192,0.991522458533978,1.38206877056986,4.72066426307484,0.786971948114996,3,3,10.0370374735992,1.18679561455192,"GitHub","DrosEU_PhenotypingWG","main",NA
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv",29,1.00809157650409,0.00579550752279343,"estimate","lmers","CSM","M","RE",1.00809157650409,0.858882985954367,1.15730016705381,4.72066426307484,0.786971948114996,3,3,13.135731510626,1.00809157650409,"GitHub","DrosEU_PhenotypingWG","main",NA
