studynum,effect.size,var.eff.size,personal,perwhite,wave
1,0.350484729,0.029965505,1,0.9,3
1,0.283970773,0.030158291,1,0.9,2
1,0.331860572,0.023588547,1,0.9,1
1,0.198757768,0.032734741,1,0.9,3
1,0.385630518,0.030060621,1,0.9,3
1,0.053030323,0.032585584,1,0.9,3
1,0.189135075,0.029329192,1,0.9,2
1,0.485517681,0.030736977,1,0.9,2
1,0.352966249,0.029971922,1,0.9,3
1,0.312066406,0.029871924,1,0.9,3
1,0.229419559,0.030053791,1,0.9,2
1,0.317405403,0.030233316,1,0.9,2
1,0.221185416,0.02471306,1,0.9,1
1,0.214514598,0.032761212,1,0.9,3
1,0.110246763,0.032623559,1,0.9,3
1,0.210175559,0.023396811,1,0.9,1
1,0.17542918,0.029310955,1,0.9,2
1,0.237043276,0.023431741,1,0.9,1
1,0.177414998,0.029313512,1,0.9,2
1,0.288708568,0.024818672,1,0.9,1
1,0.273716956,0.024792809,1,0.9,1
1,0.407336473,0.025071956,1,0.9,1
1,0.323626012,0.029580876,1,0.9,2
1,0.211013749,0.023397837,1,0.9,1
1,0.455599725,0.032091372,1,0.92,2
1,0.282999754,0.030927468,1,0.92,2
1,0.242713496,0.023584081,1,0.92,1
1,0.322346598,0.025027122,1,0.92,1
1,0.44246915,0.023984281,1,0.92,1
1,0.303003699,0.030972211,1,0.92,2
1,0.331768394,0.025046144,1,0.92,1
1,-0.02355914,0.031657219,1,0.92,3
1,0.302337438,0.028921228,1,0.92,3
1,0.110199407,0.028638143,1,0.92,3
1,0.407212377,0.025218217,1,0.92,1
1,0.560336232,0.029716117,1,0.92,3
1,0.168139204,0.031766336,1,0.92,3
1,0.343815953,0.031742305,1,0.92,2
1,0.254053354,0.023600552,1,0.92,1
1,0.377682447,0.03183775,1,0.92,2
1,0.379781425,0.031172298,1,0.92,2
1,0.433565706,0.032014843,1,0.92,2
1,0.31464839,0.032044813,1,0.92,3
1,0.319357783,0.025021203,1,0.92,1
1,0.0324478,0.031659178,1,0.92,3
1,0.25156396600000003,0.028820787,1,0.92,3
1,0.237037033,0.023576118,1,0.92,1
1,0.200500667,0.030775223,1,0.92,2
1,0.11592117,0.029694038,1,0.93,2
1,0.377971679,0.025450353,1,0.93,1
1,0.093666814,0.025031324,1,0.93,1
1,0.094491631,0.029677337,1,0.93,2
1,-0.125235125,0.031716783,1,0.93,3
1,-0.109561741,0.031702295,1,0.93,3
1,0.193976775,0.025121491,1,0.93,1
1,-0.161535472,0.031757765,1,0.93,3
1,0.165461749,0.029745668,1,0.93,2
1,-0.272536069,0.03194746,1,0.93,3
1,0.040462513,0.023714159,1,0.93,1
1,0.189160824,0.030438567,1,0.93,2
1,0.325901121,0.030705348,1,0.93,2
1,0.076448552,0.028615644,1,0.93,3
1,0.03616903,0.028599443,1,0.93,3
1,0.188825056,0.023814803,1,0.93,1
1,0.317896068,0.030685825,1,0.93,2
1,0.27035293,0.029914975,1,0.93,2
1,0.249366313,0.030538574,1,0.93,2
1,-0.02067023,0.028596297,1,0.93,3
1,0.268552274,0.023922689,1,0.93,1
1,0.306437135,0.023987137,1,0.93,1
1,0.358910859,0.025406459,1,0.93,1
1,-0.02425818,0.028596872,1,0.93,3
1,-0.016726468,0.031025615,1,0.88,2
1,0.185860336,0.025111858,1,0.88,1
1,-0.142531633,0.030442722,1,0.88,2
1,0.193706661,0.023820328,1,0.88,1
1,0.018944986,0.030367129,1,0.88,2
1,0.194903776,0.023821704,1,0.88,1
1,-0.055946693,0.03234639,1,0.88,3
1,0.180742338,0.031151151,1,0.88,2
1,0.140295446,0.029345339,1,0.88,3
1,0.038724057,0.023713753,1,0.88,1
1,0.263137132,0.025220286,1,0.88,1
1,0.053141121,0.02928381,1,0.88,3
1,0.093666814,0.025031324,1,0.88,1
1,0.35845542,0.029742448,1,0.88,3
1,0.042337742,0.032340996,1,0.88,3
1,0.090383604,0.030396713,1,0.88,2
1,0.205577865,0.029427746,1,0.88,3
1,0.074304305,0.03104593,1,0.88,2
1,0.250607133,0.02520017,1,0.88,1
1,-0.145222738,0.032418806,1,0.88,3
1,0.090383604,0.030396713,1,0.88,2
1,0.188825056,0.023814803,1,0.88,1
1,0.09938398,0.032373596,1,0.88,3
1,0.258816004,0.031284165,1,0.88,2
2,0.18476285,0.006905088,1,0.8,1
2,0.181951687,0.00769571,1,0.8,1
2,0.304369122,0.006955262,1,0.8,1
2,0.177017584,0.007694049,1,0.8,1
2,0.224247113,0.006918938,1,0.8,1
2,0.146825239,0.007684876,1,0.8,1
3,0.477861315,0.117457263,0,0.566,1
3,0.107261427,0.114445508,0,0.566,1
3,0.437610537,0.116945475,0,0.566,1
3,0.415177613,0.105384506,1,0.566,1
3,0.481691271,0.106149301,1,0.566,1
3,0.514619887,0.117963962,1,0.566,1
3,-0.284962803,0.115413547,1,0.566,1
3,0.166502878,0.114670761,1,0.566,1
3,-0.03682676,0.103191994,1,0.566,1
4,0.176229537,0.027885614,1,0.895,3
4,0.372625411,0.02594577,1,0.895,1
4,0.190450698,0.028302319,1,0.895,2
4,0.316611439,0.025822818,1,0.895,1
4,0.170347378,0.027878536,1,0.895,3
4,0.269161254,0.028429702,1,0.895,2
5,0.505683422,0.076543562,1,0.93,1
5,0.421108276,0.075817786,1,0.93,1
5,0.375698358,0.075482763,1,0.93,1
6,-0.283323377,0.073481068,0,0.91,2
6,-0.386989504,0.074112788,0,0.91,2
6,-0.021634532,0.048202589,0,0.91,1
6,-0.103070796,0.048263766,0,0.91,1
6,-0.338223875,0.07379128,0,0.91,2
6,-0.055426609,0.048218273,0,0.91,1
6,-0.101834826,0.046672758,0,0.91,1
6,-0.116514206,0.046691395,0,0.91,1
6,-0.190001175,0.071842119,0,0.91,2
6,0.072156869,0.046642736,0,0.91,1
6,-0.128829658,0.071667984,0,0.91,2
6,-0.342440993,0.072566815,0,0.91,2
7,-0.125309289,0.032886524,0,0.846,1
7,0.238272622,0.031540588,1,0.846,2
7,0.109079376,0.033392172,0,0.846,2
7,-0.046435151,0.033351578,0,0.846,2
7,0.333366483,0.032259185,1,0.846,2
7,-0.003286035,0.030414788,1,0.846,1
7,-0.094921954,0.032859094,0,0.846,1
7,-0.020951871,0.030160381,1,0.846,1
7,0.233371973,0.031531561,1,0.846,2
7,-0.091983199,0.033113148,0,0.846,1
7,0.022666324,0.030160662,1,0.846,1
7,0.048233617,0.033625595,0,0.846,2
8,0.160619274,0.012373656,1,0.85,1
9,0.534875453,0.052451733,1,0.842,1
9,0.227316335,0.053915914,1,0.842,1
10,0.071475185,0.010220169,1,0.89,1
10,0.020503094,0.010214189,1,0.89,1
10,-0.008265566,0.010586843,1,0.89,2
10,0.017374,0.010587152,1,0.89,2
10,0.041935347,0.010602533,1,0.89,1
10,-0.028595451,0.010601291,1,0.89,1
10,0.016724315,0.011029685,1,0.89,2
10,0.040825814,0.011031589,1,0.89,2
11,0,0.028577261,1,0.915,1
11,0.126426116,0.028634345,1,0.915,1
11,-0.011641318,0.028577745,1,0.915,1
11,0.025533745,0.028579589,1,0.915,1
11,0.059878383,0.030491531,1,0.915,1
11,0,0.03047795,1,0.915,1
11,0.058967784,0.030491121,1,0.915,1
11,0.108383924,0.030522447,1,0.915,1
12,0.076728664,0.013413108,1,0.85,1
12,0.220392168,0.013781803,1,0.85,1
12,0.21018742,0.013477141,1,0.85,2
12,0.149951413,0.013440864,1,0.85,2
12,0.186493918,0.013758185,1,0.85,1
12,0.284079432,0.013538215,1,0.85,1
12,0.132846788,0.01372885,1,0.85,3
12,0.159190074,0.013445641,1,0.85,1
12,0.11594674,0.01372165,1,0.85,2
12,0.141565144,0.013732946,1,0.85,4
12,0.145542413,0.013734901,1,0.85,2
12,0.206562698,0.013474614,1,0.85,1
12,0.199633494,0.013469908,1,0.85,2
12,0.036263518,0.013700882,1,0.85,3
12,0.13770847,0.013434975,1,0.85,1
12,0.13729389,0.013434784,1,0.85,2
12,0.068766147,0.013706727,1,0.85,4
12,0.083137296,0.013414822,1,0.85,2
13,0.572031021,0.052076392,1,0.57,1
13,0.474723488,0.051439784,1,0.57,1
14,-0.091903284,0.071595207,1,0.775,1
14,-0.140597254,0.071696289,1,0.775,2
