"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","pubstatus","year","deltype","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",1,0.9066,0.074,"from_dataset",1,4.5,"general",3.67607311046904,0.9066,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",2,0.4295,0.0398,"from_dataset",1,4.5,"general",5.01254707117085,0.4295,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",3,0.2679,0.0481,"from_dataset",1,4.5,"general",4.55960752587553,0.2679,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",4,0.2078,0.0239,"from_dataset",1,4.5,"general",6.46846227353151,0.2078,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",5,0.0526,0.0331,"from_dataset",1,4.5,"general",5.49649709929313,0.0526,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",6,-0.0507,0.0886,"from_dataset",1,4.5,"general",3.35956570341698,0.0507,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",7,0.5117,0.0115,"from_dataset",1,1.5,"general",9.32504808240314,0.5117,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",8,0.4738,0.0076,"from_dataset",1,1.5,"general",11.4707866935281,0.4738,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",9,0.3544,0.0065,"from_dataset",1,1.5,"general",12.4034734589208,0.3544,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",10,2.2844,0.3325,"from_dataset",1,-8.5,"general",1.73421993904824,2.2844,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",11,2.1771,0.3073,"from_dataset",1,-8.5,"general",1.80392600735896,2.1771,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",12,1.7777,0.2697,"from_dataset",1,-8.5,"general",1.92557095626233,1.7777,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",13,1.548,0.4533,"from_dataset",1,-8.5,"general",1.48527592120123,1.548,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",14,1.4855,0.1167,"from_dataset",1,-6.5,"general",2.92728206555934,1.4855,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",15,1.4836,0.1706,"from_dataset",1,-6.5,"general",2.4210875062208,1.4836,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",16,1.2777,0.1538,"from_dataset",1,-8.5,"general",2.54989226932738,1.2777,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",17,1.0311,0.3132,"from_dataset",1,-8.5,"general",1.78685422472966,1.0311,"CRAN",NA,NA,"CRAN"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",18,0.9409,0.1487,"from_dataset",1,-6.5,"general",2.59325077130583,0.9409,"CRAN",NA,NA,"CRAN"
