"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","team","estimate","quasise","quasivar","stderror","zvalue","prz","precision","abs_yi","source","repo","branch","repo_license"
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv",1,0.560399339329155,0.405731352164316,"estimate",1,"GAMMA.Augsburg",0.560399339329155,0.447958623444213,0.200666928318034,0.636970448423093,0.8797886004233,0.378973841263464,1.56993154466685,0.560399339329155,"GitHub","Krag_MA","main",NA
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv",2,1.67286973948063,0.410237756953283,"estimate",2,"GAMMA.Bayer.Leverkusen",1.67286973948063,0.447068714859786,0.199870435806381,0.640498053824743,2.61182642084713,0.00900599671084439,1.56128499380831,1.67286973948063,"GitHub","Krag_MA","main",NA
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv",3,2.86754790164035,0.427802602258524,"estimate",3,"GAMMA.Bayern.München",2.86754790164035,0.461382109065383,0.212873450565621,0.654066206326641,4.38418599509221,1.16420275018748e-05,1.52889721304543,2.86754790164035,"GitHub","Krag_MA","main",NA
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv",4,1.81164316349651,0.411684650255888,"estimate",4,"GAMMA.Borussia.Dortmund",1.81164316349651,0.448001048658634,0.200704939599236,0.641626566045927,2.82351644923448,0.0047499988442268,1.55853895851379,1.81164316349651,"GitHub","Krag_MA","main",NA
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv",5,0.708499037682774,0.405616072875634,"estimate",5,"GAMMA.Borussia.M.gladbach",0.708499037682774,0.446999971054999,0.19980897412317,0.636879951698618,1.11245303890182,0.265943410845772,1.57015462228463,0.708499037682774,"GitHub","Krag_MA","main",NA
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv",6,1.10743532933813,0.406302520695938,"estimate",6,"GAMMA.Eintracht.Frankfurt",1.10743532933813,0.445606412018155,0.198565074431693,0.637418638491171,1.7373751918512,0.0823209672074351,1.56882767401828,1.10743532933813,"GitHub","Krag_MA","main",NA
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv",7,-0.297618181203671,0.412638173995461,"estimate",7,"GAMMA.Freiburg",-0.297618181203671,0.460125002202893,0.211715017652212,0.642369188236376,-0.463313288765891,0.643139821921186,1.55673718215766,0.297618181203671,"GitHub","Krag_MA","main",NA
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv",8,0.34742464704056,0.406552718910231,"estimate",8,"GAMMA.Hamburger.SV",0.34742464704056,0.450008284621134,0.202507456227656,0.63761486722804,0.544881659599548,0.585834910964847,1.56834486050708,0.34742464704056,"GitHub","Krag_MA","main",NA
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv",9,0.604256923156563,0.405693637004102,"estimate",9,"GAMMA.Hannover.96",0.604256923156563,0.447669526810189,0.200408005234459,0.636940842625202,0.948686098800118,0.342780286258199,1.57000451702614,0.604256923156563,"GitHub","Krag_MA","main",NA
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv",10,1.32398869715055,0.407457268728135,"estimate",10,"GAMMA.Hertha.BSC",1.32398869715055,0.445744638174291,0.198688282461129,0.638323796147484,2.07416471881716,0.0380640156497924,1.56660304070656,1.32398869715055,"GitHub","Krag_MA","main",NA
