studlab,treat1,treat2,TE,seTE
Anderson1985,CBT,Placebo,-0.7568,0.234
Bailey2014,CBT,WLC,-0.9915,0.298
Calderon1988,CBT,WLC,-1.005,0.232
Caldwell1981,PDT,WLC,-0.5061,0.195
Carpenter2016,CBT,WLC,-1.005,0.252
Cummings2012,PDT,WLC,-0.4964,0.349
Dawson2006,CBT,Placebo,-0.7504,0.274
Day2005,PDT,WLC,-0.4961,0.376
Farmer2014,CBT,WLC,-1.0018,0.257
Ferguson1988,CBT,WLC,-1.0061,0.325
Fields1980,CBT,Placebo,-0.7432,0.313
Fraser1990,IPT,WLC,-0.9,0.3758
Fraser1990,CBT,WLC,-1.0074,0.3758
Fraser1990,CBT,SUP,-0.7029,0.3758
Fraser1990,IPT,SUP,-0.5955,0.3758
Fraser1990,CBT,IPT,-0.1074,0.3758
Fraser1990,SUP,WLC,-0.3045,0.3758
George2006,IPT,WLC,-0.9,0.3758
Gibbs1993,SUP,TAU,0.0047,0.208
Gordon1993,PDT,WLC,-0.4913,0.18
Grant2008,IPT,Placebo,-0.654,0.127
Hammond1980,PDT,Placebo,-0.2411,0.126
Harrington1983,PST,WLC,-0.7937,0.265
Hubbard1999,IPT,CBT,0.1068,0.302
Lawson2004,PDT,TAU,-0.1955,0.366
Lee1981,CBT,SUP,-0.6906,0.249
Leon2001,PDT,CBT,0.4912,0.237
Lyons2012,CBT,IPT,-0.0982,0.1
Mason2015,CBT,PST,-0.1966,0.271
Mills2010,CBT,WLC,-1.0026,0.237
Morgan1982,IPT,TAU,-0.5945,0.132
Nichols2003,PST,WLC,-0.8062,0.369
Oliver1991,CBT,WLC,-1.0033,0.291
Padilla1998,CBT,IPT,-0.1045,0.317
Patel1983,CBT,SUP,-0.7044,0.11
Patterson1995,CBT,WLC,-1.0036,0.134
Phillips2002,PDT,WLC,-0.5053,0.148
Porter1991,PDT,SUP,-0.1923,0.191
Richards1992,CBT,WLC,-0.9919,0.196
Richardson1983,PST,WLC,-0.8055,0.371
Schultz1986,CBT,SUP,-0.7008,0.338
Scott1980,PST,WLC,-0.8025,0.261
Snyder2010,PDT,SUP,-0.2096,0.326
Solis2012,IPT,CBT,0.0952,0.376
Stevens1997,PST,SUP,-0.4916,0.148
Stone1993,CBT,TAU,-0.6941,0.376
Stuart1991,SUP,WLC,-0.3049,0.194
Vaughn1984,CBT,TAU,-0.6972,0.11
Walker1981,CBT,WLC,-1.0001,0.213
Webster2014,PDT,SUP,-0.2018,0.153
Weston2001,CBT,WLC,-0.9926,0.343
Wilkerson2015,CBT,PST,-0.2045,0.2
Woods2001,CBT,WLC,-0.9975,0.262
Zimmerman2004,CBT,WLC,-0.999,0.123
