Author,Date,animal,Amniotes,Environment,N,Zr
"Cabezas-Diaz, S., Virgos, E. & Villafuerte, R.",2005,Alectoris_rufa,Y,Captive,23,0.604155602962267
"Marquez, R.",1996,Alytes_obstetricans,N,Wild,67,-0.0400213538367682
"Bluhm, C.K. & Gowaty, P.A.",2004,Anas_platyrhynchos,Y,Captive,49,0.417412221495842
"Ferreiro, R. & Galàn, P.",2004,Anguis_fragilis,Y,Captive,68,1.46421831383677
"Iverson, J. B. & Moler, P. E.",1997,Apalone_ferox,Y,Wild,41,-0.0150011251518994
"Janzen, F. J.",1993,Apalone_mutica,Y,Wild,6,0.382642354363184
"Janzen, F. J.",1993,Apalone_mutica,Y,Wild,14,-0.14194571393891
"Moreno, J., Merino, S., Vasquez, R. and Armesto, J.",2005,Aphrastura_spinicauda,Y,Wild,30,0.440246404771065
"Bauerfeind, S. S. & Fischer, K.",2008,Araschnia_levana,N,Captive,142,0.38842309971829603
"Galeotti, P., Rubolini, D., Fea, G., Ghia, D., Nardi, P.A., Gherardi, F. & Fasola, M.",2006,Austropotamobius_italicus,N,Wild,68,-0.171666663500579
"Horak, D., Klvana, P. & Albrecht, T.",2008,Aythya_ferina,Y,Wild,25,0.0100003333533347
"Bauerfeind, S. S. & Fischer, K.",2007,Bicyclus_anynana,N,Captive,86,-0.2768638226551
"Rohwer, F. C. & Eisenhaur, D. I.",1989,Branta_canadensis,Y,Wild,82,-0.0560586490603531
"Rohwer, F. C. & Eisenhaur, D. I.",1989,Branta_bernicla,Y,Wild,25,-0.0280073207773357
"Rohwer, F. C. & Eisenhaur, D. I.",1989,Branta_bernicla,Y,Wild,57,0.324976785659335
"Samraoui, F., Menai, R. & Samraoui, B.",2007,Bubulcus_ibis,Y,Wild,61,0.244774112659353
"Mallory, M., McNicol, D. & Weatherhead, P.",1994,Bucephala_clangula,Y,Wild,31,-0.192337169219545
"Thorbjarnarson, J. B.",1994,Caiman_crocodilus,Y,Wild,152,0.287682072451781
"Radder, R.S. & Shanbhag, B.A.",2004,Calotes_versicolor,Y,Wild,25,-0.647522844827373
"Ji, X., Qiu, Q. B. & Diong, C. H.",2002,Calotes_versicolor,Y,Captive,20,-0.120581028408444
"Shanbhag, B. A.,Radder, R. S. & Saidapur, S. K.",2000,Calotes_versicolor,Y,Wild,131,-0.240023605735921
"Scantlebury, M., Butterwick, R. & Speakman, J.R.",2001,Canis_lupus,Y,Captive,12,-0.330950281447984
"Scantlebury, M., Butterwick, R. & Speakman, J.R.",2001,Canis_lupus,Y,Captive,7,-0.445666078855916
"Doody, J. S., Georges, A. & Young, J. E.",2003,Carettochelys_insculpta,Y,Wild,44,-0.331647108705132
"Doody, J. S., Georges, A. & Young, J. E.",2003,Carettochelys_insculpta,Y,Wild,44,-0.259684060494553
"Doody, J. S., Georges, A. & Young, J. E.",2003,Carettochelys_insculpta,Y,Wild,69,0.0983155510034261
"Kasparian, K., Gei_ler, E. & Trillmich, F.",2005,Cavia_aperea,Y,Captive,249,-0.590145159841189
"Michel, C.L. & Bonnet, X.",2012,Cavia_aperea,Y,Captive,22,-1.04537054846688
"Formanowicz, D. R. & Shaffer, L. R.",1993,Centruroides_vittatus,N,Captive,34,0.157284277318183
"Herrmann, P. A. & Herrmann, H. W.",2005,Chamaeleo_montium,Y,Captive,49,0.320545409301946
"Rohwer, F. C. & Eisenhaur, D. I.",1989,Chen_canagica,Y,Wild,277,-0.0360155641044414
"Hassal, M., Walters, R.J., Telfer, M. & Hassall, M.R.J.",2006,Chorthippus_brunneus,N,Wild,27,-0.430812376503983
"Hassal, M., Walters, R.J., Telfer, M. & Hassall, M.R.J.",2006,Chorthippus_brunneus,N,Captive,131,-0.46358306205021
"Rollison, N., Brooks, R.J.",2008,Chrysemys_picta,Y,Wild,130,-0.141829265848549
"Iverson, J. B. & Smith, G. R.",1993,Chrysemys_picta,Y,Wild,202,0.0300090048631265
"Sasvari, L., Hegyi, Z. & Hahn, I.",1999,Ciconia_ciconia,Y,Wild,96,0.0983155510034261
"Sasvari, L., Hegyi, Z. & Hahn, I.",1999,Ciconia_ciconia,Y,Wild,109,0.120581028408444
"Brooks, R. J., Shilton, C. M., Brown, G. P. & Quinn, N. W. S.",1992,Clemmys_insculpta,Y,Wild,21,0.549306144334055
"Saeki, Y., Crowley, P., Fox, C. & Potter, D.",2009,Copidosoma_bakeri,N,Captive,25,-0.991468422056486
"Luiselli, L., Capula, M. & Shine, R.",1996,Coronella_austriaca,Y,Wild,28,0.423648930193602
"Genoud, M. & Perrin, N.",1994,Crocidura_russula,Y,Captive,62,-0.758173744684044
"Uller, T. & Olsson, M.",2011,Ctenophorus_fordi,Y,Captive,178,0.123442528017138
"Castro-Franco, R., Bustos-Zagal, M. G. & Mendez-De la Cruz, F. R.",2011,Ctenosaura_pectinata,Y,Captive,25,0.433209450916991
"Iverson, J. B., Hines, K. N. & Valiulis, J. M.",2004,Cyclura_cychlura,Y,Wild,78,0.0600721559210317
"Czapulak, A.",2002,Cygnus_olor,Y,Wild,390,0.10829053200526
"Rohwer, F. C. & Eisenhaur, D. I.",1989,Cygnus_buccinator,Y,Wild,21,-0.229970121453215
"Rohwer, F. C. & Eisenhaur, D. I.",1989,Cygnus_buccinator,Y,Wild,29,0.34732377796759
"Ebert, D.",1993,Daphnia_magna,N,Captive,215,0.0300090048631265
"Glazier, D.S.",1992,Daphnia_magna,N,Captive,43,0.977542262665677
"Glazier, D.S.",1992,Daphnia_magna,N,Captive,43,0.169607861283482
"Wallace, B. P., Sotherland, P. R., Tomillo, P. S., Reina, R. D., Spotila, J. R. & Paladino, F. V.",2007,Dermochelys_coriacea,Y,Wild,137,0.0362571932958554
"Clark, D. R., Bunck, C. M. & Hall, R. J.",1997,Diadophis_punctatus,Y,Captive,47,-0.234189466759367
"Tanaka, K. & Mori, A.",2011,Elaphe_quadrivirgata,Y,Captive,43,-0.847955755218963
"Tanaka, K. & Mori, A.",2011,Elaphe_quadrivirgata,Y,Captive,12,-1.09861228866811
"Congdon, J. D. & Sels, R. C. V.",1991,Emydoidea_blandingii,Y,Wild,219,0.47081022090311
"Rowe, J.",1992,Emydoidea_blandingii,Y,Wild,17,-0.693147180559945
"Tejedo, M.",1992,Epidalea_calamita,N,Captive,94,0.434126230748625
"Schwarzkopf, L.",1992,Eulamprus_tympanum,Y,Captive,45,-0.054827126808086
"Schwarzkopf, L.",1992,Eulamprus_tympanum,Y,Captive,48,-0.311954410564454
"Galdino, C. A. B. & Van Sluys, M.",2011,Eurolophosaurus_nanuzae,Y,Wild,12,0.192337169219545
"Costantini, D., Carello, L. & Dell'Omo, G.",2010,Falco_tinnunculus,Y,Wild,1368,0.128454433037804
"Jarvinen, A.",1996,Ficedula_hypoleuca,Y,Wild,567,-0.0330119868331721
"Potti, J.",1993,Ficedula_hypoleuca,Y,Wild,103,-0.0600721559210317
"Jarvinen, A.",1991,Ficedula_hypoleuca,Y,Wild,262,0.331647108705132
"Uzun, A., Uzun, B. & Kopij, G.",2010,Fulica_atra,Y,Wild,9,-0.604155602962267
Jones,Unpublished,Galaxias_anomalus,N,Wild,25,-0.167550482275845
Jones,Unpublished,Galaxias_depressiceps,N,Wild,19,0.241593170554016
Jones,Unpublished,Galaxias_eldoni,N,Wild,22,0.417710618112312
Jones,Unpublished,Galaxias_pullus,N,Wild,17,0.29202765864463
Jones,Unpublished,Galaxias_gollumoides,N,Wild,18,0.0962965535578922
Jones,Unpublished,Galaxias_southern,N,Wild,20,0.605568312629785
Jones,Unpublished,Galaxias_D.,N,Wild,8,0.217359589595118
Jones,Unpublished,Galaxias_vulgaris,N,Wild,15,-0.40826674218931
"Edwards, T.M., Miller, H.D. & Guillette Jr., L.J.",2006,Gambusia_holbrooki,N,Wild,240,-0.331647108705132
"Marsh-Matthews, E., Brooks, M., Deaton, R. & Tan, H.",2005,Gambusia_affinis,N,Captive,23,-0.415343091360154
"Marsh-Matthews, E., Brooks, M., Deaton, R. & Tan, H.",2005,Gambusia_geiseri,N,Captive,26,0.0882282186707782
"Lim, J.N.",NA,Gambusia_affinis,N,Captive,23,0.211079993340167
"Saino, N., Incagli, M., Martinelli, R., Ambrosini, R & Moller, A.",2001,Hirundo_rustica,Y,Wild,32,-0.510070336613307
"Walker, S.E., Rypstra, A.L. & Marshall, S.D.",2003,Hogna_helluo,N,Wild,17,-0.118552298854127
"Luddecke, H.",2002,Hyla_labialis,N,Captive,85,-0.453581518267519
"Luddecke, H.",2002,Hyla_labialis,N,Captive,25,-0.545666428586647
"Luddecke, H.",2002,Hyla_labialis,N,Captive,15,-0.350309689834654
"Michimae, H.",2007,Hynobius_retardatus,N,Captive,154,-0.788767491932155
"Rua, M. & P., Galan",2002,Iberolacerta_monticola,Y,Captive,54,-0.37688590118819
"Arcos-Garcia, J. L., Martinez, G. D. M., Gama, R. B., Barros, O. V. E. & Morales, G. E. L.",2010,Iguana_iguana,Y,Captive,137,0.266108406873654
"Wilkinson, L.R. & Gibbons, J.W.",2005,Kinosternon_subrubrum,Y,Wild,635,0.0830583710151744
"Iverson, J. B., Barthelmess, E. L., Smith, G. R. & Derivera, C. E.",1991,Kinosternon_hirtipes,Y,Wild,11,-0.37688590118819
"Macip-Ri_os, R. Cisneros, M.,  Aguilar-Miguel X., & Casas-Andreu, G.",2009,Kinosternon_integrum,Y,Wild,20,-1.06455450362471
"Du, Y., Lin, C. X., Lin, L. H., Qiu, Q. B. & Ji, X.",2011,Leiolepis_reevesii,Y,Captive,200,-0.266108406873654
"Timi, J. T., Lanfranchi, A. L. & Poulin, R.",2005,Lernanthropus_cynoscicola,N,Wild,54,0.605568312629785
