"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","studyid","year","source","sampleid","criterion","class","ni","precision","abs_yi","repo","branch","repo_license"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",1,1.40300750739945,0.0136986301369863,"ZCOR",1,2009,"CRAN",1,"grade","nonscience",76,8.54400374531753,1.40300750739945,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",2,0.309519604203112,0.00340136054421769,"ZCOR",2,1975,"CRAN",1,"grade","nonscience",297,17.1464281994822,0.309519604203112,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",3,0.907644983319124,0.00531914893617021,"ZCOR",3,2007,"CRAN",1,"gpa",NA,191,13.7113092008021,0.907644983319124,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",4,0.516507503091148,0.00381679389312977,"ZCOR",4,1989,"CRAN",1,"grade","nonscience",265,16.1864140562386,0.516507503091148,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",5,0.34732377796759,0.00662251655629139,"ZCOR",4,1989,"CRAN",2,"grade","nonscience",154,12.2882057274445,0.34732377796759,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",6,0.716923450684486,0.00628930817610063,"ZCOR",5,2008,"CRAN",1,"grade","nonscience",162,12.6095202129185,0.716923450684486,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",7,0.14602922352579,0.04,"ZCOR",6,1999,"CRAN",1,"grade","nonscience",28,5,0.14602922352579,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",8,0.234189466759367,0.0333333333333333,"ZCOR",6,1999,"CRAN",2,"grade","nonscience",33,5.47722557505166,0.234189466759367,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",9,0.2768638226551,0.0227272727272727,"ZCOR",6,1999,"CRAN",3,"grade","nonscience",47,6.6332495807108,0.2768638226551,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",10,-0.0228039520167231,0.0454545454545455,"ZCOR",6,1999,"CRAN",4,"grade","nonscience",25,4.69041575982343,0.0228039520167231,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",11,0.458670484136929,0.0222222222222222,"ZCOR",6,1999,"CRAN",5,"grade","nonscience",48,6.70820393249937,0.458670484136929,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",12,0.364304606999593,0.0277777777777778,"ZCOR",6,1999,"CRAN",6,"grade","nonscience",39,6,0.364304606999593,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",13,0.223656109021832,0.0263157894736842,"ZCOR",6,1999,"CRAN",7,"grade","nonscience",41,6.16441400296898,0.223656109021832,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",14,0.352962252919743,0.03125,"ZCOR",6,1999,"CRAN",8,"grade","nonscience",35,5.65685424949238,0.352962252919743,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",15,0.480944862554575,0.0232558139534884,"ZCOR",6,1999,"CRAN",9,"grade","nonscience",46,6.557438524302,0.480944862554575,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",16,0.345074338781844,0.00288184438040346,"ZCOR",7,2007,"CRAN",1,"gpa",NA,350,18.6279360101972,0.345074338781844,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",17,0.424839974110779,0.00288184438040346,"ZCOR",7,2007,"CRAN",1,"grade","nonscience",350,18.6279360101972,0.424839974110779,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",18,0.223656109021832,0.00239234449760766,"ZCOR",8,2003,"CRAN",1,"grade","nonscience",421,20.4450483002609,0.223656109021832,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",19,0.271478450974392,0.00290697674418605,"ZCOR",9,2006,"CRAN",1,"grade","nonscience",347,18.5472369909914,0.271478450974392,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",20,-0.388423099718296,0.00336700336700337,"ZCOR",10,2006,"CRAN",1,"gpa",NA,300,17.2336879396141,0.388423099718296,NA,NA,"CRAN"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",21,0.604155602962267,0.00336700336700337,"ZCOR",10,2006,"CRAN",1,"grade","nonscience",300,17.2336879396141,0.604155602962267,NA,NA,"CRAN"
