"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","contrast","estimate","tratio","pvalue","precision","abs_yi","source","repo","branch","repo_license"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",1,4.60927140625,1.55832696011148,"estimate",1,"control Eutrophic - PHE Eutrophic",4.60927140625,3.69235108661891,0.00982190045137055,0.80107044284965,4.60927140625,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",2,1.1967435444079,0.574120458988438,"estimate",2,"control Eutrophic - control Pesticide",1.1967435444079,1.57942708667774,0.760734163657918,1.31977071784346,1.1967435444079,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",3,5.48674078125,1.9738808161412,"estimate",3,"control Eutrophic - PHE Pesticide",5.48674078125,3.90529620604388,0.0050175585397354,0.711769766741955,5.48674078125,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",4,-2.59652318933823,0.604997525690339,"estimate",4,"control Eutrophic - control Recovery",-2.59652318933823,-3.33822347117622,0.0279358020466698,1.28565132207698,2.59652318933823,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",5,3.12865578125,2.80498852820066,"estimate",5,"control Eutrophic - PHE Recovery",3.12865578125,1.86806610042657,0.576905567760216,0.597082654992559,3.12865578125,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",6,-1.59944046875,0.667854411476349,"estimate",6,"control Eutrophic - (control Semi-Pristine)",-1.59944046875,-1.95716382866621,0.517554398262111,1.22365531378344,1.59944046875,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",7,1.46966078125,1.9738808161412,"estimate",7,"control Eutrophic - (PHE Semi-Pristine)",1.46966078125,1.04606011146011,0.965400850103176,0.711769766741955,1.46966078125,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",8,-3.4125278618421,1.50911663505532,"estimate",8,"PHE Eutrophic - control Pesticide",-3.4125278618421,-2.77788845419319,0.117431836559302,0.814026600413946,3.4125278618421,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",9,0.877469375000004,2.90887699220809,"estimate",9,"PHE Eutrophic - PHE Pesticide",0.877469375000004,0.514480939407855,0.999550376384375,0.586323527710415,0.877469375000004,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",10,-7.20579459558822,1.53999370175722,"estimate",10,"PHE Eutrophic - control Recovery",-7.20579459558822,-5.8066066330242,4.64436736802298e-06,0.805824611844935,7.20579459558822,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",11,-1.48061562499999,3.73998470426756,"estimate",11,"PHE Eutrophic - PHE Recovery",-1.48061562499999,-0.765609678886374,0.994327812347683,0.517088747382615,1.48061562499999,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",12,-6.208711875,1.60285058754324,"estimate",12,"PHE Eutrophic - (control Semi-Pristine)",-6.208711875,-4.90405108831263,0.000153105264940834,0.789866108630242,6.208711875,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",13,-3.139610625,2.90887699220809,"estimate",13,"PHE Eutrophic - (PHE Semi-Pristine)",-3.139610625,-1.8408275772871,0.595071343570463,0.586323527710415,3.139610625,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",14,4.2899972368421,1.92467049108507,"estimate",14,"control Pesticide - PHE Pesticide",4.2899972368421,3.09228004989305,0.0543868550000172,0.720811664710836,4.2899972368421,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",15,-3.79326673374613,0.555787200634188,"estimate",15,"control Pesticide - control Recovery",-3.79326673374613,-5.08814069614328,7.66553475447518e-05,1.34136116790247,3.79326673374613,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",16,1.93191223684211,2.75577820314451,"estimate",16,"control Pesticide - PHE Recovery",1.93191223684211,1.16376492290243,0.939401928174347,0.602390160748042,1.93191223684211,"GitHub","life-history-traits-analysis","main","MIT"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv",17,-2.7961840131579,0.618644086420197,"estimate",17,"control Pesticide - (control Semi-Pristine)",-2.7961840131579,-3.55504674344172,0.0148963355576119,1.2713922712929,2.7961840131579,"GitHub","life-history-traits-analysis","main","MIT"
