"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","es_id","study_id","author","age","ses","experimenter","duration","dialogic_reading","follow_up","year","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Chacko et al 2017 2017",0.328735056695982,0.166826061333062,"from_dataset",1,1,"Chacko et al 2017","Preschool","Low","Parent",8,"Y","N",2017,2.44831927546325,0.328735056695982,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Chacko et al 2017 2017",0.387257611830749,0.168148060367806,"from_dataset",2,1,"Chacko et al 2017","Preschool","Low","Parent",8,"Y","N",2017,2.43867580226061,0.387257611830749,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Coyne et al 2004 2004",1.05634788368857,0.0890805283922006,"from_dataset",3,2,"Coyne et al 2004",NA,"Unknown","Teacher",30,"N","N",2004,3.35049217339057,1.05634788368857,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Coyne et al 2004 2004",0.319298048007421,0.0909923689858682,"from_dataset",4,2,"Coyne et al 2004",NA,"Unknown","Teacher",30,"N","N",2004,3.31510672151948,0.319298048007421,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Purpura et al 2017 2017",0.386632753217992,0.424085888884405,"from_dataset",5,3,"Purpura et al 2017","Preschool","Low","Researcher",8,"Y","N",2017,1.53558226995091,0.386632753217992,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Purpura et al 2017 2017",-0.0343470392177712,0.36300418463932,"from_dataset",6,3,"Purpura et al 2017","Preschool","Low","Researcher",8,"Y","N",2017,1.65975575902503,0.0343470392177712,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Vaknin-Nusbau & Nevo 2017 2017",1.27447033374757,1.48572319681558,"from_dataset",7,4,"Vaknin-Nusbau & Nevo 2017","Preschool","Middle or high","Teacher",8,"N","N",2017,0.820410193794692,1.27447033374757,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Vaknin-Nusbau & Nevo 2017 2017",0.558995460775558,0.448058427353469,"from_dataset",8,4,"Vaknin-Nusbau & Nevo 2017","Preschool","Middle or high","Teacher",8,"N","N",2017,1.49393834646926,0.558995460775558,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Vaknin-Nusbau & Nevo 2017 2017",1.01218955726434,0.512918933505255,"from_dataset",9,4,"Vaknin-Nusbau & Nevo 2017","Preschool","Middle or high","Teacher",8,"N","N",2017,1.39629002258043,1.01218955726434,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Vaknin-Nusbau & Nevo 2017 2017",1.12359509612783,1.15647242751622,"from_dataset",10,4,"Vaknin-Nusbau & Nevo 2017","Primary School age","Middle or high","Teacher",8,"N","N",2017,0.929891672740197,1.12359509612783,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Vaknin-Nusbau & Nevo 2017 2017",0.600254903777344,0.676871447481983,"from_dataset",11,4,"Vaknin-Nusbau & Nevo 2017","Primary School age","Middle or high","Teacher",8,"N","N",2017,1.21547744059214,0.600254903777344,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Vaknin-Nusbau & Nevo 2017 2017",1.13294391933702,0.469512148629907,"from_dataset",12,4,"Vaknin-Nusbau & Nevo 2017","Primary School age","Middle or high","Teacher",8,"N","N",2017,1.45940753073779,1.13294391933702,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Wing-Yin Chow & McBride-Chang 2003 2003",0.445308920564795,0.597936110680772,"from_dataset",13,5,"Wing-Yin Chow & McBride-Chang 2003","Primary School age","Middle or high","Parent",8,"Y","N",2003,1.29322058488647,0.445308920564795,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Wing-Yin Chow & McBride-Chang 2003 2003",0.112532517447151,0.564982223702127,"from_dataset",14,5,"Wing-Yin Chow & McBride-Chang 2003","Primary School age","Middle or high","Parent",8,"N","N",2003,1.3304011394958,0.112532517447151,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Wing-Yin Chow & McBride-Chang 2003 2003",0.243450243170868,0.60592573395236,"from_dataset",15,5,"Wing-Yin Chow & McBride-Chang 2003","Primary School age","Middle or high","Parent",8,"Y","N",2003,1.28466620997317,0.243450243170868,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Wing-Yin Chow & McBride-Chang 2003 2003",0.175496760277836,0.58865805989151,"from_dataset",16,5,"Wing-Yin Chow & McBride-Chang 2003","Primary School age","Middle or high","Parent",8,"N","N",2003,1.30337219718229,0.175496760277836,"CRAN",NA,NA,"CRAN"
"psymetadata_noble2019","psymetadata","noble2019","Studies on Shared Reading and Language Development","Wing-Yin Chow et al 2008 2008",0.177756830037534,0.0634816453243849,"from_dataset",17,6,"Wing-Yin Chow et al 2008","Primary School age","Middle or high","Parent",12,"Y","N",2008,3.96895260501388,0.177756830037534,"CRAN",NA,NA,"CRAN"
