Author,year,animal,Amniotes,Environment,Reproductive Unit,N,Zr
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,Single,21,0.40005965
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,Single,14,0.213171347
"Allen, R.M., Krug, P.J. & Marshall, D.J.",2009,Elysia_stylifera,N,Wild,Single,21,0.683026055
"Fox, C.W.",1993,Callosobruchus_maculatus,N,Captive,Single,115,0.281183411
"Arnboom, T., Fedak, M.A. & Rothery, P.",1994,Mirounga_leonina,Y,Wild,Single,71,0.588192154
"Arnboom, T., Fedak, M.A. & Rothery, P.",1994,Mirounga_leonina,Y,Wild,Single,80,0.684865418
"Benton, T.G., St Clair, J.J.H & Palistow, S.J.",2008,Sancassania_berlesei,N,Captive,Single,117,0.404743086
"Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.",2001,Salmo_salar,N,Wild,Single,6,1.135814797
"Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.",2001,Salmo_salar,N,Wild,Single,6,0.993851906
"Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.",2001,Salmo_salar,N,Wild,Single,6,1.166044521
"Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A.",2001,Salmo_salar,N,Wild,Single,6,1.098612289
"Blouin-Demers, G. & Weatherhead, P.J.",2007,Pantherophis_obsoletus,Y,Wild,Single,51,0.054827127
"Boersma, M.",1995,Daphnia_galeata,N,Captive,Single,484,0.472230804
"Boltnev , A.I. & York, A.E.",2001,Callorhinus_ursinus,Y,Wild,Single,252,0.180140537
"Bonenfant, C., Gaillard, J.M., Loison, A. & Klein, F.",2003,Cervus_elaphus,Y,Wild,Single,111,1.591943265
"Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O.",2001,Vipera_aspis,Y,Wild,Single,132,0.223656109
"Dziminski, M.A. & Alford, R.A.",2005,Limnodynastes_ornatus,N,Wild,Single,24,0.021003088
"Dziminski, M.A. & Alford, R.A.",2005,Cyclorana_alboguttata,N,Wild,Single,21,0.057061852
"Dziminski, M.A. & Alford, R.A.",2005,Cyclorana_brevipes,N,Wild,Single,8,0.324976786
"Dziminski, M.A. & Alford, R.A.",2005,Cyclorana_novaehollandiae,N,Wild,Single,8,-0.373443468
