"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","paramcd","corr","contrast","visit","estimate","df","lowercl","uppercl","precision","abs_yi","source","repo","branch","repo_license"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv",1,-0.00655834600089355,1.10111357216091e-05,"estimate","BASO","corCAR1","Placebo - Xanomeline Low Dose","WEEK 2",-0.00655834600089355,1433,-0.0143435599403498,0.00122686793856268,301.358844608937,0.00655834600089355,"GitHub","CSRMLW","main","MIT"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv",2,-0.00312323169010731,1.10321115502426e-05,"estimate","BASO","corCAR1","Placebo - Xanomeline High Dose","WEEK 2",-0.00312323169010731,1433,-0.0109158573816643,0.00466939400144971,301.0722150263,0.00312323169010731,"GitHub","CSRMLW","main","MIT"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv",3,0.00343511431078624,1.13732859071464e-05,"estimate","BASO","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 2",0.00343511431078624,1433,-0.00447708961606926,0.0113473182376417,296.522068884584,0.00343511431078624,"GitHub","CSRMLW","main","MIT"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv",4,-0.0072936388882437,1.16095083287473e-05,"estimate","BASO","corCAR1","Placebo - Xanomeline Low Dose","WEEK 4",-0.0072936388882437,1433,-0.0152875885182714,0.000700310741783956,293.489850000444,0.0072936388882437,"GitHub","CSRMLW","main","MIT"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv",5,-0.00762145823149138,1.16367376706274e-05,"estimate","BASO","corCAR1","Placebo - Xanomeline High Dose","WEEK 4",-0.00762145823149138,1433,-0.0156247770138582,0.000381860550875447,293.146273643007,0.00762145823149138,"GitHub","CSRMLW","main","MIT"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv",6,-0.000327819343247682,1.22627708167655e-05,"estimate","BASO","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 4",-0.000327819343247682,1433,-0.0085435993097046,0.00788796062320923,285.565471252476,0.000327819343247682,"GitHub","CSRMLW","main","MIT"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv",7,-0.00419109215018933,1.59169103368726e-05,"estimate","BASO","corCAR1","Placebo - Xanomeline Low Dose","WEEK 6",-0.00419109215018933,1433,-0.0135512652135626,0.00516908091318392,250.651677265293,0.00419109215018933,"GitHub","CSRMLW","main","MIT"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv",8,-0.00966934445788982,1.56002923383196e-05,"estimate","BASO","corCAR1","Placebo - Xanomeline High Dose","WEEK 6",-0.00966934445788982,1433,-0.0189359539604494,-0.000402734955330221,253.182469508387,0.00966934445788982,"GitHub","CSRMLW","main","MIT"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv",9,-0.00547825230770049,1.70795961867449e-05,"estimate","BASO","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 6",-0.00547825230770049,1433,-0.0151742676258938,0.00421776301049282,241.969819645983,0.00547825230770049,"GitHub","CSRMLW","main","MIT"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv",10,-0.00755879571286795,1.46086821721188e-05,"estimate","BASO","corCAR1","Placebo - Xanomeline Low Dose","WEEK 8",-0.00755879571286795,1433,-0.0165260609161644,0.00140846949042847,261.634179946576,0.00755879571286795,"GitHub","CSRMLW","main","MIT"
