"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","article","author","year","species","amniotes","environment","reprounit","ni","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.lim2014#2","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",1.09861228866811,0.0555555555555556,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild","single",21,4.24264068711928,1.09861228866811,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#2","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",0.950479380596523,0.0909090909090909,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild","single",14,3.3166247903554,0.950479380596523,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#2","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Allen, R.M., Krug, P.J. & Marshall, D.J. 2009",0.798147774420283,0.0476190476190476,"ZCOR",2,"Allen, R.M., Krug, P.J. & Marshall, D.J.","2009","Elysia_stylifera","no","wild","single",24,4.58257569495584,0.798147774420283,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#2","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Gunn, J.S. & Thresher, R.E. 1991",1.57615950408957,0.0625,"ZCOR",4,"Gunn, J.S. & Thresher, R.E.","1991","Heteroclinus_perspicillatus","no","wild","single",19,4,1.57615950408957,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#2","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Gunn, J.S. & Thresher, R.E. 1991",0.963874234690505,0.0416666666666667,"ZCOR",4,"Gunn, J.S. & Thresher, R.E.","1991","Heteroclinus_puellarum","no","wild","single",27,4.89897948556636,0.963874234690505,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#2","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Bernal, J.S., Gillogly, P.O. & Griset, J. 2001",1.38470284783983,0.0285714285714286,"ZCOR",8,"Bernal, J.S., Gillogly, P.O. & Griset, J.","2001","Parallorhogas_pyralophagus","no","captive","single",38,5.91607978309962,1.38470284783983,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#2","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Blouin-Demers, G. & Weatherhead, P.J. 2007",0.270403227988963,0.0204081632653061,"ZCOR",9,"Blouin-Demers, G. & Weatherhead, P.J.","2007","Pantherophis_obsoletus","yes","wild","single",52,7,0.270403227988963,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#2","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O. 2001",0.171666663500579,0.00699300699300699,"ZCOR",13,"Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O.","2001","Vipera_aspis","yes","wild","single",146,11.9582607431014,0.171666663500579,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#2","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Bonnet, X., Shine, R., Lourdais, O. & Naulleau, G. 2003",0.618381313574464,0.0185185185185185,"ZCOR",14,"Bonnet, X., Shine, R., Lourdais, O. & Naulleau, G.","2003","Vipera_aspis","yes","wild","single",57,7.34846922834953,0.618381313574464,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#2","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Bonnet, X., Shine, R., Lourdais, O. & Naulleau, G. 2003",0.21317134656486,0.00588235294117647,"ZCOR",14,"Bonnet, X., Shine, R., Lourdais, O. & Naulleau, G.","2003","Vipera_aspis","yes","wild","single",173,13.0384048104053,0.21317134656486,"CRAN",NA,NA,"CRAN"
