"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","es_id","study_id","author","pub_year","country","color","design","year","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","arthur2016 2016",0.429629660084308,0.0539921307042525,"from_dataset",1,1,"arthur2016",2016,"US","green","between",2016,4.30362841947799,0.429629660084308,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","arthur2016 2016",0.0224109292880219,0.0243954030326726,"from_dataset",2,1,"arthur2016",2016,"US","green","between",2016,6.40244713653567,0.0224109292880219,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","arthur2016 2016",0.084249096978135,0.0460238792689314,"from_dataset",3,1,"arthur2016",2016,"US","green","between",2016,4.66131432015296,0.084249096978135,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","bertrams2015 2015",0.0424373319278913,0.121350816186631,"from_dataset",4,2,"bertrams2015",2015,"DE","gray","between",2015,2.87063945183523,0.0424373319278913,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","bertrams2015 2015",0.361956049371581,0.107279400051301,"from_dataset",5,2,"bertrams2015",2015,"DE","gray","between",2015,3.05310564307987,0.361956049371581,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","caschera2015 2015",-0.406037989770993,0.25515208903554,"from_dataset",6,3,"caschera2015",2015,"US","green","between",2015,1.97970479867479,0.406037989770993,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","caschera2015 2015",-1.0640582436571,0.285381873309207,"from_dataset",7,3,"caschera2015",2015,"US","green","between",2015,1.87191794560622,1.0640582436571,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","castell2018 2018",-0.155925841013452,0.0461228158065988,"from_dataset",8,4,"castell2018",2018,"DE","white","between",2018,4.65631222010969,0.155925841013452,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","castell2018 2018",0.0597597178159577,0.0489186153498399,"from_dataset",9,4,"castell2018",2018,"DE","blue","between",2018,4.52129581038066,0.0597597178159577,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","castell2018 2018",0.627380525614131,0.0482451919906454,"from_dataset",10,4,"castell2018",2018,"DE","white","between",2018,4.55274137718391,0.627380525614131,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","castell2018 2018",0.244868488375159,0.04926245286646,"from_dataset",11,4,"castell2018",2018,"DE","blue","between",2018,4.50548951990136,0.244868488375159,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","drummond2017 2017",-0.538094454886271,0.0679647227869981,"from_dataset",12,5,"drummond2017",2017,"US","green","between",2017,3.83582005155729,0.538094454886271,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","drummond2017 2017",-0.0900408517867094,0.0500506709686905,"from_dataset",13,5,"drummond2017",2017,"US","black","between",2017,4.46987160129968,0.0900408517867094,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","elliot2007 2007",-0.0815326685180802,0.0897408722456628,"from_dataset",14,6,"elliot2007",2007,"US","green","between",2007,3.33814238259704,0.0815326685180802,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","elliot2007 2007",-0.204210413192422,0.0931054640934618,"from_dataset",15,6,"elliot2007",2007,"US","black","between",2007,3.27727145564394,0.204210413192422,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","elliot2007 2007",-1.24221479764626,0.159051626724856,"from_dataset",16,6,"elliot2007",2007,"DE","green","between",2007,2.50744226719943,1.24221479764626,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","elliot2007 2007",-0.995185076888759,0.145140752751539,"from_dataset",17,6,"elliot2007",2007,"DE","white","between",2007,2.62485498151823,0.995185076888759,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","elliot2007 2007",-1.50566649482697,0.234856778643436,"from_dataset",18,6,"elliot2007",2007,"DE","green","between",2007,2.06347138233184,1.50566649482697,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","elliot2007 2007",-0.757880463483299,0.240955077692491,"from_dataset",19,6,"elliot2007",2007,"DE","gray","between",2007,2.03719198406733,0.757880463483299,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","elliot2007 2007",-0.527925232539271,0.104493914149497,"from_dataset",20,6,"elliot2007",2007,"DE","green","between",2007,3.09353120599209,0.527925232539271,"CRAN",NA,NA,"CRAN"
"psymetadata_gnambs2020","psymetadata","gnambs2020","Studies on the Color Red and Cognitive Performance","elliot2007 2007",-0.479196187751987,0.117659499058121,"from_dataset",21,6,"elliot2007",2007,"DE","gray","between",2007,2.91532181552609,0.479196187751987,"CRAN",NA,NA,"CRAN"
