Number,Study,Year,N,N_target,N_control,Comparison_condition,Study_ID,Age_mean,Follow_up,Per_Males,Per_Minorities,Per_Conduct_disorder,Per_Severe_cannabis_users,Outcome_measure,d,v
1,Dakof et al.,2015,112,55,57,Group,1,16,18,88,100,52,48,Substance abuse,0.05,0.0357368385452267
2,Dakof et al.,2015,54,24,30,Group,1,16.26,18,NA,100,NA,100,Substance abuse,0.09,0.075075
3,Dakof et al.,2015,58,31,27,Group,1,15.9,18,NA,100,NA,0,Substance abuse,0.01,0.0692959636221316
4,Dakof et al.,2015,112,55,57,Group,1,16,18,88,100,52,48,Delinquency,0.14,0.035813177830941
5,Dakof et al.,2015,112,55,57,Group,1,16,18,88,100,52,48,Externalizing,0.21,0.035922552830941
6,Dakof et al.,2015,112,55,57,Group,1,16,18,88,100,52,48,Internalizing,0.24,0.0359828206880838
7,Liddle et al.,Draft,113,57,56,CT,2,15.36,12,75,88,77,70,Substance abuse,0.05,0.0354120644531683
8,Liddle et al.,Draft,79,43,36,CT,2,15.33,12,NA,NA,NA,100,Substance abuse,0.29,0.0515658702122788
9,Liddle et al.,Draft,34,14,20,CT,2,15.44,12,NA,NA,NA,0,Substance abuse,-0.62,0.127081512605042
10,Liddle et al.,Draft,113,57,56,CT,2,15.36,12,75,88,77,70,Delinquency,0.13,0.0354757812673276
11,Liddle et al.,Draft,113,57,56,CT,2,15.36,12,75,88,77,70,Externalizing,0.2,0.0355779936567081
12,Liddle et al.,Draft,113,57,56,CT,2,15.36,12,75,88,77,70,Internalizing,0.11,0.0354545423292745
13,Schaub et al.,2014,450,212,238,CBT,3,16.3,6,85,40,NA,48,Externalizing,0.05,0.00892143958212216
14,Schaub et al.,2014,450,212,238,CBT,3,16.3,6,85,40,NA,48,Internalizing,0.1,0.00892977291545549
15,Schaub et al.,2014,450,212,238,CBT,3,16.3,6,85,40,NA,48,Family,0.18,0.00895466180434438
16,Rigter et al.,2013,450,212,238,CBT,3,16.3,6,85,40,NA,48,Substance abuse,0.25,0.00898810624878882
17,Rigter et al.,2013,237,108,129,CBT,3,16.39,6,NA,NA,NA,100,Substance abuse,0.35,0.0172696360623208
18,Rigter et al.,2013,213,104,109,CBT,3,16.09,6,NA,NA,NA,0,Substance abuse,0.11,0.0188181002978587
19,Hendriks et al.,2012,109,55,54,CBT,3,16.8,6,80,28,29,51,Externalizing,0.25,0.0369870339480431
20,Hendriks et al.,2012,109,55,54,CBT,3,16.8,6,80,28,29,51,Internalizing,0.42,0.0375095110122633
21,Hendriks et al.,2011,109,55,54,CBT,3,16.8,6,80,28,29,51,Substance abuse,0.14,0.0367902449572174
22,Hendriks et al.,2011,50,28,22,CBT,3,17.03,6,NA,NA,29,100,Substance abuse,0.41,0.0828498311688312
23,Hendriks et al.,2011,53,24,29,CBT,3,17.03,6,NA,NA,29,0,Substance abuse,-0.04,0.076164519626979
24,Hendriks et al.,2011,37,21,16,CBT,3,16.8,6,NA,NA,84,57,Substance abuse,1.16,0.128302831402831
25,Hendriks et al.,2011,109,55,54,CBT,3,16.8,6,80,28,29,51,Delinquency,0,0.0367003367003367
26,Liddle et al.,2011,154,76,78,CT,4,15.4,3,83,84,43,33,Delinquency,0.3,0.0262706153495627
