Study,LAT DD,LONG DD,Year,Species,Common name,Family,Sample_size_control,Sample_size_treatment,Stressor,control_level_stressor,treatment_level_stressor,Replicates,measurement,control_mean,control variance type,control_variance,treatment_mean,treatment variance type,treatment_variance,developmental_stage,duration expt,acclimatisation,notes,...25
"1. M. P. Acquafredda, D. M. Munroe, L. M. R. Calvo, M. De Luca, The effect of rearing temperature on the survival and growth of early juvenile Atlantic surfclams (Spisula solidissima). Aquaculture Reports 13, (2019).",-74.942093,38.968839,2019,Spisula solidissima,Atlantic surfclam,Mactridae,60,60,temperature,20,26,3,shell length,2.23,SE,0.21,1.86,SE,1,juvenile,32 days,no,fig 3,NA
"10. D. Carstensen, J. Laudien, W. Sielfeld, M. E. Oliva, W. E. Arntz, EARLY LARVAL DEVELOPMENT OF DONAX OBESULUS: RESPONSE TO EL NINO TEMPERATURE AND SALINITY CONDITIONS. Journal of Shellfish Research 29, 361-368 (2010).",-70.325192,-18.464272,2010,Donax ohesulus,surf clam,Donacidae,90,90,temperature,temp 17.8,temp 24.6,3,growth um/day,161.04,sd,8.2,177.16,sd,7.65,Egg/larva,16 days,no,fig 2 larvae not fed ? Length data also available,NA
"11. H. R. Clark, C. J. Gobler, Diurnal fluctuations in CO2 and dissolved oxygen concentrations do not provide a refuge from hypoxia and acidification for early-life-stage bivalves. Marine Ecology Progress Series 558, 1-14 (2016).",-71.972581,41.051595,2016,Crassostrea virginica,Eastern oyster,Ostreidae,10,10,O2,"pH = ~7.9, dissolved oxygen = ~7","hypoxic (pH = ~7.9, DO = ~2 mg l?1)",4,growth um/day,1.4,sd,0.67,0.7,sd,0.05,Egg/larva,14 days,no,"fig 2, 3 and 4",NA
"11. H. R. Clark, C. J. Gobler, Diurnal fluctuations in CO2 and dissolved oxygen concentrations do not provide a refuge from hypoxia and acidification for early-life-stage bivalves. Marine Ecology Progress Series 558, 1-14 (2016).",-71.972581,41.051595,2016,Crassostrea virginica,Eastern oyster,Ostreidae,10,10,pH,"pH = ~7.9, dissolved oxygen = ~7","acidified (pH = ~7.2, DO = ~7 mg l?1),",4,growth um/day,1.4,sd,0.67,1.1,sd,0.35,Egg/larva,14 days,no,"fig 2, 3 and 4",NA
"11. H. R. Clark, C. J. Gobler, Diurnal fluctuations in CO2 and dissolved oxygen concentrations do not provide a refuge from hypoxia and acidification for early-life-stage bivalves. Marine Ecology Progress Series 558, 1-14 (2016).",-71.972581,41.051595,2016,Crassostrea virginica,Eastern oyster,Ostreidae,10,10,pH + O2,"pH = ~7.9, dissolved oxygen = ~7","acidified and hypoxic (pH = ~7.2, DO = ~2 mg l?1)",4,growth um/day,1.4,sd,0.67,0.19,sd,0.13,Egg/larva,14 days,no,"fig 2, 3 and 4",NA
"11. H. R. Clark, C. J. Gobler, Diurnal fluctuations in CO2 and dissolved oxygen concentrations do not provide a refuge from hypoxia and acidification for early-life-stage bivalves. Marine Ecology Progress Series 558, 1-14 (2016).",-71.972581,41.051595,2016,Argopecten irradians,bay scallop,Pectinidae,10,10,O2,"pH = ~7.9, dissolved oxygen = ~7","hypoxic (pH = ~7.9, DO = ~2 mg l?1)",4,growth um/day,13,sd,1,9.4,sd,1.95,Egg/larva,14 days,no,"fig 2, 3 and 4",NA
"11. H. R. Clark, C. J. Gobler, Diurnal fluctuations in CO2 and dissolved oxygen concentrations do not provide a refuge from hypoxia and acidification for early-life-stage bivalves. Marine Ecology Progress Series 558, 1-14 (2016).",-71.972581,41.051595,2016,Argopecten irradians,bay scallop,Pectinidae,10,10,pH,"pH = ~7.9, dissolved oxygen = ~7","acidified (pH = ~7.2, DO = ~7 mg l?1),",4,growth um/day,13,sd,1,7.4,sd,1.12,Egg/larva,14 days,no,"fig 2, 3 and 4",NA
"11. H. R. Clark, C. J. Gobler, Diurnal fluctuations in CO2 and dissolved oxygen concentrations do not provide a refuge from hypoxia and acidification for early-life-stage bivalves. Marine Ecology Progress Series 558, 1-14 (2016).",-71.972581,41.051595,2016,Argopecten irradians,bay scallop,Pectinidae,10,10,pH + O2,"pH = ~7.9, dissolved oxygen = ~7","acidified and hypoxic (pH = ~7.2, DO = ~2 mg l?1)",4,growth um/day,13,sd,1,6.3,sd,0.89,Egg/larva,14 days,no,"fig 2, 3 and 4",NA
"11. H. R. Clark, C. J. Gobler, Diurnal fluctuations in CO2 and dissolved oxygen concentrations do not provide a refuge from hypoxia and acidification for early-life-stage bivalves. Marine Ecology Progress Series 558, 1-14 (2016).",-71.972581,41.051595,2016,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,10,10,O2,"pH = ~7.9, dissolved oxygen = ~7","hypoxic (pH = ~7.9, DO = ~2 mg l?1)",4,growth um/day,8.5,sd,0.4,8.1,sd,0.57,Egg/larva,14 days,no,"fig 2, 3 and 4",NA
"11. H. R. Clark, C. J. Gobler, Diurnal fluctuations in CO2 and dissolved oxygen concentrations do not provide a refuge from hypoxia and acidification for early-life-stage bivalves. Marine Ecology Progress Series 558, 1-14 (2016).",-71.972581,41.051595,2016,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,10,10,pH,"pH = ~7.9, dissolved oxygen = ~7","acidified (pH = ~7.2, DO = ~7 mg l?1),",4,growth um/day,8.5,sd,0.4,8.6,sd,0.65,Egg/larva,14 days,no,"fig 2, 3 and 4",NA
