Author,Year,Habitat,Openness,Invasive Alien Species (IAsia),IAsia Family,IAsia Order,Invaded Area,"Impacted 
Fauna Group",Impacted Fauna Trophic Group,Sample Size IAsia,Sample Size Control,Sample Size Combined,Mean Abund. IAsia,Mean Abund. Control,Standard Error IAsia,Standard Error Control,"Variance 
IAsia","Variance 
Control","Reported 
p-value",Effect size,Effect Size Standard Error,Weights
Gutiérrez-Lòpez,2014,Riparian,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Isopoda,Detritivore,24,24,48,0.96,8.5425,0.307956978,1.322537807,12.96,41.98,1e-4,-2.18587569952756,0.7809655074223149,1.01241702397086
Gutiérrez-Lòpez,2014,Riparian,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Myriapoda,Detritivore,24,24,48,2.5,3.7075,0.350775926,1.508527842,14.78,54.62,0.051,-0.394067063155795,0.513908545977933,1.55780191926281
Gutiérrez-Lòpez,2014,Riparian,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Oribatida,Microbivore,24,24,48,84.59,114.33,7.3,12.07,1280.01,3495.26,0.051,-0.301272947237955,0.136364117523089,2.52255596216362
Gutiérrez-Lòpez,2014,Riparian,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Total,Other,24,24,48,302.17,382.83,3.2,4,246.08,384.69,0.051,-0.236601253508442,0.0148883467419861,2.64515411081717
Kohyt,2013,Forest,Closed,Quercus rubra,Fagaceae,Fagales,Europe,Acari,Other,40,40,80,3916.25,5027.5,2458.06,1063.22,31092.31,45217876.65,0.051,-0.249788279380406,0.211601596071101,2.36628491218732
Kohyt,2013,Forest,Closed,Quercus rubra,Fagaceae,Fagales,Europe,Acari,Other,40,40,80,14388.5,4985.5,7103.55,1799.41,89853.54,129515009.5,0.049,1.0598955771244,0.360943662169017,1.96808370083888
Kohyt,2013,Forest,Closed,Quercus rubra,Fagaceae,Fagales,Europe,Actinedida,Other,40,40,80,1388,444,148.28,36.57,879468.84,53499.69,0.051,1.13979457863453,0.134896762310114,2.52509132619689
Kohyt,2013,Forest,Closed,Quercus rubra,Fagaceae,Fagales,Europe,Actinedida,Other,40,40,80,8000,2166,237.22,67.34,2250900.09,181390.81,0.051,1.30655939310104,0.042963230063987,2.63383862245582
Kohyt,2013,Forest,Closed,Quercus rubra,Fagaceae,Fagales,Europe,Gamasida,Predator,40,40,80,638.5,1527.5,47.26,96.07,89343.41,369184.14,0.051,-0.872266015573156,0.0971309195126659,2.58222742198617
Kohyt,2013,Forest,Closed,Quercus rubra,Fagaceae,Fagales,Europe,Gamasida,Predator,40,40,80,12805,2444,1579.42,143.29,99783000.29,821274.25,0.051,1.65619967834214,0.136569234150006,2.52219977540784
Kohyt,2013,Forest,Closed,Quercus rubra,Fagaceae,Fagales,Europe,Oribatida,Microbivore,40,40,80,13000,16611,760.1,305.37,23110133.29,3729919.69,0.051,-0.245115769047403,0.0612911515255793,2.62064981023779
Kohyt,2013,Forest,Closed,Quercus rubra,Fagaceae,Fagales,Europe,Oribatida,Microbivore,40,40,80,23944,12888,24.79225686,527.4362909,24586.24,11127561.64,0.049,0.619421124675725,0.0409377000652186,2.63501806887046
Kourtev,1999,Forest,Closed,Berberis thunbergii,Berberidaceae,Ranunculales,North America,Annelida,Detritivore,18,18,36,86.00441891,21.6058017,12.04906125,5.657257491,2613.24,576.08,0.049,1.38143680176132,0.296963481119021,2.14585158904643
Kourtev,1999,Forest,Closed,Microstegium vimineum,Poaceae,Poales,North America,Annelida,Detritivore,12,18,30,175.9718862,21.6058017,24.4604268,5.657257491,7179.75,576.08,0.049,2.09736236893219,0.296447847059306,2.14726146869744
Liang,2007,Field,Open,Ambrosia trifida,Asteraceae,Asterales,Asia,Nematoda Bact.,Microbivore,5,5,10,234,175.6,22.45885126,26.1793812,2522,3426.8,0.03,0.287112434156685,0.177308225508674,2.44339657692626
Liang,2007,Field,Open,Ambrosia trifida,Asteraceae,Asterales,Asia,Nematoda Fung.,Microbivore,5,5,10,35.6,15.8,5.591064299,3.2,156.3,51.2,0.001,0.812335697825064,0.25628990175029,2.25472708202252
Liang,2007,Field,Open,Ambrosia trifida,Asteraceae,Asterales,Asia,Nematoda Pred.,Predator,5,5,10,22.4,14.2,6.153048025,7.425631286,189.3,275.7,0.01,0.455818994253779,0.590687775226818,1.37600756317174
Liang,2007,Field,Open,Ambrosia trifida,Asteraceae,Asterales,Asia,Nematoda Phyt.,Herbivore,5,5,10,753.4,409.4,155.7525602,96.8243771,121294.3,46874.8,0.001,0.609903622030752,0.314121336068284,2.09863431216308
Liang,2007,Field,Open,Ambrosia trifida,Asteraceae,Asterales,Asia,Nematoda,Other,20,20,40,261.35,153.75,76.97,43.66,688.44,38116.19,0.051,0.530532598472304,0.284824771752398,2.17887094909418
Lindsay,2006,Coast,Open,Chrysanthemoides monilifera,Asteraceae,Asterales,Oceania,Acari,Other,80,80,160,12.25479357,16.53511011,1.472226141,1.676102041,173.4,224.75,0.238,-0.299568833334364,0.157187812010698,2.48424891804483
Lindsay,2006,Coast,Open,Chrysanthemoides monilifera,Asteraceae,Asterales,Oceania,Aranea,Predator,80,80,160,3.060575357,4.464389693,0.38507612,0.498351909,11.86,19.87,0.096,-0.377529594634688,0.168191905498916,2.46234665190511
Lindsay,2006,Coast,Open,Chrysanthemoides monilifera,Asteraceae,Asterales,Oceania,Chilopoda,Predator,80,80,160,2.001179956,2.29511729,0.339750414,0.385050469,9.23,11.86,0.658,-0.137046964369069,0.238649718415512,2.3000041096641
Lindsay,2006,Coast,Open,Chrysanthemoides monilifera,Asteraceae,Asterales,Oceania,Coleoptera,Other,80,80,160,2.546473598,3.089535585,0.362451744,0.407623543,10.51,13.29,0.414,-0.1933112841648,0.194071492495746,2.40678585808199
Lindsay,2006,Coast,Open,Chrysanthemoides monilifera,Asteraceae,Asterales,Oceania,Collembola,Microbivore,80,80,160,12.01587811,11.652938990000001,2.106452564,1.834729187,354.97,269.3,0.945,0.0306705289798651,0.235630905214286,2.30760319578619
Lindsay,2006,Coast,Open,Chrysanthemoides monilifera,Asteraceae,Asterales,Oceania,Hymenoptera,Predator,80,80,160,5.051700035,5.889212379,0.724775231,0.815400993,42.02,53.19,0.586,-0.153397439759602,0.199379820235022,2.39474808884771
Lindsay,2006,Coast,Open,Chrysanthemoides monilifera,Asteraceae,Asterales,Oceania,Isopoda,Detritivore,80,80,160,5.098667419,4.984904257,0.656825148,0.815452295,34.51,53.2,0.993,0.0225650181851372,0.208218603265794,2.37426413276879
Lindsay,2006,Coast,Open,Chrysanthemoides monilifera,Asteraceae,Asterales,Oceania,Myriapoda,Detritivore,80,80,160,1.185342893,0.754479344,0.294424707,0.317151688,6.93,8.05,NA,0.451759472131557,0.48828702043958,1.62271184350453
Lobe,2014,Forest,Closed,Ligustrum sinense,Oleaceae,Lamiales,North America,Annelida,Detritivore,4,4,8,156.08,97.22,14.48,23.35,838.68,2180.89,8e-4,0.473392244697546,0.257471849936857,2.25164422091928
McGrath,2009,Forest,Closed,Microstegium vimineum,Poaceae,Poales,North America,Acari,Other,35,35,70,637.04,200,571.04,135.78,11413168.72,645267.49,0.011604,1.15851508140115,1.1244733568736,0.608913838270886
McGrath,2009,Forest,Closed,Microstegium vimineum,Poaceae,Poales,North America,Collembola,Microbivore,35,35,70,30.77,36.41,45.08,53.85,71132.15,101479.28,2.25e-5,-0.168303272853392,2.08174349728358,0.212247345409581
McGrath,2009,Forest,Closed,Microstegium vimineum,Poaceae,Poales,North America,Total,Other,35,35,70,2141,819,631.03,139.77,13936907.13,683713.61,0.001,0.9609442047366129,0.34057626609684,2.0250279819947
Morriën,2012,Field,Open,6 species,Asteraceae,Asterales,Europe,Nematoda Bact.,Microbivore,30,45,75,231.645,224.05687,29.70116,39.65123,26464.77,70749.9,0.051,0.0333061237825334,0.218536425086097,2.34969962589118
Morriën,2012,Field,Open,6 species,Asteraceae,Asterales,Europe,Nematoda Fung.,Microbivore,30,45,75,232.91296,126.660967,46.17194,35.106493,63955.44,55460.96,0.049,0.6091508558707,0.340764596009067,2.02450192480275
Morriën,2012,Field,Open,6 species,Asteraceae,Asterales,Europe,Nematoda Pred.,Predator,30,45,75,229.441,218.936,30.3296,40.3916,27596.54,73416.66,0.051,0.0468664661757976,0.226959651430927,2.32916274251922
Morriën,2012,Field,Open,6 species,Asteraceae,Asterales,Europe,Nematoda Phyt.,Herbivore,30,45,75,223.79545,217.624402,32.875874,35.986592,32424.69,58276.57,0.051,0.0279618147802738,0.221188377849391,2.3432789155249494
Morriën,2012,Field,Open,6 species,Asteraceae,Asterales,Europe,Nematoda,Other,120,180,300,917.79441,787.278239,35.40732508,37.85235146,150441.44,257904.09,0.049,0.153391681517763,0.0616441804208255,2.62035178327106
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Acari,Other,43,12,55,954.05,1778.3,90.85,301,354909.11,1087223.29,6e-4,-0.622697049773264,0.19421143008222,2.40647115515619
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Annelida,Detritivore,43,12,55,22.7275,20.89,2.566845295,4.999853331,283.31,299.98,0.007,0.0843050694454018,0.264649568533804,2.23280303994446
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Aranea,Predator,10,12,22,443.425,582.4,49.84673137,110.6780466,24846.97,146995.56,0.042,-0.272628818790826,0.22079644267077,2.34423049681954
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Chilopoda,Predator,43,12,55,11.575,10.2,1.477663146,2.049593456,93.89,50.41,0.8652,0.126459879682072,0.238063319892757,2.30148385316811
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Coleoptera,Detritivore,10,12,22,0.857,0.259,0.403506629,0.189370888,1.63,0.43,0.0019,1.19660985689824,0.8695488221870908,0.881878310723913
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Coleoptera,Other,43,12,55,3.9675,4.56,0.425164811,0.597557529,7.77,4.28,0.361,-0.139186450107868,0.169210225826831,2.4602652145018298
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Collembola,Microbivore,43,12,55,443.43,582.4,49.85,110.68,106841.96,146995.56,0.0082,-0.272617542990385,0.220795794391246,2.34423207002212
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Coleoptera,Herbivore,10,12,22,0.381,0.296,0.157481427,0.175803157,0.25,0.37,0.5467,0.252439920802641,0.723973052731778,1.1086903168416
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Coleoptera,Predator,10,12,22,0.238,0.963,0.170446766,0.304552267,0.29,1.11,2e-4,-1.39778273812665,0.782121499391105,1.01056833820844
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Diplopoda,Detritivore,43,12,55,3.9,1.2,1.173768528,0.375277675,59.24,1.69,0.7943,1.17865499634165,0.434025126897398,1.76614179354678
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Gamasida,Predator,10,12,22,231.6,891.7,18.16,214.66,21.32,46078.41,NA,-1.34811800744199,0.0697781240311961,2.61303239763821
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Isopoda,Detritivore,43,12,55,35.675,31.5,4.059470695,6.437455501,708.61,497.29,0.4301,0.124462617531313,0.233907570984796,2.31192012231308
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Oribatida,Microbivore,10,12,22,131.8,714,16.07,168.82,65.25,28499.25,NA,-1.68959734027118,0.0709522691061565,2.61190465039368
Motard,2015,Forest,Closed,Ailanthus altissima,Simaroubaceae,Sapindales,Europe,Total,Other,43,12,55,1562.08,2509.8,111.74,367.63,536851.47,1621802.25,2e-4,-0.47418480219884707,0.163009392198629,2.47279795109888
Pearse,2014,Grassland,Open,Raphanus sativus,Brassicaceae,Brassicales,North America,Nematoda Bact.,Microbivore,18,18,36,2.350209249,2.625758069,0.136481987,0.110911155,0.34,0.22,0.051,-0.110865276223068,0.0720587577245657,2.61082557533897
Pearse,2014,Grassland,Open,Raphanus sativus,Brassicaceae,Brassicales,North America,Nematoda Fung.,Microbivore,18,18,36,1.185179861,1.537505862,0.113776318,0.091016742,0.23,0.15,0.049,-0.260266988870137,0.112347554673326,2.56114662812085
Pearse,2014,Grassland,Open,Raphanus sativus,Brassicaceae,Brassicales,North America,Nematoda Pred.,Predator,18,18,36,0.776553288,0.472002451,0.090962835,0.105250911,0.15,0.2,0.049,0.497881087750794,0.252373509704729,2.26490033247108
Pearse,2014,Grassland,Open,Raphanus sativus,Brassicaceae,Brassicales,North America,Nematoda,Other,18,18,36,2.721869031,2.985973373,0.122290944,0.08537806,0.27,0.13,0.051,-0.092606993713864,0.0532419758939599,2.62699655477549
Porazinska,2007,Wetlands,Open,Melaleuca quinquenervia,Myrtaceae,Myrtales,North America,Nematoda Fung.,Microbivore,72,72,144,43.42426516,90.84058216,7.804011086,11.05580693,4384.99,8800.62,0.049,-0.738087735912903,0.21704818478644,2.3532841566053
Porazinska,2007,Wetlands,Open,Melaleuca quinquenervia,Myrtaceae,Myrtales,North America,Nematoda Phyt.,Herbivore,72,72,144,155.6519717,346.541173,22.75883409,45.1910686,37293.45,147040.75,0.049,-0.8003790726369311,0.195920668736064,2.40261566716301
Porazinska,2007,Wetlands,Open,Melaleuca quinquenervia,Myrtaceae,Myrtales,North America,Nematoda,Other,72,72,144,403.0767442,654.6552799,40.31374852,67.29446143,117014.28,326055.21,0.049,-0.484981830792105,0.143420940797927,2.51005458852658
Rusterholz,2014,Forest,Closed,Impatiens glanduliflora,Balsaminaceae,Ericales,Europe,Acari,Other,15,15,30,29.2,18.45,3.326384424,3.846231922,165.97,221.9,0.235,0.4591043387877,0.237561164582973,2.30274962934051
Rusterholz,2014,Forest,Closed,Impatiens glanduliflora,Balsaminaceae,Ericales,Europe,Acari,Other,15,15,30,81.1,57.65,5.257138005,3.434870206,414.56,176.98,0.047,0.341292714406299,0.088045630257653107,2.59349432452471
Rusterholz,2014,Forest,Closed,Impatiens glanduliflora,Balsaminaceae,Ericales,Europe,Collembola,Microbivore,15,15,30,22.45,17.7,2.910383709,3.261824643,127.06,159.59,0.537,0.23772597460848,0.225314914479043,2.33320525524391
Rusterholz,2014,Forest,Closed,Impatiens glanduliflora,Balsaminaceae,Ericales,Europe,Collembola,Microbivore,15,15,30,101.6,69.05,9.639234064,10.1922029,1393.72,1558.22,0.085,0.38621265528908,0.175467274045413,2.44728003286406
Rusterholz,2014,Forest,Closed,Impatiens glanduliflora,Balsaminaceae,Ericales,Europe,Gamasida,Predator,15,15,30,5.333333333,5.333333333,0.527467745,0.979228721,4.17,14.38,0.051,0,0.208510341483185,2.37357899215472
Rusterholz,2014,Forest,Closed,Impatiens glanduliflora,Balsaminaceae,Ericales,Europe,Gamasida,Predator,15,15,30,10.3,13.6,1.092296256,0.857645355,17.9,11.03,0.051,-0.277925897506416,0.123385353886614,2.5441920480307294
Rusterholz,2014,Forest,Closed,Impatiens glanduliflora,Balsaminaceae,Ericales,Europe,Oribatida,Microbivore,15,15,30,31.46666667,16.13333333,2.732886142,3.161047646,112.03,149.88,0.235,0.668041259741413,0.214316886127211,2.35982703291519
Rusterholz,2014,Forest,Closed,Impatiens glanduliflora,Balsaminaceae,Ericales,Europe,Oribatida,Microbivore,15,15,30,89.06666667,53.8,5.77406077,3.181404302,500.1,151.82,0.047,0.504111685864067,0.0877472795253162,2.59384714854569
Skubala,2009,Forest,Closed,Fallopia sachalinensis,Polygonaceae,Caryophyllales,Europe,Acari,Other,30,30,60,8870.4,14722.2,970.1,1810.8,28232820.3,98369899.2,1e-4,-0.506636667521618,0.16458709967686,2.46964157833747
Skubala,2009,Forest,Closed,Fallopia sachalinensis,Polygonaceae,Caryophyllales,Europe,Collembola,Microbivore,30,30,60,2092.6,2685.2,521.1,799.1,8146356.3,19156824.3,0.704,-0.24934790111765,0.388037959873825,1.89249993975321
Skubala,2009,Forest,Closed,Fallopia sachalinensis,Polygonaceae,Caryophyllales,Europe,Gamasida,Predator,30,30,60,3074.1,3166.7,452.6,624.7,6145402.8,11707502.7,0.002,-0.0296778607071288,0.246156017007509,2.28091301110147
Skubala,2009,Forest,Closed,Fallopia sachalinensis,Polygonaceae,Caryophyllales,Europe,Oribatida,Microbivore,30,30,60,5370.4,11185.2,745.5,1478.5,16673107.5,65578867.5,1e-4,-0.73368908223057006,0.191683379335849,2.41213402813406
Standish,2004,Forest,Closed,Tradescantia fluminensis,Commelinaceae,Commelinales,Oceania,Total,Other,3,3,6,3886.4,2500,2526.78,1097.37,19153916.71,3612649.93,0.002,0.441192547391616,0.7844638406351849,1.00683473551451
St-John,2006,Grassland,Open,Multiple,Poaceae,Poales,Oceania,Acari,Other,8,24,32,55.10582802,41.97147705,15.01709019,9.392768015,1804.1,2117.38,0.538,0.272265212532042,0.352626181258773,1.99134415493449
St-John,2006,Grassland,Open,Multiple,Poaceae,Poales,Oceania,Acari,Other,8,24,32,33.87711864,23.99717514,3.536676346,2.100059734,100.06,105.85,0.538,0.344803699201907,0.136224251314825,2.52279859161256
St-John,2006,Grassland,Open,Multiple,Poaceae,Poales,Oceania,Acari,Other,8,24,32,12.13380576,5.862954304,2.999945773,1.646866143,72,65.09,0.538,0.727341797490755,0.374203006935962,1.93103861711964
Talley,2012,Riparian,Closed,Phoenix canariensis,Arecaceae,Arecales,North America,Aranea,Predator,15,15,30,54,33,12,10,2160,1500,0.051,0.492476485097794,0.375779297732086,1.92664037662422
Talley,2012,Riparian,Closed,Phoenix canariensis,Arecaceae,Arecales,North America,Coleoptera,Other,15,15,30,3,9,2,5,60,375,0.051,-1.09861228866811,0.867805519545184,0.8842400940758979
Talley,2012,Riparian,Closed,Phoenix canariensis,Arecaceae,Arecales,North America,Hymenoptera,Predator,15,15,30,42,51,12,12,2160,2160,0.051,-0.194156014440958,0.370129673034374,1.94241093978102
Talley,2012,Riparian,Closed,Phoenix canariensis,Arecaceae,Arecales,North America,Total,Other,15,15,30,33.3,50.3,14.1,17.4,2982.15,4541.4,0.36,-0.412447680119295,0.546764229701339,1.47758663621281
Tang,2012,Forest,Closed,Microstegium vimineum,Poaceae,Poales,North America,Detritivores,Detritivore,36,36,72,7.27,6.91,5.4,6.7,1049.76,1616.04,NA,0.0507866537658493,1.22141806242764,0.534847958013114
Tang,2012,Forest,Closed,Microstegium vimineum,Poaceae,Poales,North America,Herbivores,Herbivore,36,36,72,4.29,4.71,6,7,1296,1764,NA,-0.0934011750884008,2.04080255046988,0.220133246077091
Tang,2012,Forest,Closed,Microstegium vimineum,Poaceae,Poales,North America,Predators,Predator,36,36,72,3.48,2.75,3.2,2.1,368.64,158.76,NA,0.235431382107903,1.19528018901211,0.553549592097632
Tang,2012,Forest,Closed,Microstegium vimineum,Poaceae,Poales,North America,Total,Other,36,36,72,25.961,20.694,3.167,2.972,361.08,317.98,0.049,0.226751608712456,0.188434542756385,2.41934086529773
Tuttle,2009,Forest,Closed,Falcaria moluccana,Apiaceae,Apiales,North America,Acari,Other,10,10,20,14.86,8.77,1.81,2.09,32.76,43.68,0.051,0.527336232905521,0.267632496358724,2.22491537434818
Tuttle,2009,Forest,Closed,Falcaria moluccana,Apiaceae,Apiales,North America,Collembola,Microbivore,10,10,20,24.62,8.24,5.85,3.82,342.23,145.92,0.09,1.09455877683493,0.520933787638133,1.54035699555221
Tuttle,2009,Forest,Closed,Falcaria moluccana,Apiaceae,Apiales,North America,Hymenoptera,Predator,10,10,20,13.64,5.98,2.79,0.9,77.84,8.1,0.049,0.824586084452776,0.253946960665819,2.26082095433929
Tuttle,2009,Forest,Closed,Falcaria moluccana,Apiaceae,Apiales,North America,Isopoda,Detritivore,10,10,20,278.41,64.69,31.27,8.89,9778.13,790.32,0.049,1.45948821729951,0.177483733747855,2.44302487644087
Tuttle,2009,Forest,Closed,Falcaria moluccana,Apiaceae,Apiales,North America,Total,Other,10,10,20,401.45,106.95,29.97,7.57,8982.01,573.05,0.049,1.32272155710228,0.102874673585855,2.57459010945839
Wardle,1995,Pasture,Open,Senecio jacobea,Asteraceae,Asterales,Oceania,Collembola,Microbivore,20,20,40,222.4,195.65,43.87,41.61,38490.67,34625.92,0.051,0.128150213720006,0.290065448741369,2.16466096123474
Wolkovich,2009,Bush,Open,Multiple,Asteraceae,Asterales,North America,Total,Other,18,9,27,82.68,165.8,12.03,46.97,2604.98,19858.16,1e-4,-0.695804507887627,0.318489748748542,2.08653327649359
Xiao,2013,Labo,Open,Multiple,Asteraceae,Asterales,Asia,Nematoda Bact.,Microbivore,20,20,40,3.6806576,3.448831268,0.390306762,0.422797582,3.05,3.58,0.051,0.0650560211172423,0.162191112383312,2.4744261827169
Xiao,2013,Labo,Open,Multiple,Asteraceae,Asterales,Asia,Nematoda Fung.,Microbivore,20,20,40,0.617722202,1.07970865,0.122767134,0.388953724,0.3,3.03,0.049,-0.558407670135347,0.411420831667833,1.82783529949919
Xiao,2013,Labo,Open,Multiple,Asteraceae,Asterales,Asia,Nematoda Pred.,Predator,20,20,40,0.837832535,0.647451256,0.138081904,0.233678969,0.38,1.09,0.051,0.257774731178373,0.396331443267227,1.86948470472008
