...1,Es_id,Study,Species,Phylum,PFT,Variable,Mode,Phase,Temp,LD,Ntype,logRR,var_logRR,CIlow_logRR,CIup_logRR
1,1,BermanFrank01,﻿Trichodesmium sp. IMS101,Cyanobacteria,Dz,CP,B,E,26,12,N2,-0.992839044046519,0.0111751681722216,0.207193021957596,-1.20003206600412
2,2,BermanFrank01,﻿Trichodesmium sp. IMS101,Cyanobacteria,Dz,CN,B,E,26,12,N2,-2.57776815814091,0.0303060468434884,0.3412029175832,-2.91897107572411
3,3,BlancoAmeijeiras18,﻿Synechococcus sp. PCC7002,Cyanobacteria,Pro,CP,SCB,NA,22,12,NO3,-1.05987503799138,0.0109526373778231,0.205119734459907,-1.26499477245129
4,4,BlancoAmeijeiras18,﻿Synechococcus sp. PCC7002,Cyanobacteria,Pro,CN,SCB,NA,22,12,NO3,0.208585891982428,0.00961979861240328,0.192234388788577,0.0163515031938517
5,5,Bucciarelli10,Thalassiosira oceanica,Bacillariophyta,Dia,CN,B,E,20,14,NO3,-0.429214550810722,1.6649946313801e-4,0.0252903307869304,-0.454504881597652
6,6,Bucciarelli10,Thalassiosira oceanica,Bacillariophyta,Dia,CN,B,E,20,14,NO3,-0.138729994007997,0.00303608590706049,0.107995365586041,-0.246725359594038
7,7,Bucciarelli10,Ditylum brightwellii,Bacillariophyta,Dia,CN,B,E,20,14,NO3,0.132408162986074,2.99934433406325e-7,0.00107339916845441,0.131334763817619
8,8,Bucciarelli10,Ditylum brightwellii,Bacillariophyta,Dia,CN,B,E,20,14,NO3,0.257169289882069,5.8258025382576e-4,0.0473070613631963,0.209862228518873
9,9,Cunningham17,﻿Synechococcus sp. WH7803,Cyanobacteria,Pro,CP,B,E,23,14,NO3,0.115161187328316,0.00302508081300771,0.107799459054492,0.00736172827382391
10,10,Cunningham17,﻿Synechococcus sp. WH7803,Cyanobacteria,Pro,CN,B,E,23,14,NO3,-0.331222826045809,0.00917494069871134,0.187736935301528,-0.518959761347337
